bucket,reason,domain,merchantName,possibleOfficialUrl,title,score,occurrences,notes,sourceFiles
REVIEW,plausible_giftcard_but_needs_human_check,1minutepay.com,The Most Popular Gift Cards In France,https://1minutepay.com/blog/popular-gift-cards-in-france/,The Most Popular Gift Cards In France,100,1,The Most Popular Gift Cards In France · 3. Itunes Gift Card · 4. Netflix Gift Card · 5. Amazon Gift Card · 6. Steam Card Gift card · 6. Neosurf Gift Cards.,data\discovery\mass-harvest-v5\clean-v5.5\review.csv
REVIEW,plausible_giftcard_but_needs_human_check,2gosoftware.eu,Douglas Gift Card - 25 Euro - Germany - 2GO Software,https://2gosoftware.eu/en-gr/douglas-gift-card-25-euro-germany,Douglas Gift Card - 25 Euro - Germany - 2GO Software,100,1,"Douglas Gift Card | 25 Euro | Germany · Money back guarantee · 100% legitimate codes · Real-time, digital delivery (by e-mail).",data\discovery\mass-harvest-v5\clean-v5.5\review.csv
REVIEW,plausible_giftcard_but_needs_human_check,4gold.eu,4gold,https://4gold.eu/en-gr/products/e-giftcard?srsltid=AfmBOooWGuDwlP3Y6vMIScz0AmXa_dCXXGwLXaBMSph0uaLhqLmK9zGW,E-giftcard - 4GOLD,55,1,"The 4Gold E-Gift Card isn't just a gift, it's the perfect boost to help someone fuel their journey towards maximum performance and a healthier lifestyle.",data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v2\manual-review.csv
REVIEW,plausible_giftcard_but_needs_human_check,57fashionbar.com,GIFTCARDS,https://57fashionbar.com/collections/giftcards?srsltid=AfmBOoocuvtx3h_4gHRdVm2M54dTTSWoKy9MMoT6YlU9YkE9aycRdvr8,GIFTCARDS,60,6,"GIFT CARD 50€. Shop Now >. GIFT CARD 50€. GIFT CARD 50€. 57 FASHION BAR. Regular price €50,00 · GIFT CARD 100€. Shop Now >. GIFT CARD 100€.",data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv | data\discovery\review-universe-v5\manual-review.csv
REVIEW,plausible_giftcard_but_needs_human_check,8aisti.com,Beauty Salon Kahdeksas Aisti,https://www.8aisti.com/en/gifts/?srsltid=AfmBOorMGnwMxNqFDkAAM1oJ_Yc7Fy0cHA_QXQlg7UDRy7p959o4vMCB,Beauty Salon Kahdeksas Aisti - Gift cards,80,5,"We deliver a high-quality Kahdeksas Aisti gift card in a stylish gift envelope by post to the address of your choice, or you can pick it up at our salon if ...",data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\review-universe-v1\still-review.csv | data\discovery\review-universe-v5\manual-review.csv
REVIEW,plausible_giftcard_but_needs_human_check,abbeytravel.ie,Abbey Travel Gift Vouchers,https://www.abbeytravel.ie/abbey-travel-gift-vouchers,Abbey Travel Gift Vouchers,100,4,Spain Back. Costa ... Abbey Travel Gift Vouchers. Give the gift of travel with an Abbey Travel Gift Voucher. Get A Gift Voucher. Abbey Travel Gift Vouchers ...,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\review-universe-v2\manual-review.csv
REVIEW,plausible_giftcard_but_needs_human_check,aberdevine.co,Aberdevine,https://aberdevine.co/products/aberdevine-e-gift-card?srsltid=AfmBOor5jrGAjbef3zyqGXV1ecCiTUFT7pwEISPH4OfwxUNM3m3KXv8q,E-GIFT CARD - Aberdevine,100,5,Lingerie gift card. E-Gift Card- perfect lingerie gift. Treat them to the perfect present by letting them choose their own dream Aberdevine lingerie set.,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v2\manual-review.csv
REVIEW,plausible_giftcard_but_needs_human_check,aceb.com,Buy Sephora Italy Gift Card with Crypto | Instant Delivery,https://aceb.com/giftcards/sephora-italy,Buy Sephora Italy Gift Card with Crypto | Instant Delivery,100,1,Buy securely with cryptocurrency and receive your digital gift card instantly by email. The Sephora Italy Gift Card is the ideal choice for anyone who loves ...,data\discovery\mass-harvest-v5\clean-v5.5\review.csv
REVIEW,plausible_giftcard_but_needs_human_check,achilleassotiriou.com,Gift Card 200€ | ACHILLEAS SOTIRIOU,https://www.achilleassotiriou.com/product-page/gift-card-150-1?srsltid=AfmBOoqyPEjjSHUC_JEqXxxrisoFufdvYRnWQsw8UGft92tgMKb3T_Fk,Gift Card 200€ | ACHILLEAS SOTIRIOU,100,5,"Gift Card 200€ ... A hair salon gift card offers a luxurious experience. Treat yourself or a loved one to expert haircare, styling, and pampering services. It's a ...",data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v2\manual-review.csv
REVIEW,plausible_giftcard_but_needs_human_check,acousticecology.music.uoa.gr,edie parker Gift Card Factory Sale | Bags,https://acousticecology.music.uoa.gr/?a,edie parker Gift Card Factory Sale | Bags,80,8,This Item Ships For Free! edie parker Gift Card. Bags / Edie Parker / edie parker Gift Card Factory Sale. 10 More Colors. 4.74.,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
