bucket,reason,domain,merchantName,possibleOfficialUrl,title,score,occurrences,notes,sourceFiles
SAFE,greek_domain_direct_gift_url_and_text,aioloscourier.gr,Personalised Scratch-Off Theatre Show Ticket – Surprise Reveal ...,https://aioloscourier.gr/Scratch-Off-Theatre-Show-Ticket-Surprise-Reveal-Gift-Voucher-1306719/,Personalised Scratch-Off Theatre Show Ticket – Surprise Reveal ...,55,1,Personalised Scratch-Off Theatre Show Ticket – Surprise Reveal Gift Voucher ... Get it delivered as soon as today. Schedule your delivery in checkout. More ...,data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,ask.ab.gr,Προσφέρετε επιταγές δώρων σε εταιρίες και ιδιώτες; - AB Eshop,https://ask.ab.gr/s/article/Do-you-offer-gift-cards-to-companies-and-private-individuals,Προσφέρετε επιταγές δώρων σε εταιρίες και ιδιώτες; - AB Eshop,60,6,"Nαι, προσφέρουμε! Οι δωροεπιταγές ΑΒ αποτελούν πολύ χρήσιμα δώρα και προτιμώνται ιδιαιτέρως από εταιρίες για τους εργαζομένους τους την περίοδο των εορτών.",data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,athoshellas.gr,Θεσσαλονίκη,https://www.athoshellas.gr/el/Article/giftcard.aspx,Gift Card - Θεσσαλονίκη,70,8,... travel center. instagram athos hellas travel center. tik tok athos hellas travel center. linkedin icon athos hellas travel center. #athostravel. ΕΓΓΡΑΦΗ ΣΤΟ ...,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,biano.gr,Δωροκάρτα 30€ | BIANO,https://www.biano.gr/proion/v/258790556-dorokarta-30eur,Δωροκάρτα 30€ | BIANO,85,1,Δωροκάρτα 30€ · Παρόμοια προϊόντα · Τα καλύτερα προϊόντα από Mom&Me Family Concept Store · Σχετικά με το Biano · Για χρήστες · Για καταστήματα · Φροντίστε να ...,data\discovery\mega-harvest-v6\clean-v6\review.csv
SAFE,greek_domain_direct_gift_url_and_text,business-travel.gr,Business Travel Giftcard - Corporate Travel | DMC | MICE,https://business-travel.gr/en/tour/business-travel-giftcard-en/,Business Travel Giftcard - Corporate Travel | DMC | MICE,55,1,"The perfect gift for any occasion, any traveler, and any dream. Make Dreams Come True with the Business Travel Gift Card! Choose the color and the amount for ...",data\discovery\mega-harvest-v6\clean-v6\review.csv
SAFE,greek_domain_direct_gift_url_and_text,cdkeyprices.gr,Αγοράστε φθηνό Carnival Cruise Lines Gift Card Καλύτερη τιμή,https://cdkeyprices.gr/gift-card/carnival-cruise-lines-gift-card/,Αγοράστε φθηνό Carnival Cruise Lines Gift Card Καλύτερη τιμή,100,1,Σημείωση: Η δωροκάρτα Carnival Cruise Lines διατίθεται μόνο για χρήση στις Ηνωμένες Πολιτείες. Η κάρτα δεν μπορεί να χρησιμοποιηθεί για αγορές σε άλλες ...,data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,chania-culture.gr,Δωροκάρτα,https://shop.chania-culture.gr/product/gift-card/,Δωροκάρτα,100,2,Δωροκάρτα. 10.00€. Από: Προς: Δωροκάρτα. 10.00€ – 100.00€ Price range ... g-politismos@chania.gr · Φόρμα επικοινωνίας. Social Media. Όροι & Προϋποθέσεις ...,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,clachic.gr,Terms of Purchase & Use of Gift Vouchers,https://www.clachic.gr/en-gb/terms-of-purchase-and-use-of-gift-vouchers?srsltid,Terms of Purchase & Use of Gift Vouchers,100,3,"The gift voucher can be redeemed either by printing and presenting it at the physical store of ClacChic.gr, or through online purchases from the website clachic ...",data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,cretalive.gr,It's a perfect Easter gift για το βαφτιστήρι σου!,https://www.cretalive.gr/kriti/dorokarta-its-perfect-easter-gift-gia-baftistiri-soy-0,Δωροκάρτα: It's a perfect Easter gift για το βαφτιστήρι σου!,80,2,Η βαφτιστήρα σου μεγαλώνει και μαζί της μεγαλώνει και το στυλ της και η δωροκάρτα μετατρέπεται σε fashion statement. ... Best of Crete. Ι ...,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,digas.gr,Terms of Purchase and Use of Gift Vouchers,https://www.digas.gr/en-gb/terms-of-purchase-and-use-of-gift-vouchers?srsltid,Terms of Purchase and Use of Gift Vouchers,100,1,"Education · Airway medical Stimulators ... The gift voucher can not be redeemed in cash, it ... The gift voucher can be redeemed either by ...",data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
