score,domain,merchant_name,possible_official_url,title,snippet,query,clean_bucket,clean_reason
100,24hr.gr,"Netflix Prepaid Gift card online 15,00€ - 24hr.gr το delivery ...","https://www.24hr.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/tv-prepaid-cards/tv-prepaid-cards/netflix-prepaid-gift-card-online-15,00%E2%82%AC/%CE%B1%CF%81%CF%87%CE%AE","Netflix Prepaid Gift card online 15,00€ - 24hr.gr το delivery ...","Netflix Prepaid Gift card online 15,00€ Με τη Netflix Prepaid Gift card ... Pet Shop. Για τον σκύλο · Για τη γάτα. Για Παιδιά. Παιχνίδια · Συλλογές Χαρτάκια ...","site:.gr ""pet shop"" ""gift card""",REJECT,known_false_positive_or_reseller
100,blog.germanos.gr,Τι δώρο να πάρω; E,https://blog.germanos.gr/articles/reviews-guides/germanos-e-gift-card-fetos-ta-hristoygenna-harise-toys-oti-theloyn,Τι δώρο να πάρω; E-Gift Card - G BLOG,"Η ΓΕΡΜΑΝΟΣ e-Gift Card είναι το ιδανικό δώρο για τα Χριστούγεννα γιατί προσφέρει ευελιξία, άνεση, άμεση αγορά και πλήθος επιλογών.","site:.gr ""toys"" ""gift card""",REJECT,unsafe_subdomain
100,corfutravelco.com,Win a €100 Venetian Well Gift Voucher in Corfu Town — Corfu ...,https://www.corfutravelco.com/travel-guide/win-a-100-venetian-well-gift-voucher-discover-one-of-corfu-towns-most-romantic-restaurants,Win a €100 Venetian Well Gift Voucher in Corfu Town — Corfu ...,Win a €100 Venetian Well Gift Voucher in Corfu Town ... A great restaurant to add to your Corfu wish list ... To celebrate one of Corfu Town's most beautiful dining ...,"""Corfu"" ""restaurant"" ""gift voucher""",REJECT,non_merchant_signal
100,dim-ension.gr,G&I Gift Voucher - Dimension Web & Graphic Design Portfolio,http://www.dim-ension.gr/giftvoucher.html,G&I Gift Voucher - Dimension Web & Graphic Design Portfolio,G&I Gift Voucher ... About: G&I (short for Greece and Italy) is a custom luxury travel agency offering their customers custom made traveling services to Greece ...,"site:.gr ""travel"" ""gift voucher""",REJECT,non_merchant_signal
100,etsy.com,Custom Jewelry Gift Voucher,https://www.etsy.com/listing/4530493503/custom-jewelry-gift-voucher,Custom Jewelry Gift Voucher,"Custom Jewelry Gift Voucher. JolenesFineJewelry. 5 out of 5 stars. Add personalization. Digital Gift Voucher ... Crete Shop, Istanbul, Türkiye. Learn more about ...","""Crete"" ""jewelry"" ""gift voucher""",REJECT,known_false_positive_or_reseller
100,freelancer.gr,Entry #18 by anaczq for Creation of a gift voucher,https://www.freelancer.gr/contest/creation-of-a-gift-voucher-2192900-byentry-74522040,Entry #18 by anaczq for Creation of a gift voucher,Creation of a gift voucher. Freelancer: anaczq. 0. Share: Report Entry. Reject Entry Award Entry Buy Entry for €10 EUR. Winner. Runner Up. Processing.,"site:.gr ""gift voucher""",REJECT,known_false_positive_or_reseller
85,gadgetone.gr,Αγοράστε μία Δωροεπιταγή,https://www.gadgetone.gr/index.php?route,Αγοράστε μία Δωροεπιταγή,Smart Home · Smartphones · Apple · Samsung · Xiaomi · Smartwatches · Tempered Glass ... Αυτή η δωροεπιταγή θα αποσταλεί μέ e-mail στον παραλήπτη αφού ολοκληρωθεί ...,"site:.gr ""home"" ""δωροεπιταγή""",REJECT,third_party_apple_gift_card
85,scrapsnpieces.gr,20 Ευρώ,https://scrapsnpieces.gr/%CE%B4%CF%89%CF%81%CE%BF%CE%B5%CF%80%CE%B9%CF%84%CE%B1%CE%B3%CE%AE-20?srsltid=AfmBOorKdqsh_U0rRo26h4znUS5yBlUEZZHy43NSZA7YjU1TX2pbnGYC,Δωροεπιταγή 20 Ευρώ,"Δωροεπιταγή 20 Ευρώ ... Κάντε ένα δώρο αξίας 20 ευρώ στους φίλους σας για να αγοράσουν ότι τους αρέσει, και στείλτε το κατ' ευθείαν στο email τους. Δες και αυτά.","site:.gr ""δωροεπιταγή""",REJECT,third_party_playstation_gift_card
80,blog.enafood.gr,και Κουπόνι Προσφοράς Archives - ENABLOG,https://blog.enafood.gr/tag/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-%CE%BA%CE%B1%CE%B9-%CE%BA%CE%BF%CF%85%CF%80%CF%8C%CE%BD%CE%B9-%CF%80%CF%81%CE%BF%CF%83%CF%86%CE%BF%CF%81%CE%AC%CF%82/,Δωροκάρτα και Κουπόνι Προσφοράς Archives - ENABLOG,Δωροκάρτα και Κουπόνι Προσφοράς · Επιχειρήσεις εστίασης: 4 συμβουλές για αποδοτική διαχείριση του Facebook · Χρειάζεστε Βοήθεια; · Σχετικά με την ...,"site:.gr ""food"" ""δωροκάρτα""",REJECT,unsafe_subdomain
80,deejay.gr,DeeJay Giveaway: Kέρδισε δωροεπιταγή αξίας 100 ευρώ ...,https://www.deejay.gr/2025/10/23/deejay-giveaway-kerdise-doroepitagi-axias-100-evro-apo-to-katastima-badoo-luxury-clothing/,DeeJay Giveaway: Kέρδισε δωροεπιταγή αξίας 100 ευρώ ...,O 95.7 Larissa DeeJay και η Badoo Luxury Clothing χαρίζουν σε μια τυχερή/ό μια δωροεπιταγή αξίας 100 ευρώ ! Βρείτε τον διαγωνισμό μας στη ...,"site:.gr ""clothing"" ""δωροεπιταγή""",REJECT,non_merchant_signal
