score,domain,merchant_name,possible_official_url,title,snippet,query
100,24hr.gr,"Netflix Prepaid Gift card online 15,00€ - 24hr.gr το delivery ...","https://www.24hr.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/tv-prepaid-cards/tv-prepaid-cards/netflix-prepaid-gift-card-online-15,00%E2%82%AC/%CE%B1%CF%81%CF%87%CE%AE","Netflix Prepaid Gift card online 15,00€ - 24hr.gr το delivery ...","Netflix Prepaid Gift card online 15,00€ Με τη Netflix Prepaid Gift card ... Pet Shop. Για τον σκύλο · Για τη γάτα. Για Παιδιά. Παιχνίδια · Συλλογές Χαρτάκια ...","site:.gr ""pet shop"" ""gift card"""
100,aesthet.com,aesthet.com,https://www.aesthet.com/el/gift-cards-2/?srsltid=AfmBOoohgm8UHEW0EmfgEwmt4H_XYhiuayAVZxRmbavrgsxRnzhd-GHD,Gift Cards - aesthet.com,Contessina Jewelry · Costarellos · Cristina Beautiful Life · Cutcuutur · Danai ... Κάντε χαρούμενους τους αγαπημένους σας με μια δωροκάρτα Aesthet! Από (OΝ/ΜΟ) ...,"""Athens"" ""jewelry"" ""δωροκάρτα"""
100,alexander-edu.org,Learn Modern and Ancient Greek in Greece!,https://alexander-edu.org/gift-card/,Gift Card - Learn Modern and Ancient Greek in Greece!,Wonderful experience with this school in Thessaloniki - the right mixture of ... Gift Card. Want to surprise someone with more than just a typical gift ...,"""Thessaloniki"" ""experience"" ""gift card"""
100,all.accor.com,The Perfect Present: The ALL Accor Gift Card,https://all.accor.com/a/en/experiences/all-gift-card.html,The Perfect Present: The ALL Accor Gift Card,An extended seaside escape in Crete. ALL ... Any bookings paid in advance will be refunded at the hotel and your gift voucher will be used as payment.,"""Crete"" ""hotel"" ""gift voucher"""
100,alteregofashion.gr,AlterEgo,https://alteregofashion.gr/en/product/gift-card/,Δωροκάρτα AlterEgo,"Choose the amount you want to donate and a gift card with your message will ... Thessaloniki, TK. 56429 2310 681328. In the event that you wish to use ...","""Thessaloniki"" ""fashion"" ""gift card"""
100,anemifashion.gr,ANEMH clothing&fashion items,https://anemifashion.gr/shop/dorokarta/dorokarta/?attribute_gift-card-amount,Δωροκάρτα – ANEMH clothing&fashion items,Clean and Minimalist Fashion Gift Voucher Certificate (1). Δωροκάρτα €50. €10.00 – €200.00 Price range: €10.00 through €200.00. Ποσό Δωροκάρτας. Κάντε μία ...,"site:.gr ""fashion"" ""δωροκάρτα"""
100,apothekespa.com,30,https://www.apothekespa.com/en/gift-card,Gift Card 30,Give them the gift of choise with an apotheke spa gift card. They are ... Chania +30 2821079797. OPENTIME. 10:00 - 21:00. Sat: 10:00 - 20:00. PREPAYMENT.,"""Chania"" ""spa"" ""gift card"""
100,applybay.shop,Mid-Level Gift Card Programmes & Planogram Compliance ...,https://applybay.shop/mid-gift-card-programmes-planogram-compliance-rosary-maker-for-fitness-jobs,Mid-Level Gift Card Programmes & Planogram Compliance ...,"Mid-Level Gift Card Programmes & Planogram Compliance Rosary Maker for Fitness jobs ... Yarham Heaton Health — Chalandri, Chalandri Municipality — EUR ...","""Chalandri"" ""fitness"" ""gift card"""
100,archaeotours.gr,Ancient Greece,https://www.archaeotours.gr/product-category/wps_wgm_giftcard/,Gift Card - Ancient Greece,"Mythology for Kids (2). Our Best Sellers. Destination Nafplio. Rated 0 ... Crete, there's a Destination Gift Card waiting for you. Our Destination Gift ...","""Crete"" ""kids"" ""gift card"""
100,armoniawellness.gr,Christmas Gift Cards,https://www.armoniawellness.gr/christmas-gift-cards/,Christmas Gift Cards,"Κανενα προϊον στο καλαθι σας. Armonia Wellness ... Ψάχνεις Χριστουγεννιάτικο δώρο; Χάρισε μία δωροεπιταγή μας για massage, θεραπεία προσώπου, Body Scrub ή ...","site:.gr ""wellness"" ""δωροεπιταγή"""
