score,domain,merchant_name,possible_official_url,title,snippet,query,clean_bucket,clean_reason
100,abbeytravel.ie,Abbey Travel Gift Vouchers,https://www.abbeytravel.ie/abbey-travel-gift-vouchers,Abbey Travel Gift Vouchers,Spain Back. Costa ... Abbey Travel Gift Vouchers. Give the gift of travel with an Abbey Travel Gift Voucher. Get A Gift Voucher. Abbey Travel Gift Vouchers ...,"""Spain"" travel ""gift voucher"" official",GLOBAL_REVIEW,appears_official_but_no_greece_relevance
100,aberdevine.co,Aberdevine,https://aberdevine.co/products/aberdevine-e-gift-card?srsltid=AfmBOor5jrGAjbef3zyqGXV1ecCiTUFT7pwEISPH4OfwxUNM3m3KXv8q,E-GIFT CARD - Aberdevine,Lingerie gift card. E-Gift Card- perfect lingerie gift. Treat them to the perfect present by letting them choose their own dream Aberdevine lingerie set.,"""lingerie"" ""gift card"" Greece",GLOBAL_REVIEW,appears_official_but_no_greece_relevance
100,achilleassotiriou.com,Gift Card 200€ | ACHILLEAS SOTIRIOU,https://www.achilleassotiriou.com/product-page/gift-card-150-1?srsltid=AfmBOoqyPEjjSHUC_JEqXxxrisoFufdvYRnWQsw8UGft92tgMKb3T_Fk,Gift Card 200€ | ACHILLEAS SOTIRIOU,"Gift Card 200€ ... A hair salon gift card offers a luxurious experience. Treat yourself or a loved one to expert haircare, styling, and pampering services. It's a ...","""hair salon"" ""gift card"" Greece",GLOBAL_REVIEW,appears_official_but_no_greece_relevance
100,acquoofsweden.com,ACQUO of Sweden,https://acquoofsweden.com/products/acquo-gift-card?srsltid=AfmBOop0hzMNoCCrL8WMAwkN2O-d6_8VvJPl-LtmDuZc1udrL_BTn1K1,ACQUO of Sweden - Gift Card,Give them the gift of choice with a gift card from ACQUO of Sweden. Gift cards are delivered immediately by email and contain instructions to redeem them at ...,"""Sweden"" fashion ""gift card"" official",GLOBAL_REVIEW,appears_official_but_no_greece_relevance
100,adolfodominguez.com,Gift Card | AD Portugal,https://www.adolfodominguez.com/en-pt/gift-card-199990000300.html,Gift Card | AD Portugal,"We think that one gift is enough. Choose the value of your gift card: €50, €100 or €200. Send it by email to whoever you want. Enjoy the good choice.","""Portugal"" fashion ""gift card"" official",GLOBAL_REVIEW,appears_official_but_no_greece_relevance
100,agramada.com,Buy your Gift Card,https://www.agramada.com/book-gift-card,Buy your Gift Card,Agramada Hotel. Languages. GR · EN · Press · Feedback Form · Contact Us ... Buy your Gift Card. 0. Your cart. ×. Make a reservation · Reservation ...,"""hotel"" ""gift card"" Greece",GLOBAL_REVIEW,appears_official_but_no_greece_relevance
100,agrotourism.com.cy,Cyprus Gift Cards for Stays & Experiences - Agrotourism,https://agrotourism.com.cy/buy-e-gift-card/,Cyprus Gift Cards for Stays & Experiences - Agrotourism,giftcard 50. Discover Cyprus Gift Card. Buy Now. €50.00 · giftcard 75. Discover Cyprus Gift Card. Buy Now. €75.00 · giftcard 100. Discover Cyprus Gift Card. Buy ...,"""Cyprus"" hotel ""gift card"" official",GLOBAL_REVIEW,appears_official_but_no_greece_relevance
100,ailanajewelry.com,AILANA JEWELRY GIFT VOUCHER,https://ailanajewelry.com/en-fr/products/gift-voucher-ailana-jewelry?srsltid=AfmBOopxmGJ6iWeKOzeugsnZdF2Qsy8v7W0vXzDgCdCGmJafwykovSDy,AILANA JEWELRY GIFT VOUCHER,AILANA JEWELRY GIFT VOUCHER ... Tax included. Shipping calculated at checkout. Denominations. 20.00 € 40.00 € 60.00 ...,"""jewelry"" ""gift voucher"" Greece",GLOBAL_REVIEW,appears_official_but_no_greece_relevance
100,airserbia.com,Gift voucher,https://www.airserbia.com/en/explore/services/gift-voucher,Gift voucher,Sweden (SEK) · Switzerland (CHF) · Turkey (USD) · United Kingdom (GBP) · United ... Gift voucher. You wish to surprise your dear one with something special ...,"""Sweden"" travel ""gift voucher"" official",GLOBAL_REVIEW,appears_official_but_no_greece_relevance
100,alisahne.com,Gift Card | ALISAHNE Resort Collection,https://alisahne.com/en/product/gift-card/,Gift Card | ALISAHNE Resort Collection,HomeGift cardGift Card. gift-card-n. Gift Card. Shipping Worldwide; Free ... Close submenu (Resort Wear)Resort Wear. Dresses · Jumpsuits – Playsuits · Kaftans ...,"""resort"" ""gift card"" Greece",GLOBAL_REVIEW,appears_official_but_no_greece_relevance
100,all.accor.com,Hotel Gift Card - Give the Gift of Travel | ALL Accor Gift Card,https://all.accor.com/a/en/experiences/all-gift-card/hotel-gift-card.html,Hotel Gift Card - Give the Gift of Travel | ALL Accor Gift Card,Hotel Gift Card - Give the Gift of Travel | ALL Accor Gift Card. ALL ... Or a romantic getaway in the wine country of France or Italy. Culture buffs ...,"""France"" hotel ""gift card"" official",GLOBAL_REVIEW,appears_official_but_no_greece_relevance
