score,domain,merchant_name,possible_official_url,title,snippet,query,clean_bucket,clean_reason
100,stradivarius.com,Κάρτα δώρου | Stradivarius Greek,https://www.stradivarius.com/gr/gift-card.html?srsltid=AfmBOoq5FnwnEZOgrxjrmNRkFChvAOF9nUhr9-VQ9zbTSMGC07efcY7o,Κάρτα δώρου | Stradivarius Greek,Δεν μπορείς ν' αποφασίσεις ποιο είναι το τέλειο δώρο; Η κάρτα δώρου είναι η σίγουρη επιτυχία. Διάλεξε το ποσό και στείλ'την στον παραλήπτη όποτε επιθυμείς.,"""κάρτα δώρου""",MANUAL_REVIEW,weak_gift_card_signal
85,adelco-eshop.gr,Gift Cards,https://adelco-eshop.gr/index.php?route=account/voucher&srsltid=AfmBOoocOuX8tVGFMl2l2zesXBbuRMo9NWXiFh3RcHnYzgQG656BDgZX,Gift Cards,Υπάρχει η Εύκολη Λύση – αγοράστε εύκολα και γρήγορα Ηλεκτρονική Δωροκάρτα με ... Kids Spray για εύκολο χτένισμα 200ml. Quickview. Adelco Kids Spray για ...,"site:.gr ""kids"" ""δωροκάρτα""",MANUAL_REVIEW,score_below_90
85,amazon.es,Amazon.es: Gift Cards,https://www.amazon.es/-/en/b?ie=UTF8&node=3564279031,Amazon.es: Gift Cards,Shop gift cards from popular brands ; Google Play code (send via email; valid only for Spain). €5.00 ; NEU Apple Gift Card - for Spain - by e-mail. €10.00 · 10 ...,"""Spain"" retail ""gift card"" official",MANUAL_REVIEW,score_below_90
85,app.squareup.com,Order | Hair by Larissa eGift Cards,https://app.squareup.com/gift/MLMSKXKVCZ04W/order,Order | Hair by Larissa eGift Cards,Order Hair by Larissa eGift Cards online and give the perfect gift ... What kind of gift is it? For one individual. Send a gift card to one recipient. Group gift ...,"""Larissa"" ""gift card""",MANUAL_REVIEW,score_below_90
85,armadio.gr,Δωροκάρτα 120,https://www.armadio.gr/en/shop/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-120,Δωροκάρτα 120 - Gift cards,Δωροκάρτα 120€ Gift cards Δωροκάρτα αξίας 120 ... Women's clothing; 3Dresses · Shirts; 3Skirts; 7Blouses ... Δωροκάρτα 120€. Δωροκάρτα 120€. dorokarta120-01 ...,"site:.gr ""clothing"" ""δωροκάρτα""",MANUAL_REVIEW,score_below_90
85,artdeco.com.gr,eshave Gift Card Outlet Online,https://www.artdeco.com.gr/?a=cate-76530256,eshave Gift Card Outlet Online,eshave Gift Card Outlet Online ; Sales unit · 1 piece ; Delivery date · 2026-08-29 Later ; Product features. Product: eshave Gift Card Brand: Eshave Type: Cosmetics,"site:.com.gr ""gift card""",MANUAL_REVIEW,score_below_90
85,aspasiajewellery.com,Yoga gift voucher 3 lessons pack,https://www.aspasiajewellery.com/online-yoga-shop/p/yoga-gift-,Yoga gift voucher 3 lessons pack,Yoga gift voucher 3 lessons pack- Experience the Gift of Yoga. €140.00.,"""yoga"" ""gift voucher"" Greece",MANUAL_REVIEW,score_below_90
85,atentogutschein.de,Taverna Sevi´s Kos Gift Card • City Karte 2026,https://www.atentogutschein.de/en/marketplace_merchants/5327-taverna-sevi-s-kos?community=182,Taverna Sevi´s Kos Gift Card • City Karte 2026,Taverna Sevi´s Kos gift card redeemable at 11242+ partners in Berlin. Valid 3 years - Instant delivery - From €10 - Buy City Karte gift card now!,"""Kos"" ""gift card""",MANUAL_REVIEW,score_below_90
85,autotriti.gr,Με κάθε αγορά ελαστικών Falken και δωροκάρτες καυσίμων ...,https://www.autotriti.gr/data/news/preview_news/falken-fill-up-winter-campaign-ellada_276992.asp,Με κάθε αγορά ελαστικών Falken και δωροκάρτες καυσίμων ...,... Car Accessories ... Εγγράφεστε στην πλατφόρμα: campaign.falkentyre.com/gr και παραλαμβάνετε τη δωροκάρτα καυσίμων EKO εύκολα και γρήγορα.,"site:.gr ""car accessories"" ""δωροκάρτα""",MANUAL_REVIEW,score_below_90
85,babycollection.shop,Gift Card,https://babycollection.shop/en/product/dorokarta/?srsltid=AfmBOorb1uKUhzvBSkV_B5b5_Nc0RT48xzrxf_Mj6Hlg64qVDIfZCblj,Gift Card,Free Shipping for Orders Over €150 100% Greek Business. Gift Card - Image 1. Click to enlarge. Home / BABY GOODS / Bed sheets / Gift Card.,"""baby"" ""gift card"" Greece",MANUAL_REVIEW,score_below_90
85,bagshats.gr,Δωροκάρτα,https://bagshats.gr/product-category/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,Δωροκάρτα,Δωροκάρτα. Δωροκάρτα στο Bags & Hats eshop | Your trusted quality choice since 1965. img 2. Gift Card. 20.00€ – 300.00€. Επιλέξτε ποσό.,"site:.gr ""bags"" ""δωροκάρτα""",MANUAL_REVIEW,score_below_90
85,bestwestern.gr,Best Western Gift Card,https://www.bestwestern.gr/ro/travel-card,Best Western Gift Card,"Best Western Gift Card (numit și „Travel Card”) este un card cadou preplătit care poate fi achiziționat și reîncărcat (în anumite cazuri) online în USD, CAD, ...","site:.gr ""technology"" ""gift card""",MANUAL_REVIEW,score_below_90
85,bodymaxx.gr,BMXX Δωροκάρτα,https://www.bodymaxx.gr/BMXX-%CE%94%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-p552220280,BMXX Δωροκάρτα,"Χαρίστε στους αγαπημένους σας το δώρο της επιλογής τους!!!! Αυτή είναι μια ψηφιακή δωροκάρτα. Μετά την αγορά, θα λάβετε ένα email με τη δωροκάρτα και οδηγίες ...","""Greece"" ""δωροκάρτα""",MANUAL_REVIEW,score_below_90
85,botilia.gr,Κάρτα Δώρου 50,https://www.botilia.gr/p/dwra/Botilia-gift-cart-50?srsltid=AfmBOoqwuuJl9JPXf5DRE-toTZRRZa0GwPiL8dSm_tTTDlACxJnfNB4s,Κάρτα Δώρου 50,"Μόνο μία δωροκάρτα κάθε φορά μπορεί να χρησιμοποιηθεί για κάθε παραγγελία. Μετά την αγορά της δωροκάρτας, θα σας σταλλεί με email η δωροκάρτα ... WINE ...","site:.gr ""wine"" ""δωροκάρτα""",MANUAL_REVIEW,score_below_90
85,brigitteboutique.gr,Αγοράστε μία Δωροεπιταγή,https://brigitteboutique.gr/index.php?route=account/voucher,Αγοράστε μία Δωροεπιταγή,Swimwear24. GR EN. Find Us. Facebook · Instagram · TikTok. Καλάθι. Το καλάθι ... Δωροκάρτα. Πληροφοριες. My Account · WishList0 · Πολιτική Απορρήτου · Όροι χρήσης ...,"site:.gr ""swimwear"" ""δωροκάρτα""",MANUAL_REVIEW,score_below_90
85,circa.co.nz,"Gift vouchers make the perfect present, giving your loved ...",https://www.circa.co.nz/package/circa-theatre-present-ideas/,"Gift vouchers make the perfect present, giving your loved ...",Circa Theatre Gift Vouchers can be used to purchase tickets to any of ... Click here to buy a gift voucher. We have upcycled old show billboard canvas ...,"""theatre"" ""gift voucher"" Greece",MANUAL_REVIEW,score_below_90
85,cordella.gr,Δωροκάρτα 800€,https://www.cordella.gr/shop/empeiries/taxidia-metakiniseis/xenodoxeia-diamones/dorokarta-800_10994,Δωροκάρτα 800€,"Αξιοποιήστε τη Δωροκάρτα για τη διαμονή σας, εξαργυρώνοντάς τη σε διανυκτερεύσεις ή και για να απολαύσετε τις διαθέσιμες εμπειρίες του Myst Boutique Hotel.","site:.gr ""hotel"" ""δωροκάρτα""",MANUAL_REVIEW,score_below_90
85,css.lighthouse.gr,Nakas Music Δωροκάρτα 300€ – Lighthouse Comparison Shopping,https://css.lighthouse.gr/product/nakas-music-%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-300e/,Nakas Music Δωροκάρτα 300€ – Lighthouse Comparison Shopping,"Nakas Music Δωροκάρτα 300€. 300,00 €. Nakas Music Δωροκάρτα 300€. Shop Now. SKU: 824822. Category: Δωροκάρτες, ΠΡΟΙΟΝΤΑ. Description; Additional information ...","site:.gr ""music"" ""δωροκάρτα""",MANUAL_REVIEW,score_below_90
85,cysend.com,Buy Protect Marine Area Gift Card Gift Card in Greece online securely,https://www.cysend.com/product-page/31761,Buy Protect Marine Area Gift Card Gift Card in Greece online securely,Support Greek marine conservation with our Protect Marine Area Gift Card. Give the gift of sustainability and contribute to safeguarding Greece's precious ...,"""marine"" ""gift card"" Greece",MANUAL_REVIEW,score_below_90
85,davosoutdoor.gr,Αγοράστε μία Δωροεπιταγή,https://davosoutdoor.gr/index.php?route=account/voucher&srsltid=AfmBOoqn6Re0HutqFjbAuWPGoLunaub0DFpGzwbFT9vLTcTcrzpP3oOl,Αγοράστε μία Δωροεπιταγή,Η ηλεκτρονική δωροκάρτα δεν εξαργυρώνεται με μετρητά. Η Davos Outdoor δεν ευθύνεται σε καμία περίπτωση για την απώλεια ή την κλοπή της ηλεκτρονικής δωροκάρτας.,"site:.gr ""outdoor"" ""δωροκάρτα""",MANUAL_REVIEW,score_below_90
85,didocosmetics.gr,Δωροκάρτα Archives,https://www.didocosmetics.gr/product-category/proionta/dwrokarta/,Δωροκάρτα Archives,Dido Cosmetics · 0 €0.00 · Αρχική; Μακιγιάζ. Πρόσωπο · Ντεμακιγιάζ ... Κατηγορία: Δωροκάρτα. Home / Eshop / Προϊόντα / Δωροκάρτα. €30.00 απομένουν ...,"site:.gr ""cosmetics"" ""δωροκάρτα""",MANUAL_REVIEW,score_below_90
85,dundle.com,Purchase gift cards online | Safe and Secure,https://dundle.com/gr/en/,Purchase gift cards online | Safe and Secure,Buy Gift Cards Online & More. Buy your prepaid payment card on dundle. Buy your gaming ... Uber Gift Voucher. Rituals Gift Card logo. Rituals Gift Card. Kinguin ...,"""gaming"" ""gift voucher"" Greece",MANUAL_REVIEW,score_below_90
85,energyin.gr,"Με αγορά LG TWINWash, δωροεπιταγή έως €150 για ...",https://energyin.gr/2018/10/15/%CE%BC%CE%B5-%CE%B1%CE%B3%CE%BF%CF%81%CE%AC-lg-twinwash-%CE%B4%CF%89%CF%81%CE%BF%CE%B5%CF%80%CE%B9%CF%84%CE%B1%CE%B3%CE%AE-%CE%AD%CF%89%CF%82-e150-%CE%B3%CE%B9%CE%B1-%CE%B1%CE%B3%CE%BF%CF%81%CE%AD/,"Με αγορά LG TWINWash, δωροεπιταγή έως €150 για ...","Από τη σήμερα 15 Οκτωβρίου μέχρι τις 15 Νοεμβρίου, η LG Electronics ... δωροκάρτα INTERSPORT αξίας έως 150€. Στην προωθητική ενέργεια ...","site:.gr ""electronics"" ""δωροκάρτα""",MANUAL_REVIEW,score_below_90
85,espressoshop.gr,Δωροκάρτα - Espressoshop.gr Νο 1 Κατάστημα πώλησης ...,https://espressoshop.gr/dorokarta/,Δωροκάρτα - Espressoshop.gr Νο 1 Κατάστημα πώλησης ...,"Intenso Cafe · Caffe Parana · Golden Brazil · Gran Salvador · Tonino Lamborghini ... Δωροκάρτα. Αγοράστε μια δωροκάρτα, και δώστε την δυνατότητα σε φίλους και ...","site:.gr ""cafe"" ""δωροκάρτα""",MANUAL_REVIEW,score_below_90
85,europe.giftpay.com,GiftPay Gift Cards Europe | Instant Online eVouchers,https://europe.giftpay.com/,GiftPay Gift Cards Europe | Instant Online eVouchers,"Gifts are delivered to recipients via email in an instant. Recipients can then open their online gift card on any smartphone, tablet, laptop or desktop computer ...","""technology"" ""gift card"" Greece",MANUAL_REVIEW,score_below_90
85,eworkshop.gr,Δωροκάρτα - Work Shop - Workshop,https://eworkshop.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,Δωροκάρτα - Work Shop - Workshop,Δε μπορείτε να βρείτε το τέλειο δώρο; H δωροκάρτα WORKSHOP είναι το ιδανικό ΔΩΡΟ για κάθε περίσταση ... Smart Tools · Φαρμακεία · Φακοί · Εξειδικευμένα Αξεσουάρ.,"site:.gr ""tools"" ""δωροκάρτα""",MANUAL_REVIEW,score_below_90
85,faceyogaforall.gr,Κάρτα Δώρου Face Yoga €50,https://faceyogaforall.gr/product/%CE%BA%CE%AC%CF%81%CF%84%CE%B1-%CE%B4%CF%8E%CF%81%CE%BF%CF%85-face-yoga-e50/,Κάρτα Δώρου Face Yoga €50,"Κάρτα Δώρου Face Yoga €50 · Συμπληρώστε τα απαιτούμενα πεδία (αποστολέα, μήνυμα, email παραλήπτη), ολοκληρώστε την αγορά σας και η Gift Card θα σταλεί ...","""yoga"" ""gift card"" Greece",MANUAL_REVIEW,score_below_90
85,fagottobooks.gr,Δωροκάρτα αξίας 40 ευρώ,https://fagottobooks.gr/en/6005-dorokarta-axias-40-eyro.html,Δωροκάρτα αξίας 40 ευρώ,Με τη δωροκάρτα αυτή δίνετε στα αγαπημένα σας πρόσωπα τα είδη που πραγματικά επιθυμούν. Η δωροκάρτα μπορεί να χρησιμοποιηθεί τόσο για online αγορές στο ...,"site:.gr ""books"" ""δωροκάρτα""",MANUAL_REVIEW,score_below_90
85,freraofsweden.se,Digital Gift Card - Frera Of Sweden - Your Lifestyle Store,https://freraofsweden.se/en/products/digitalt-presentkort?srsltid=AfmBOoqjkiVbJZfQlG5Q0DOVb_OYD8ftnX2_v_A7x93cj8ET2k7uo-Bs,Digital Gift Card - Frera Of Sweden - Your Lifestyle Store,Digital Gift Card – Frera of Sweden. Give the gift of choice with a digital gift card from Frera of Sweden – the perfect present for any occasion!,"""Sweden"" beauty ""gift card"" official",MANUAL_REVIEW,score_below_90
85,gamecardsdirect.com,Gamecardsdirect | The One-Stop Gift Card Shop,https://gamecardsdirect.com/de-en/,Gamecardsdirect | The One-Stop Gift Card Shop,"Order a gift voucher on the way and redeem it as soon as you get home! Contact us. Do you have any remarks or questions regarding your order? Call, email or ...","""gaming"" ""gift voucher"" Greece",MANUAL_REVIEW,score_below_90
85,gavekort.scandichotels.dk,Scandic Hotels gift cards,https://gavekort.scandichotels.dk/shop/lang/en,Scandic Hotels gift cards,Redeemable at any Scandic Hotel in Denmark and valid for 12 months from the day you purchased it. The gift card can be printed or sent to the recipient by email ...,"""Denmark"" hotel ""gift card"" official",MANUAL_REVIEW,score_below_90
85,gavekort.scandichotels.no,Scandic Hotels gift cards,https://gavekort.scandichotels.no/shop/lang/en,Scandic Hotels gift cards,Redeemable at any Scandic Hotel in Norway and valid for 12 months. The gift card can be printed or sent to the recipient by email. The gift card can not be used ...,"""Norway"" hotel ""gift card"" official",MANUAL_REVIEW,score_below_90
85,geschenkgutschein.riverly.com,Gift card Boating in Mecklenburg: The beauty of Germany's lakes ...,https://geschenkgutschein.riverly.com/en/boating-in-mecklenburg-the-beauty-of-germanys-lakes-1,Gift card Boating in Mecklenburg: The beauty of Germany's lakes ...,Boating in Mecklenburg: The beauty of Germany's lakes ; I choose. and personalise my gift card directly online ; I receive. the gift card immediately by email or ...,"""Germany"" beauty ""gift card"" official",MANUAL_REVIEW,score_below_90
85,gifq.com,ASOS Italy gift cards in bulk,https://www.gifq.com/brands/asos-it,ASOS Italy gift cards in bulk,"The ASOS gift card for Italy can be used on ASOS.com by shoppers in Italy. ASOS is a recognized online fashion destination in Italy, with a large assortment ...","""Italy"" fashion ""gift card"" official",MANUAL_REVIEW,score_below_90
85,giftingowl.com,Germany Experience Gift Vouchers and Activity Bookings,https://giftingowl.com/de/?srsltid=AfmBOoqnGR4qYTwlnkcwEpP3hUuG1oZt4ekATcabF5q0CRi7VOkv974i,Germany Experience Gift Vouchers and Activity Bookings,Is it possible to buy a Germany gift voucher from abroad? Of course! You can ... Travel Explore. Water Explore. Waterpark Explore. Wildlife Explore. Yoga ...,"""Germany"" travel ""gift voucher"" official",MANUAL_REVIEW,score_below_90
85,giftmall.de,Weekend in Germany gift cards,https://giftmall.de/en/catalog/hotels_online_germany_weekend,Weekend in Germany gift cards,"The ultimate gift of travel! Our versatile gift voucher opens the door to prepaid hotels all across Germany, ranging from 3-star to luxurious 5-star hotels.","""Germany"" travel ""gift voucher"" official",MANUAL_REVIEW,score_below_90
85,globi.gr,Globi Digital Gift Card,https://globi.gr/product/dwrokarta/,Globi Digital Gift Card | Δωροκάρτα Τεχνολογίας Online,Αγόρασε δωροκάρτα τεχνολογίας Online από το Globi. Digital Gift Card με άμεση ... SteelSeries Gaming Keyboard Apex Pro TKL Wireless 2023 US-Layout (64865).,"site:.gr ""gaming"" ""δωροκάρτα""",MANUAL_REVIEW,score_below_90
85,groombox.gr,Δωροκάρτα - Groombox,https://groombox.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,Δωροκάρτα - Groombox,Δωροκάρτα - Image 1. Κάντε κλικ για μεγέθυνση. Αρχική σελίδα / PET SHOP Πύργος / Δωροκάρτα. Show Tech Face ...,"site:.gr ""pet shop"" ""δωροκάρτα""",MANUAL_REVIEW,score_below_90
