score,domain,merchant_name,possible_official_url,title,snippet,query,clean_bucket,clean_reason
100,365pharmacy.gr,Gift Cards | 365pharmacy.gr - Online Φαρμακείο,https://365pharmacy.gr/gift-cards.htm,Gift Cards | 365pharmacy.gr - Online Φαρμακείο,Gift Card 100. 1000 Πόντοι. Gift Card 100. 100.00€. Κουμπί ΠΡΟΣΘΗΚΗ ΣΤΟ ΚΑΛΑΘΙ. Subscribe Now. 365 Pharmacy Newsletter. Select Points & WIN! 365 Pharmacy Points.,"""pharmacy"" ""gift card"" Greece",AUTO_SAFE,greek_owned_domain_with_direct_gift_card_signal
100,absolutemassageandspa.gr,Gift Card,https://absolutemassageandspa.gr/product/gift-card/,Gift Card,"Τέλος μπορείτε να στείλετε τη δωροκάρτα που θα πάρετε στο αγαπημένο σας πρόσωπο. ... Στο Absolute Massage and Spa, θεωρούμε ότι η ευεξία είναι πολύ ...","site:.gr ""spa"" ""δωροκάρτα""",AUTO_SAFE,greek_owned_domain_with_direct_gift_card_signal
100,aegeanmassage.gr,Gift cards - Aegean Massage,https://aegeanmassage.gr/gift-cards/,Gift cards - Aegean Massage,"Buy gift card 30 EUR. Gift card 60 EUR. Buy gift card 60 EUR. Gift card 80 EUR ... Crete, Greece. Tel: +30 697 395 2089. Aegean Massage Frida Apartments 700 14 ...","""Crete"" ""gift card""",AUTO_SAFE,greek_owned_domain_with_direct_gift_card_signal
100,agigma.gr,Το Τέλειο Last-Minute Δώρο στο Ρέθυμνο – Agigma Gift Card,https://agigma.gr/el/last-minute-doro-rethymno-gift-card/,Το Τέλειο Last-Minute Δώρο στο Ρέθυμνο – Agigma Gift Card,"Δωροκάρτα; Αρθρα; Επικοινωνία; Συνεργάτες. Βοήθεια ... Το Agigma Spa προσφέρει εξατομικευμένο μασάζ, ολιστικές θεραπείες, συνεδρίες αποκατάστασης και villa spa ...","site:.gr ""spa"" ""δωροκάρτα""",AUTO_SAFE,greek_owned_domain_with_direct_gift_card_signal
100,alchemy.gr,alchemy Gift Card,https://alchemy.gr/products/alchemy-gift-card,alchemy Gift Card,Unlock the freedom to choose with a digital alchemy Gift Card. The perfect present for anyone passionate about the sea and performance.,"site:.gr ""gift card""",AUTO_SAFE,greek_owned_domain_with_direct_gift_card_signal
100,aldoshoes.gr,Gift Card – ALDO Greece,https://aldoshoes.gr/pages/gift-card,Gift Card – ALDO Greece,"Gift Card. Customer Care. Help Center · Orders ... Shoes you'll love. Accessories you'll wear ... By submitting this form, you consent to receive informational ( ...","""shoes"" ""gift card"" Greece",AUTO_SAFE,greek_owned_domain_with_direct_gift_card_signal
100,alexandrisstores.gr,Valentine's day Gift Card,https://alexandrisstores.gr/en/product/valentines-day-gift-card-%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,Valentine's day Gift Card - Δωροκάρτα - Αλεξανδρής Καταστήματα,Weeks Special. alexandris-stores-leather-sneakers-mple-blue-dermatina-anatomika- ... Valentine's day Gift Card – Δωροκάρτα ... δωροκάρτα με το ποσό και το κείμενο ...,"site:.gr ""leather"" ""δωροκάρτα""",AUTO_SAFE,greek_owned_domain_with_direct_gift_card_signal
100,alouette.gr,Alouette,https://www.alouette.gr/el/4599-e-gift-card,E-Gift Card for all! - Alouette | Βρεφικά & Παιδικά Ρούχα,Δωροεπιταγή 30 ευρώ · Δωροεπιταγή 50 ευρώ · Δωροεπιταγή 75 ευρώ · Δωροεπιταγή 100 ευρώ · Δωροεπιταγή 130 ευρώ · Δωροεπιταγή 150 ευρώ · Δωροεπιταγή 200 ευρώ.,"""δωροεπιταγή""",AUTO_SAFE,greek_owned_domain_with_direct_gift_card_signal
100,anemifashion.gr,Δωροκάρτα – ANEMH clothing&fashion items,https://anemifashion.gr/shop/dorokarta/dorokarta/?attribute_gift-card-amount=%E2%82%AC50,Δωροκάρτα – ANEMH clothing&fashion items,Clean and Minimalist Fashion Gift Voucher Certificate (1). Δωροκάρτα €50. €10.00 – €200.00 Price range: €10.00 through €200.00. Ποσό Δωροκάρτας. Κάντε μία ...,"site:.gr ""fashion"" ""δωροκάρτα""",AUTO_SAFE,greek_owned_domain_with_direct_gift_card_signal
100,archaeotours.gr,Destination Corfu Island Gift Card,https://www.archaeotours.gr/product/destination-corfu-island-gift-card/,Destination Corfu Island Gift Card,Destination Corfu Island Gift Card. €5.00. + Free Shipping. From. Gift Message.,"""Corfu"" ""gift card""",AUTO_SAFE,greek_owned_domain_with_direct_gift_card_signal
100,athens-stay.gr,Gift Card for Stay in Greece | Restay Resort and Suites L.P.,https://www.athens-stay.gr/gift-card,Gift Card for Stay in Greece | Restay Resort and Suites L.P.,"Surprise your loved ones with a Restay Resort & Suites Gift Card. Perfect for holidays, city breaks in Athens, or seaside escapes in Agiokampos.","""resort"" ""gift card"" Greece",AUTO_SAFE,greek_owned_domain_with_direct_gift_card_signal
100,badila.gr,Gift Card,https://www.badila.gr/en/giftcard/,Gift Card,"Gift Card ... Receiver's Details. Name. Surname. E-mail. Confirm E-mail ... Categories: Men, Jacket ,Leather. Tags: Men's Clothing, Clothing, Fashion. Share:.","site:.gr ""leather"" ""gift card""",AUTO_SAFE,greek_owned_domain_with_direct_gift_card_signal
100,banya.gr,Gift Card,https://www.banya.gr/product/gift-card/,Gift Card,"Home / Giftcard / Gift Card.. Gift Card. 30,00 € – 500,00 €. Give the gift of ultimate relaxation! Surprise your loved ones with a Banya Gift Card.","site:.gr ""home"" ""gift card""",AUTO_SAFE,greek_owned_domain_with_direct_gift_card_signal
100,barbopoulos.gr,"Gift card - Barbopoulos store, Chania",https://www.barbopoulos.gr/product/gift-card-barbopoulos/?srsltid=AfmBOorAqLtZNbTUv_YfKZX5JtDaTXCaoc6q5YwvyP7gLznz8dBJzqnc,"Gift card - Barbopoulos store, Chania","... Gift card – Barbopoulos. Gift card - Barbopoulos. 20,00 € – 120,00 € Price range: 20,00 € through 120,00 €. SKU: giftcard. Μοιραστείτε το!","""Chania"" ""gift card""",AUTO_SAFE,greek_owned_domain_with_direct_gift_card_signal
100,beababy.gr,Δωροκάρτα Beababy e,https://beababy.gr/product/beababy-gift-card/?srsltid=AfmBOopfFsQeCgenqxkxnHcfPEcbgukJfGp75T_-jLt2z7FYIFy6pLE6,Δωροκάρτα Beababy e-Gift Card,"Beababy, e-Gift Card, Δωροκάρτα, Το καλύτερο όμορφο και χρήσιμο δώρο, Δωρο κάρτες ... BABY BLISS · BABY TO LOVE · BABYONO · BABYWISE · BANANA PANDA · BANWOOD ...","site:.gr ""baby"" ""δωροκάρτα""",AUTO_SAFE,greek_owned_domain_with_direct_gift_card_signal
100,beautyworldbydg.gr,Gift Card,https://www.beautyworldbydg.gr/product/gift-card/,Gift Card,"Gift Card. A beautiful gift of relaxation beauty,and self care. SKU: 40247. Category: Uncategorized. Gift Card. €100.00. keimeno. Gift Card quantity.","site:.gr ""beauty"" ""gift card""",AUTO_SAFE,greek_owned_domain_with_direct_gift_card_signal
