"score","domain","merchant_name","possible_official_url","title","snippet","query"
"100","1minutepay.com","The Most Popular Gift Cards In France","https://1minutepay.com/blog/popular-gift-cards-in-france/","The Most Popular Gift Cards In France","The Most Popular Gift Cards In France · 3. Itunes Gift Card · 4. Netflix Gift Card · 5. Amazon Gift Card · 6. Steam Card Gift card · 6. Neosurf Gift Cards.","""France"" fashion ""gift card"" official"
"100","24hr.gr","Netflix Prepaid Gift card online 15,00€ - 24hr.gr το delivery ...","https://www.24hr.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/tv-prepaid-cards/tv-prepaid-cards/netflix-prepaid-gift-card-online-15,00%E2%82%AC/%CE%B1%CF%81%CF%87%CE%AE=312?srsltid=AfmBOooLS5lKrCYe8jRwzluogBXkAm9aAKjlybp_SxCrSkAy_2ZuW6Oj","Netflix Prepaid Gift card online 15,00€ - 24hr.gr το delivery ...","Netflix Prepaid Gift card online 15,00€ Με τη Netflix Prepaid Gift card ... Pet Shop. Για τον σκύλο · Για τη γάτα. Για Παιδιά. Παιχνίδια · Συλλογές Χαρτάκια ...","site:.gr ""pet shop"" ""gift card"""
"100","2gosoftware.eu","Douglas Gift Card - 25 Euro - Germany - 2GO Software","https://2gosoftware.eu/en-gr/douglas-gift-card-25-euro-germany","Douglas Gift Card - 25 Euro - Germany - 2GO Software","Douglas Gift Card | 25 Euro | Germany · Money back guarantee · 100% legitimate codes · Real-time, digital delivery (by e-mail).","""Germany"" beauty ""gift card"" official"
"100","365pharmacy.gr","Gift Cards | 365pharmacy.gr - Online Φαρμακείο","https://365pharmacy.gr/gift-cards.htm","Gift Cards | 365pharmacy.gr - Online Φαρμακείο","Gift Card 100. 1000 Πόντοι. Gift Card 100. 100.00€. Κουμπί ΠΡΟΣΘΗΚΗ ΣΤΟ ΚΑΛΑΘΙ. Subscribe Now. 365 Pharmacy Newsletter. Select Points & WIN! 365 Pharmacy Points.","""pharmacy"" ""gift card"" Greece"
"100","abbeytravel.ie","Abbey Travel Gift Vouchers","https://www.abbeytravel.ie/abbey-travel-gift-vouchers","Abbey Travel Gift Vouchers","Spain Back. Costa ... Abbey Travel Gift Vouchers. Give the gift of travel with an Abbey Travel Gift Voucher. Get A Gift Voucher. Abbey Travel Gift Vouchers ...","""Spain"" travel ""gift voucher"" official"
"100","aberdevine.co","Aberdevine","https://aberdevine.co/products/aberdevine-e-gift-card?srsltid=AfmBOor5jrGAjbef3zyqGXV1ecCiTUFT7pwEISPH4OfwxUNM3m3KXv8q","E-GIFT CARD - Aberdevine","Lingerie gift card. E-Gift Card- perfect lingerie gift. Treat them to the perfect present by letting them choose their own dream Aberdevine lingerie set.","""lingerie"" ""gift card"" Greece"
"100","absolutemassageandspa.gr","Gift Card","https://absolutemassageandspa.gr/product/gift-card/","Gift Card","Τέλος μπορείτε να στείλετε τη δωροκάρτα που θα πάρετε στο αγαπημένο σας πρόσωπο. ... Στο Absolute Massage and Spa, θεωρούμε ότι η ευεξία είναι πολύ ...","site:.gr ""spa"" ""δωροκάρτα"""
"100","aceb.com","Buy Sephora Italy Gift Card with Crypto | Instant Delivery","https://aceb.com/giftcards/sephora-italy","Buy Sephora Italy Gift Card with Crypto | Instant Delivery","Buy securely with cryptocurrency and receive your digital gift card instantly by email. The Sephora Italy Gift Card is the ideal choice for anyone who loves ...","""Italy"" beauty ""gift card"" official"
"100","achilleassotiriou.com","Gift Card 200€ | ACHILLEAS SOTIRIOU","https://www.achilleassotiriou.com/product-page/gift-card-150-1?srsltid=AfmBOoqyPEjjSHUC_JEqXxxrisoFufdvYRnWQsw8UGft92tgMKb3T_Fk","Gift Card 200€ | ACHILLEAS SOTIRIOU","Gift Card 200€ ... A hair salon gift card offers a luxurious experience. Treat yourself or a loved one to expert haircare, styling, and pampering services. It's a ...","""hair salon"" ""gift card"" Greece"
"100","acquoofsweden.com","ACQUO of Sweden","https://acquoofsweden.com/products/acquo-gift-card?srsltid=AfmBOop0hzMNoCCrL8WMAwkN2O-d6_8VvJPl-LtmDuZc1udrL_BTn1K1","ACQUO of Sweden - Gift Card","Give them the gift of choice with a gift card from ACQUO of Sweden. Gift cards are delivered immediately by email and contain instructions to redeem them at ...","""Sweden"" fashion ""gift card"" official"
