merchant_name,website_url,category
Public,https://public.gr,technology
Plaisio,https://plaisio.gr,technology
Germanos,https://germanos.gr,technology
Kotsovolos,https://www.kotsovolos.gr,technology
iStorm,https://www.istorm.gr,technology
You.gr,https://www.you.gr,technology
e-shop.gr,https://www.e-shop.gr,technology
Cosmos Sport,https://www.cosmossport.gr,sports
Sneaker10,https://www.sneaker10.gr,fashion
Zakcret,https://www.zakcret.gr,sports
Hall of Brands,https://www.hallofbrands.gr,fashion
Cosmossport Outlet,https://www.cosmossport.gr,sports
Intersport,https://www.intersport.gr,sports
JD Sports Greece,https://www.jdsports.gr,fashion
Nike Greece,https://www.nike.com/gr,fashion
Adidas Greece,https://www.adidas.gr,fashion
Puma Greece,https://eu.puma.com/gr,fashion
Under Armour Greece,https://www.underarmour.gr,fashion
Bodytalk,https://www.bodytalk.gr,fashion
Funky Buddha,https://www.funky-buddha.com,fashion
Celestino,https://www.celestino.gr,fashion
Toi&moi,https://www.toi-moi.com,fashion
Attrattivo,https://www.attrattivo.gr,fashion
BSB,https://www.bsbfashion.com,fashion
Lynne,https://www.lynneshop.com,fashion
Pink Woman,https://www.pinkwoman-fashion.com,fashion
Sinsay Greece,https://www.sinsay.com/gr/el,fashion
H&M Greece,https://www2.hm.com/el_gr,fashion
Zara Greece,https://www.zara.com/gr,fashion
Bershka Greece,https://www.bershka.com/gr,fashion
Pull&Bear Greece,https://www.pullandbear.com/gr,fashion
Stradivarius Greece,https://www.stradivarius.com/gr,fashion
Massimo Dutti Greece,https://www.massimodutti.com/gr,fashion
Mango Greece,https://shop.mango.com/gr,fashion
Marks & Spencer Greece,https://www.marksandspencer.gr,fashion
attica,https://www.atticadps.gr,department-store
Hondos Center,https://www.hondoscenter.com,beauty
Sephora Greece,https://www.sephora.gr,beauty
The Body Shop,https://www.thebodyshop.gr,beauty
Notino Greece,https://www.notino.gr,beauty
Galerie de Beauté,https://www.galeriedebeaute.gr,beauty
Dust+Cream,https://www.dustandcream.gr,beauty
KIKO Milano Greece,https://www.kikocosmetics.com/el-gr,beauty
MAC Cosmetics Greece,https://www.maccosmetics.gr,beauty
NYX Greece,https://www.nyxcosmetics.gr,beauty
Pharm24,https://www.pharm24.gr,pharmacy
Vita4you,https://www.vita4you.gr,pharmacy
Ofarmakopoiosmou,https://www.ofarmakopoiosmou.gr,pharmacy
Pharmacy295,https://www.pharmacy295.gr,pharmacy
ToFarmakeioMou,https://www.tofarmakeiomou.gr,pharmacy
IKEA Greece,https://www.ikea.gr,home
JYSK Greece,https://jysk.gr,home
Leroy Merlin Greece,https://www.leroymerlin.gr,home
Praktiker Greece,https://www.praktiker.gr,home
HomeMarkt,https://www.homemarkt.gr,home
Kulina,https://www.kulina.gr,home
Zara Home Greece,https://www.zarahome.com/gr,home
Nakas,https://www.nakas.gr,music
Public Books,https://public.gr,books
Ianos,https://www.ianos.gr,books
Politeia,https://www.politeianet.gr,books
Protoporia,https://www.protoporia.gr,books
Evripidis,https://www.evripidis.gr,books
Prenatal,https://www.prenatal.gr,kids
Mothercare Greece,https://www.mothercare.gr,kids
Lapin House,https://www.lapinkids.com,kids
DPAM Greece,https://www.dpam.gr,kids
Moustakas Toys,https://www.moustakastoys.gr,kids
Jumbo,https://www.e-jumbo.gr,kids
Max Stores,https://www.maxstores.gr,kids
Lego Greece,https://www.lego.com/en-gr,kids
e-tennis,https://www.e-tennis.gr,sports
Rundome,https://www.rundome.gr,sports
Decathlon Greece,https://www.decathlon.com.gr,sports
Wolt,https://www.wolt.com,food-delivery
efood,https://www.e-food.gr,food-delivery
BOX,https://box.gr,food-delivery
Starbucks Greece,https://www.starbucks.gr,food
Coffee Island,https://www.coffeeisland.gr,food
Gregory's,https://www.gregorys.gr,food
Everest,https://www.everest.gr,food
Goody's Burger House,https://www.goodys.com,food
Pizza Fan,https://www.pizzafan.gr,food
Domino's Greece,https://www.dominos.gr,food
McDonald's Greece,https://mcdonalds.gr,food
AB Vassilopoulos,https://www.ab.gr,supermarket
Sklavenitis,https://www.sklavenitis.gr,supermarket
My market,https://www.mymarket.gr,supermarket
Masoutis,https://www.masoutis.gr,supermarket
Lidl Greece,https://www.lidl-hellas.gr,supermarket
AEGEAN,https://el.aegeanair.com,travel
SKY express,https://www.skyexpress.gr,travel
Blue Star Ferries,https://www.bluestarferries.com,travel
Seajets,https://www.seajets.com,travel
Minoan Lines,https://www.minoan.gr,travel
Hellenic Seaways,https://www.hellenicseaways.gr,travel
Ferryhopper,https://www.ferryhopper.com,travel
Booking.com,https://www.booking.com,travel
Airbnb,https://www.airbnb.com,travel
Hotels.com,https://www.hotels.com,travel
Hertz Greece,https://www.hertz.gr,travel
Avis Greece,https://www.avis.gr,travel
Sixt Greece,https://www.sixt.gr,travel
Village Cinemas,https://www.villagecinemas.gr,entertainment
Cineplexx Greece,https://www.cineplexx.gr,entertainment
Netflix,https://www.netflix.com/gr,digital
Spotify,https://www.spotify.com/gr,digital
PlayStation Greece,https://www.playstation.com/el-gr,gaming
Xbox Greece,https://www.xbox.com/el-GR,gaming
Nintendo,https://www.nintendo.com,gaming
Steam,https://store.steampowered.com,gaming
Google Play,https://play.google.com,digital
Apple,https://www.apple.com/gr,digital
Roblox,https://www.roblox.com,gaming
Fortnite,https://www.fortnite.com,gaming
Zalando,https://www.zalando.gr,fashion
About You Greece,https://www.aboutyou.gr,fashion
Answear Greece,https://answear.gr,fashion
Modivo Greece,https://modivo.gr,fashion
epapoutsia,https://epapoutsia.gr,fashion
Lacoste Greece,https://www.lacoste.gr,fashion
Tommy Hilfiger Greece,https://gr.tommy.com,fashion
Calvin Klein Greece,https://www.calvinklein.gr,fashion
Pandora Greece,https://gr.pandora.net,jewelry
Swarovski Greece,https://www.swarovski.com/el-GR,jewelry
Kessaris,https://www.kessaris.gr,jewelry
Links of London Greece,https://www.linksoflondon.gr,jewelry
