score,domain,merchant_name,possible_official_url,title,snippet,query,clean_bucket,clean_reason
100,24hr.gr,"Netflix Prepaid Gift card online 15,00€ - 24hr.gr το delivery ...","https://www.24hr.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/tv-prepaid-cards/tv-prepaid-cards/netflix-prepaid-gift-card-online-15,00%E2%82%AC/%CE%B1%CF%81%CF%87%CE%AE=312?srsltid=AfmBOoooiwSpMt7IYgn1V4Pn6W8KqpFGDBp4R7gHKiA28MV62GJxoPnT","Netflix Prepaid Gift card online 15,00€ - 24hr.gr το delivery ...","Netflix Prepaid Gift card online 15,00€ Με τη Netflix Prepaid Gift card ... Pet Shop. Για τον σκύλο · Για τη γάτα. Για Παιδιά. Παιχνίδια · Συλλογές Χαρτάκια ...","site:.gr ""pet shop"" ""gift card""",REJECT,known_false_positive_or_reseller
100,app.anyroad.com,Gift Voucher - First Class Tandem Skydiving from 14000 feet,https://app.anyroad.com/i/curated-list/skydive_athens_curated_tours_gift_voucher/tours/gift-voucher-first-class-tandem-skydiving-from-14000-feet,Gift Voucher - First Class Tandem Skydiving from 14000 feet,"Buy online, and your Skydive Athens Gift Voucher will be delivered to you via e-mail! ... All equipment provided, just bring comfortable clothing and sneakers.","""Athens"" ""sneakers"" ""gift voucher""",REJECT,unsafe_subdomain
100,artgroup.gr,Gift Card,https://www.artgroup.gr/watch-bands/gift-card,Gift Card,Purchasing this digital gift card creates a unique code. The gift card ... Art Group Interiors. Sign In. Cart ... Gift Card · NextRoyal Garnet Apple Watch Strap ...,"site:.gr ""art"" ""gift card""",REJECT,third_party_apple_gift_card
100,blog.easytechnology.gr,Steam gift card greece Αρχεία - Blog.EasyTechnology.gr,https://blog.easytechnology.gr/tag/steam-gift-card-greece/,Steam gift card greece Αρχεία - Blog.EasyTechnology.gr,"... gift card greece, Steam redeem Code, steam δωροκαρτα, δωροκαρτα steam, πώς να κατεβάσω το steam στον υπολογιστή, στεαμ dvrokarta. Πάμε στο EasyTechnology.gr ...","""technology"" ""gift card"" Greece",REJECT,unsafe_subdomain
100,blog.germanos.gr,Τι δώρο να πάρω; E,https://blog.germanos.gr/articles/reviews-guides/germanos-e-gift-card-fetos-ta-hristoygenna-harise-toys-oti-theloyn,Τι δώρο να πάρω; E-Gift Card - G BLOG,"... δωροκάρτες του ΓΕΡΜΑΝΟΥ, να σε βγάλουν από τη δύσκολη θέση και να σώσουν την κατάσταση! Τι ακριβώς είναι οι e-Gift Cards; Κάτι σαν τις απλές ...","site:.gr ""δωροκάρτες""",REJECT,unsafe_subdomain
100,buysellvouchers.com,Buy Apple Gift Cards Greece,https://www.buysellvouchers.com/en/products/list/gift-cards-apple/GR/?srsltid=AfmBOopVrjDDiliKi1nvDb2ClnBPNPppI4iBTYXX0OdVfaGHtSZGf58f,Buy Apple Gift Cards Greece,Gaming Entertainment Retail Food Travel Prepaid Sport Electronics Home Beauty Ebooks Mobile Vcc Software Downloads All gift cards. Apple Gift Card Greece.,"""electronics"" ""gift card"" Greece",REJECT,known_false_positive_or_reseller
100,canadiandentalsupplies.ca,Sephora Gift Card - – Canadian Dental Supplies,https://canadiandentalsupplies.ca/products/sephora-gift-card?srsltid=AfmBOoq3DJ1A2R8qD6IFqbxpqUWbb9qZjYz9zPeVUCT9wJC5Mlxp0Nyc,Sephora Gift Card - – Canadian Dental Supplies,Sephora Gift Card - – Canadian Dental Supplies. Skip to the content. We Are ... Greece (CAD $); Greenland (CAD $); Grenada (CAD $); Guadeloupe (CAD ...,"""dental"" ""gift card"" Greece",REJECT,third_party_sephora_gift_card
100,cardfly.net,MANGO Greece Gift Card | EUR - CardFly,https://cardfly.net/gift-cards/mango/greece,MANGO Greece Gift Card | EUR - CardFly,Because typing card details twice is nobody's hobby. Download onApp ... gift voucher code.</p> <p>If the order value is lower than the voucher value ...,"""hobby"" ""gift voucher"" Greece",REJECT,known_false_positive_or_reseller
100,cardtonic.com,Top 7 Most Common Gift Cards You Can Buy In Greece,https://cardtonic.com/read/gift-cards-in-greece,Top 7 Most Common Gift Cards You Can Buy In Greece,"Technology · Tutorials · Virtual Cards. 6 mins read Reviews. Top 7 Most Common ... Can I Use A Visa Gift Card In Greece? Yes, you can use a Visa gift card in ...","""technology"" ""gift card"" Greece",REJECT,known_false_positive_or_reseller
100,coincards.com,Global Hotel Card Online Gift Card (Electronic Delivery) ...,https://coincards.com/eu/product/global-hotel-card-online-gift-card-electronic-delivery-greece/,Global Hotel Card Online Gift Card (Electronic Delivery) ...,Global Hotel Card Online Gift Card (Electronic Delivery) (Greece). Redeemable in: Greece. Brand: Global Hotel Card Website: https://www.globalhotelcard.com/ ...,"""hotel"" ""gift card"" Greece",REJECT,known_false_positive_or_reseller
