canonical_key,merchant_name,official_domain,status,source_name,overlaps_production
thejacketmaker.gr,Thejacketmaker,thejacketmaker.gr,VERIFIED,Google Serper Strict v2,YES
toys-shop.gr,Toys Shop,toys-shop.gr,VERIFIED,Google Serper Strict v2,YES
vantaggio.gr,Vantaggio,vantaggio.gr,VERIFIED,Google Serper Strict v2,YES
mdi.gr,Mdi,mdi.gr,VERIFIED,Google Serper Strict v2,YES
viejewellery.gr,Viejewellery,viejewellery.gr,VERIFIED,Google Serper Strict v2,YES
idealofsweden.gr,Idealofsweden,idealofsweden.gr,VERIFIED,Google Serper Strict v2,YES
completetravel.gr,Completetravel,completetravel.gr,VERIFIED,Google Serper Strict v2,YES
tofarmakeiomou.gr,ToFarmakeioMou,tofarmakeiomou.gr,VERIFIED,Official Site Discovery v3,YES
ammashop.gr,Ammashop,ammashop.gr,VERIFIED,Google Serper Strict v2,YES
electrocrete.gr,Electrocrete,electrocrete.gr,VERIFIED,Google Serper Strict v2,YES
anviacandles.gr,Anviacandles,anviacandles.gr,VERIFIED,Google Serper Strict v2,YES
ryanair.com,Ryanair,ryanair.com,VERIFIED,Official Site Discovery v3,YES
artcolour.gr,Artcolour,artcolour.gr,VERIFIED,Google Serper Strict v2,YES
medi-shop.gr,Medi Shop,medi-shop.gr,VERIFIED,Google Serper Strict v2,YES
paidikaianaptixi.gr,Paidikaianaptixi,paidikaianaptixi.gr,VERIFIED,Google Serper Strict v2,YES
pegaboshoes.gr,Pegabo Shoes,pegaboshoes.gr,VERIFIED,BestPrice Prepaid Cards,YES
beauty-case.gr,Beauty Case,beauty-case.gr,VERIFIED,Google Serper Strict v2,YES
decathlon.com.gr,Decathlon Greece,decathlon.com.gr,VERIFIED,Official Site Discovery v3,YES
papastavroushops.gr,Papastavroushops,papastavroushops.gr,VERIFIED,Google Serper Strict v2,YES
annysresidences.gr,Annysresidences,annysresidences.gr,VERIFIED,Google Serper Strict v2,YES
beautylink.gr,Beautylink,beautylink.gr,VERIFIED,Google Serper Strict v2,YES
beautyprincess.gr,Beautyprincess,beautyprincess.gr,VERIFIED,Google Serper Strict v2,YES
bloss.gr,Bloss,bloss.gr,VERIFIED,Google Serper Strict v2,YES
creatorshop.gr,Creatorshop,creatorshop.gr,VERIFIED,Google Serper Strict v2,YES
iqueens.gr,iQueens,iqueens.gr,VERIFIED,Kouponia365 Gift Cards,YES
buzzsneakers.gr,Buzzsneakers,buzzsneakers.gr,VERIFIED,Google Serper Strict v2,YES
cavallo.gr,Cavallo,cavallo.gr,VERIFIED,Google Serper Strict v2,YES
culturalsociety.gr,Culturalsociety,culturalsociety.gr,VERIFIED,Google Serper Strict v2,YES
coolclub.gr,Coolclub,coolclub.gr,VERIFIED,Google Serper Strict v2,YES
idil.gr,Idil,idil.gr,VERIFIED,Google Serper Strict v2,YES
belmond.com,Belmond,belmond.com,VERIFIED,Official Site Discovery v3,YES
melrose.gr,Melrose,melrose.gr,VERIFIED,Google Serper Strict v2,YES
palazzodiscarpe.gr,Palazzodiscarpe,palazzodiscarpe.gr,VERIFIED,Google Serper Strict v2,YES
decolight.gr,Decolight,decolight.gr,VERIFIED,Google Serper Strict v2,YES
dmcreations.gr,Dmcreations,dmcreations.gr,VERIFIED,Google Serper Strict v2,YES
pointe.gr,Pointe,pointe.gr,VERIFIED,Google Serper Strict v2,YES
funkymonkeyshoes.gr,Funkymonkeyshoes,funkymonkeyshoes.gr,VERIFIED,Google Serper Strict v2,YES
gruppobizzaro.gr,Gruppobizzaro,gruppobizzaro.gr,VERIFIED,Google Serper Strict v2,YES
tacticalstore.gr,Tacticalstore,tacticalstore.gr,VERIFIED,Google Serper Strict v2,YES
stemalaser.gr,Stemalaser,stemalaser.gr,VERIFIED,Review Universe v4.1,YES
feverup.com,Fever,feverup.com,VERIFIED,Official Site Discovery v3,YES
divanis.com,Divani Collection,divanis.com,VERIFIED,Official Site Discovery v3,YES
stan-stefan.gr,Stan & Stefan,stan-stefan.gr,VERIFIED,Kouponia365 Gift Cards,YES
healthypetspharmacy.gr,Healthypetspharmacy,healthypetspharmacy.gr,VERIFIED,Google Serper Strict v2,YES
hotelshops.gr,Hotelshops,hotelshops.gr,VERIFIED,Google Serper Strict v2,YES
kikoo.gr,Kikoo,kikoo.gr,VERIFIED,Google Serper Strict v2,YES
lamillou.gr,Lamillou,lamillou.gr,VERIFIED,Google Serper Strict v2,YES
maiarea.gr,Maiarea,maiarea.gr,VERIFIED,Google Serper Strict v2,YES
maralcrafts.gr,Maralcrafts,maralcrafts.gr,VERIFIED,Google Serper Strict v2,YES
the-toy.gr,The Toy,the-toy.gr,VERIFIED,Google Serper Strict v2,YES
myredraven.com,Red Raven Eyewear,myredraven.com,VERIFIED,Kouponia365 Gift Cards,YES
slamdunk.gr,Slamdunk,slamdunk.gr,VERIFIED,Kouponia365 Gift Cards,YES
goldmall.gr,Goldmall,goldmall.gr,VERIFIED,Google Serper Strict v2,YES
phoskitchenware.gr,Phoskitchenware,phoskitchenware.gr,VERIFIED,Google Serper Strict v2,YES
piedini.gr,Piedini,piedini.gr,VERIFIED,Google Serper Strict v2,YES
medithea-eshop.gr,Medithea Eshop,medithea-eshop.gr,VERIFIED,Google Serper Strict v2,YES
mfdayspa.gr,Mfdayspa,mfdayspa.gr,VERIFIED,Google Serper Strict v2,YES
mikelidis.gr,Mikelidis,mikelidis.gr,VERIFIED,Google Serper Strict v2,YES
twininas.gr,Twininas,twininas.gr,VERIFIED,Google Serper Strict v2,YES
lidl-hellas.gr,Lidl Greece,lidl-hellas.gr,VERIFIED,Official Site Discovery v3,YES
undergroundshop.gr,Undergroundshop,undergroundshop.gr,VERIFIED,Google Serper Strict v2,YES
zalando.gr,Zalando,zalando.gr,VERIFIED,Google Serper Strict v2,YES
motovinios.gr,Motovinios,motovinios.gr,VERIFIED,Google Serper Strict v2,YES
moustakisfc.gr,Moustakisfc,moustakisfc.gr,VERIFIED,Google Serper Strict v2,YES
musicworks.gr,Musicworks,musicworks.gr,VERIFIED,Google Serper Strict v2,YES
parousiafashion.gr,Parousiafashion,parousiafashion.gr,VERIFIED,Google Serper Strict v2,YES
lauraashleyshop.gr,Lauraashleyshop,lauraashleyshop.gr,VERIFIED,Google Serper Wave2 Clean v1,YES
ame30.gr,Ame30,ame30.gr,VERIFIED,Google Serper Strict v2,YES
bbq.gr,Bbq,bbq.gr,VERIFIED,Google Serper Strict v2,YES
beautypeak.gr,Beautypeak,beautypeak.gr,VERIFIED,Google Serper Strict v2,YES
bonheurbeauty.gr,Bonheurbeauty,bonheurbeauty.gr,VERIFIED,Google Serper Strict v2,YES
