id,status,merchant_name,title,source_type,source_name,source_url,source_domain,possible_official_url,possible_official_domain,confidence,recommended_action,notes
cmt9y1dwv002ppwiyo2jeg9lj,DISCOVERED,Powerpharm,Δωροεπιταγή 30,SEARCH_ENGINE,Google Serper Wave2 Clean v1,https://powerpharm.gr/shop/gift-for-you-30/,powerpharm.gr,https://powerpharm.gr,powerpharm.gr,,REVIEW_THEN_ACCEPT,"Wave2Bucket=HIGH_SAFE | Wave2Score=70 | Wave2Reasons=GIFT_TITLE | PURCHASE_SIGNAL | GREEK_DOMAIN | MULTI_HIT | Queries=site:.gr φαρμακείο ""gift card"" | Imported to DISCOVERED only; requires verification before production."
cmt9y1dlt002mpwiyylmncqhf,DISCOVERED,Oikosepipla,Αγοράστε μία Δωροεπιταγή,SEARCH_ENGINE,Google Serper Wave2 Clean v1,https://oikosepipla.gr/index.php?route=account/voucher,oikosepipla.gr,https://oikosepipla.gr,oikosepipla.gr,,REVIEW_THEN_ACCEPT,"Wave2Bucket=HIGH_SAFE | Wave2Score=70 | Wave2Reasons=GIFT_TITLE | PURCHASE_SIGNAL | GREEK_DOMAIN | MULTI_HIT | Queries=site:.gr ""δωροεπιταγή"" αγορά | Imported to DISCOVERED only; requires verification before production."
cmt9y1di3002lpwiy1rsedmhj,DISCOVERED,Martin Tailored,Αγοράστε μια Δωροκάρτα - Martin & Co - Ανδρική Ένδυση,SEARCH_ENGINE,Google Serper Wave2 Clean v1,https://martin-tailored.gr/agoraste-mia-dwrokarta/?srsltid=AfmBOop_xLecyDWEqEui0M8CsZLeI8FGwCml_RyQqRBhK6_nBj7DXaS6,martin-tailored.gr,https://martin-tailored.gr,martin-tailored.gr,,REVIEW_THEN_ACCEPT,"Wave2Bucket=HIGH_SAFE | Wave2Score=70 | Wave2Reasons=GIFT_TITLE | PURCHASE_SIGNAL | GREEK_DOMAIN | MULTI_HIT | Queries=site:.gr intitle:""δωροκάρτα"" shop | Imported to DISCOVERED only; requires verification before production."
cmt9y1d3v002hpwiykbjwtfip,DISCOVERED,Kaizen Shop,Δωροκάρτα Silver,SEARCH_ENGINE,Google Serper Wave2 Clean v1,https://kaizen-shop.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-silver/,kaizen-shop.gr,https://kaizen-shop.gr,kaizen-shop.gr,,REVIEW_THEN_ACCEPT,"Wave2Bucket=HIGH_SAFE | Wave2Score=70 | Wave2Reasons=GIFT_TITLE | PURCHASE_SIGNAL | GREEK_DOMAIN | MULTI_HIT | Queries=site:.gr intitle:""δωροκάρτα"" shop | Imported to DISCOVERED only; requires verification before production."
cmt9y1c540028pwiyg5wuh1eo,DISCOVERED,Cakeart,Αγοράστε μία Δωροεπιταγή,SEARCH_ENGINE,Google Serper Wave2 Clean v1,https://cakeart.gr/4/index.php?route=account/voucher&srsltid=AfmBOooaoOhSThXYBhEJzXWhgiyTL94z5TOpQRgAf8eaL2MWUTurqVuS,cakeart.gr,https://cakeart.gr,cakeart.gr,,REVIEW_THEN_ACCEPT,"Wave2Bucket=HIGH_SAFE | Wave2Score=70 | Wave2Reasons=GIFT_TITLE | PURCHASE_SIGNAL | GREEK_DOMAIN | MULTI_HIT | Queries=site:.gr ""δωροεπιταγή"" αγορά | Imported to DISCOVERED only; requires verification before production."
cmt9y1bew0021pwiy057t0qna,DISCOVERED,Taverna Ionio,Microsoft Xbox Game Pass Buy Xbox Gift Xbox Gift Card [Digital],SEARCH_ENGINE,Google Serper Wave2 Clean v1,https://www.taverna-ionio.gr/?r=31205015021200,taverna-ionio.gr,https://taverna-ionio.gr,taverna-ionio.gr,,REVIEW_THEN_ACCEPT,"Wave2Bucket=HIGH_SAFE | Wave2Score=80 | Wave2Reasons=GIFT_TITLE | PURCHASE_SIGNAL | GREEK_DOMAIN | MULTI_QUERY | MULTI_HIT | Queries=site:.gr gaming ""gift card"" | site:.gr games ""gift card"" | Imported to DISCOVERED only; requires verification before production."
cmt9y1b0k001xpwiyq0b7twmv,DISCOVERED,Regroup,"Νηρηίδες Spa, Πλάκα | Προσφορά Gift Card για Όλες τις ...",SEARCH_ENGINE,Google Serper Wave2 Clean v1,https://www.regroup.gr/prosfores/deal/niriides-spa-gift-card-1,regroup.gr,https://regroup.gr,regroup.gr,,REVIEW_THEN_ACCEPT,"Wave2Bucket=HIGH_SAFE | Wave2Score=70 | Wave2Reasons=GIFT_TITLE | GREEK_DOMAIN | MULTI_QUERY | MULTI_HIT | Queries=site:.gr spa ""gift card"" | ""gift card"" Greece spa | Imported to DISCOVERED only; requires verification before production."
cmt9y1am0001tpwiy53gdr9jk,DISCOVERED,Morfi Hydraulics,HOT ! Blown Away Hair Salon Blown Away Salon Gift Card,SEARCH_ENGINE,Google Serper Wave2 Clean v1,https://www.morfi-hydraulics.gr/?f,morfi-hydraulics.gr,https://morfi-hydraulics.gr,morfi-hydraulics.gr,,REVIEW_THEN_ACCEPT,"Wave2Bucket=HIGH_SAFE | Wave2Score=70 | Wave2Reasons=GIFT_TITLE | GREEK_DOMAIN | MULTI_QUERY | MULTI_HIT | Queries=site:.gr barber ""gift card"" | site:.gr bar ""gift card"" | Imported to DISCOVERED only; requires verification before production."
cmt9y1a70001ppwiyfiso1eoj,DISCOVERED,Maeliacosmetics,Maelia cosmetics gift card,SEARCH_ENGINE,Google Serper Wave2 Clean v1,https://maeliacosmetics.gr/products/maelia-cosmetics-gift-card?srsltid=AfmBOorO6n07avSscQfTSViGcbW8UYU7Lk1RFAkdzXyscfkVyVWSUpGu,maeliacosmetics.gr,https://maeliacosmetics.gr,maeliacosmetics.gr,,REVIEW_THEN_ACCEPT,"Wave2Bucket=HIGH_SAFE | Wave2Score=70 | Wave2Reasons=GIFT_TITLE | GREEK_DOMAIN | MULTI_QUERY | MULTI_HIT | Queries=site:.gr skincare ""gift card"" | site:.gr καλλυντικά ""gift card"" | Imported to DISCOVERED only; requires verification before production."
cmt9y19oq001kpwiy8n5nv3s1,DISCOVERED,Lasertouch,Laser Touch Gift Card | Αισθητική Πλαστική Χειρουργική και ...,SEARCH_ENGINE,Google Serper Wave2 Clean v1,https://www.lasertouch.gr/laser-touch-gift-card/,lasertouch.gr,https://lasertouch.gr,lasertouch.gr,,REVIEW_THEN_ACCEPT,"Wave2Bucket=HIGH_SAFE | Wave2Score=70 | Wave2Reasons=GIFT_TITLE | GREEK_DOMAIN | MULTI_QUERY | MULTI_HIT | Queries=site:.gr μουσικά ""gift card"" | site:.gr φαρμακείο ""gift card"" | Imported to DISCOVERED only; requires verification before production."
