score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason
100,1minutepay.com,The Most Popular Gift Cards In France,https://1minutepay.com/blog/popular-gift-cards-in-france/,The Most Popular Gift Cards In France,The Most Popular Gift Cards In France · 3. Itunes Gift Card · 4. Netflix Gift Card · 5. Amazon Gift Card · 6. Steam Card Gift card · 6. Neosurf Gift Cards.,"""France"" fashion ""gift card"" official",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
100,2gosoftware.eu,Douglas Gift Card - 25 Euro - Germany - 2GO Software,https://2gosoftware.eu/en-gr/douglas-gift-card-25-euro-germany,Douglas Gift Card - 25 Euro - Germany - 2GO Software,"Douglas Gift Card | 25 Euro | Germany · Money back guarantee · 100% legitimate codes · Real-time, digital delivery (by e-mail).","""Germany"" beauty ""gift card"" official",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
100,aceb.com,Buy Sephora Italy Gift Card with Crypto | Instant Delivery,https://aceb.com/giftcards/sephora-italy,Buy Sephora Italy Gift Card with Crypto | Instant Delivery,Buy securely with cryptocurrency and receive your digital gift card instantly by email. The Sephora Italy Gift Card is the ideal choice for anyone who loves ...,"""Italy"" beauty ""gift card"" official",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
100,alliedmarketresearch.com,"Italy Gift Cards Market Size, Share, Growth, Trends | Analysis",https://www.alliedmarketresearch.com/italy-gift-cards-market,"Italy Gift Cards Market Size, Share, Growth, Trends | Analysis","For instance in April 16, 2020, Instagram in Italy has now officially announced the addition of its new gift card, food order, and fundraiser tools for stories ...","""Italy"" retail ""gift card"" official",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
85,amazon.es,Amazon.es: Gift Cards,https://www.amazon.es/-/en/b?ie=UTF8&node=3564279031,Amazon.es: Gift Cards,Shop gift cards from popular brands ; Google Play code (send via email; valid only for Spain). €5.00 ; NEU Apple Gift Card - for Spain - by e-mail. €10.00 · 10 ...,"""Spain"" retail ""gift card"" official",5,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,third_party_apple_gift_card
85,app.squareup.com,Order | Hair by Larissa eGift Cards,https://app.squareup.com/gift/MLMSKXKVCZ04W/order,Order | Hair by Larissa eGift Cards,Order Hair by Larissa eGift Cards online and give the perfect gift ... What kind of gift is it? For one individual. Send a gift card to one recipient. Group gift ...,"""Larissa"" ""gift card""",5,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,unsafe_subdomain
100,app.talk-home.com,Buy Hotel Gift Cards for Netherlands,https://app.talk-home.com/en/gift-card/netherlands/hotel?srsltid=AfmBOoq1i6Zy2hYHR9Pl7PgXu6McvMFiNitCxUSwm-I_gw6VVuEqO9Q2,Buy Hotel Gift Cards for Netherlands,"Hotel Gift Card. netherlands. Country of use: netherlands. No products. Sorry, we don't have any products available for Hotel Gift Card at this moment. The ...","""Netherlands"" hotel ""gift card"" official",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,unsafe_subdomain
100,apps.apple.com,Special Gift Cards - App Store,https://apps.apple.com/au/app/special-gift-cards/id1585917288,Special Gift Cards - App Store,"The voucher has proven to be practically unusable, and I will never purchase a this gift card again. ... Malta · Moldova, Republic Of · Montenegro · Nederland ...","""Malta"" retail ""gift card"" official",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
100,asdagiftcards.com,Buy Gift Cards and Gift Vouchers - 100+ UK Brands,https://www.asdagiftcards.com/cards?srsltid=AfmBOorFOuVrK9ReoazbXKaFPcdFPKIK1-C1-LLY9DU7dK3VpEPqJosI,Buy Gift Cards and Gift Vouchers - 100+ UK Brands,"No matter the person, we've got the perfect gift card for them. Buy gift ... £20 - £100. Gift Card New Look UK Gift Card£1 - £200. Gift Card Nike UK£15 ...","""UK"" retail ""gift card"" official",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
100,athensextremesports.com,Gift Card | athens-extreme-sports | Buy a gift coupon online,https://www.athensextremesports.com/gift-card,Gift Card | athens-extreme-sports | Buy a gift coupon online,Gift Card. €25. Amount. €25. €50. €100. €150. €200. €300 ... Outdoor activities and extreme sports experiences in Greece. contact ...,"""sports"" ""gift card"" Greece",2,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,non_merchant_signal
100,aura-print.com,Gift Voucher Printing,https://aura-print.com/usa/gift-voucher-printing,Gift Voucher Printing,"With our custom gift vouchers, you have the liberty to design and print vouchers that resonate with your brand's message, ensuring that each voucher you hand ...","""printing"" ""gift voucher"" Greece",3,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,non_merchant_signal
