score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason
100,1minutepay.com,The Most Popular Gift Cards In France,https://1minutepay.com/blog/popular-gift-cards-in-france/,The Most Popular Gift Cards In France,The Most Popular Gift Cards In France · 3. Itunes Gift Card · 4. Netflix Gift Card · 5. Amazon Gift Card · 6. Steam Card Gift card · 6. Neosurf Gift Cards.,"""France"" fashion ""gift card"" official",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
100,2gosoftware.eu,Douglas Gift Card - 25 Euro - Germany - 2GO Software,https://2gosoftware.eu/en-gr/douglas-gift-card-25-euro-germany,Douglas Gift Card - 25 Euro - Germany - 2GO Software,"Douglas Gift Card | 25 Euro | Germany · Money back guarantee · 100% legitimate codes · Real-time, digital delivery (by e-mail).","""Germany"" beauty ""gift card"" official",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
55,4gold.eu,4gold,https://4gold.eu/en-gr/products/e-giftcard?srsltid=AfmBOooWGuDwlP3Y6vMIScz0AmXa_dCXXGwLXaBMSph0uaLhqLmK9zGW,E-giftcard - 4GOLD,"The 4Gold E-Gift Card isn't just a gift, it's the perfect boost to help someone fuel their journey towards maximum performance and a healthier lifestyle.","""fuel"" ""gift card"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
60,57fashionbar.com,GIFTCARDS,https://57fashionbar.com/collections/giftcards?srsltid=AfmBOoocuvtx3h_4gHRdVm2M54dTTSWoKy9MMoT6YlU9YkE9aycRdvr8,GIFTCARDS,"GIFT CARD 50€. Shop Now >. GIFT CARD 50€. GIFT CARD 50€. 57 FASHION BAR. Regular price €50,00 · GIFT CARD 100€. Shop Now >. GIFT CARD 100€.","""fashion"" ""gift card"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear
80,5star-travel.gr,5star Travel,https://www.5star-travel.gr/B137AE32.el.aspx,Gift Voucher,"Το 5 STAR TRAVEL GIFT VOUCHER, είναι μια δωροκάρτα μέσα από την οποία έχετε την δυνατότητα να καταθέσετε στο γραφείο μας ένα ποσό (50 ευρώ και άνω) το οποίο ...","site:.gr ""travel"" ""gift voucher""",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card
80,8aisti.com,Beauty Salon Kahdeksas Aisti,https://www.8aisti.com/en/gifts/?srsltid=AfmBOorMGnwMxNqFDkAAM1oJ_Yc7Fy0cHA_QXQlg7UDRy7p959o4vMCB,Beauty Salon Kahdeksas Aisti - Gift cards,"We deliver a high-quality Kahdeksas Aisti gift card in a stylish gift envelope by post to the address of your choice, or you can pick it up at our salon if ...","""Finland"" beauty ""gift card"" official",5,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear
80,abajourmonamour.gr,Abajourmonamour,https://www.abajourmonamour.gr/en/product-category/dorokartes/,Gift cards,Kids-Baby · Ceiling light shade for kids · Wall sconce for children's room · Victorian ... Δωροκάρτα Abajourmonamour 40€-Abajourmonamour. Gift Cards. Gift Card ...,"""Chania"" ""kids"" ""δωροκάρτα""",3,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card
100,abbeytravel.ie,Abbey Travel Gift Vouchers,https://www.abbeytravel.ie/abbey-travel-gift-vouchers,Abbey Travel Gift Vouchers,Spain Back. Costa ... Abbey Travel Gift Vouchers. Give the gift of travel with an Abbey Travel Gift Voucher. Get A Gift Voucher. Abbey Travel Gift Vouchers ...,"""Spain"" travel ""gift voucher"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
100,aberdevine.co,Aberdevine,https://aberdevine.co/products/aberdevine-e-gift-card?srsltid=AfmBOor5jrGAjbef3zyqGXV1ecCiTUFT7pwEISPH4OfwxUNM3m3KXv8q,E-GIFT CARD - Aberdevine,Lingerie gift card. E-Gift Card- perfect lingerie gift. Treat them to the perfect present by letting them choose their own dream Aberdevine lingerie set.,"""lingerie"" ""gift card"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
100,aceb.com,Buy Sephora Italy Gift Card with Crypto | Instant Delivery,https://aceb.com/giftcards/sephora-italy,Buy Sephora Italy Gift Card with Crypto | Instant Delivery,Buy securely with cryptocurrency and receive your digital gift card instantly by email. The Sephora Italy Gift Card is the ideal choice for anyone who loves ...,"""Italy"" beauty ""gift card"" official",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
