score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason,v2_bucket,v2_reason
80,5star-travel.gr,5star Travel,https://www.5star-travel.gr/B137AE32.el.aspx,Gift Voucher,"Το 5 STAR TRAVEL GIFT VOUCHER, είναι μια δωροκάρτα μέσα από την οποία έχετε την δυνατότητα να καταθέσετε στο γραφείο μας ένα ποσό (50 ευρώ και άνω) το οποίο ...","site:.gr ""travel"" ""gift voucher""",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card,GREEK_SAFE,greek_domain_second_pass_safe
80,abajourmonamour.gr,Abajourmonamour,https://www.abajourmonamour.gr/en/product-category/dorokartes/,Gift cards,Kids-Baby · Ceiling light shade for kids · Wall sconce for children's room · Victorian ... Δωροκάρτα Abajourmonamour 40€-Abajourmonamour. Gift Cards. Gift Card ...,"""Chania"" ""kids"" ""δωροκάρτα""",3,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card,GREEK_SAFE,greek_domain_second_pass_safe
85,adelco-eshop.gr,Adelco Eshop,https://adelco-eshop.gr/index.php?route,Gift Cards,Υπάρχει η Εύκολη Λύση – αγοράστε εύκολα και γρήγορα Ηλεκτρονική Δωροκάρτα με ... experience targeted ads for your interests. Marketing and Retargeting.,"site:.gr ""experience"" ""δωροκάρτα""",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card,GREEK_SAFE,greek_domain_second_pass_safe
80,adventurejunkies.gr,Δωροκάρτα 90€ - Adventure Junkies | Ride - Hike - Camp,https://www.adventurejunkies.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-90e/?srsltid=AfmBOooP4o3COPGY61u2V9iXNihOJXGF_hMLUvIWDbO6JOLFzv2kIsDH,Δωροκάρτα 90€ - Adventure Junkies | Ride - Hike - Camp,Adventure Junkies | Ride ... Adventure Junkies | Ride - Hike - Camp ... Δωροκάρτα 90€. Home. /. Κατάστημα. /. Δωροκάρτα 90€ ...,"site:.gr ""adventure"" ""δωροκάρτα""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card,GREEK_SAFE,greek_domain_second_pass_safe
100,aladastra.com,Aladastra,https://aladastra.com/gift-bundles/e-gift-cards.html,E-Gift Cards - Aladastra Yoga & Wellness Lifestyle,... €50 E-Gift Card. (). €50.00. wishlist Add to Cart ... Athens (VISIT BY APPOINTMENT). OUR STORY. ABOUT US · OUR PHILOSOPHY.,"""Athens"" ""yoga"" ""gift card""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal
80,alchemist-aromas.com,Perfume Gift Voucher - Experience Alchemist Aromas® Luxury ...,https://alchemist-aromas.com/en/products/alchemist-aromas-gutschein?srsltid=AfmBOoq15V9pfK6fTtbAAS0BhZ_5WoYHEHAszlO9VFH7Xcc83i9njZSc,Perfume Gift Voucher - Experience Alchemist Aromas® Luxury ...,Gift the magic of scent with Alchemist Aromas®'s perfume gift voucher. Perfect for exploring exquisite fragrances for everyone ... Greece EUR €; Hungary HUF Ft ...,"""perfume"" ""gift voucher"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal
85,aleboutique.gr,Δωροκάρτα - Aleboutique.gr,https://aleboutique.gr/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-aleboutique,Δωροκάρτα - Aleboutique.gr,Αγοράστε μία Δωροκάρτα αξίας από 10€ έως 200€ | Το Aleboutique.gr σου ... BAGS · SHOULDER BAGS · STRAW BAGS · CLUTCH BAGS · PHONE BAGS · BACKPACK · WALLETS ...,"""bags"" ""δωροκάρτα"" Greece",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card,GREEK_SAFE,greek_domain_second_pass_safe
85,alfafood.gr,Αγοράστε μία Δωροεπιταγή - ALFA FOOD,https://www.alfafood.gr/index.php?route,Αγοράστε μία Δωροεπιταγή - ALFA FOOD,Αγοράστε μία Δωροεπιταγή ... Αυτή η δωροεπιταγή θα αποσταλεί μέ e-mail στον παραλήπτη αφού ολοκληρωθεί ή πληρωμή σας. Όνομα παραλήπτη. E-mail παραλήπτη.,"site:.gr ""food"" ""δωροεπιταγή""",2,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card,GREEK_SAFE,greek_domain_second_pass_safe
80,alhimistisbags.gr,Alhimistis Bags,https://alhimistisbags.gr/product/dwroepitagh-alhimistis-bags/?srsltid,Δωροεπιταγή Alhimistis Bags,"Δωροεπιταγή Alhimistis Bags. 50,00 € ; From: To: ; Θα μας βρείτε. Διεύθυνση καταστήματος: Λεωφ. Ελευθερίου Βενιζέλου 57 (Πανεπιστημίου 57) Τ.Κ. 10564, Αθήνα. E- ...","site:.gr ""bags"" ""δωροεπιταγή""",2,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card,GREEK_SAFE,greek_domain_second_pass_safe
100,all.accor.com,The Perfect Present: The ALL Accor Gift Card,https://all.accor.com/a/en/experiences/all-gift-card.html,The Perfect Present: The ALL Accor Gift Card,An extended seaside escape in Crete. ALL ... Any bookings paid in advance will be refunded at the hotel and your gift voucher will be used as payment.,"""Crete"" ""hotel"" ""gift voucher""",6,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal
