score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason,v2_bucket,v2_reason
80,bestofdeals.gr,bestofdeals.gr - Κουπόνια,https://bestofdeals.gr/,bestofdeals.gr - Κουπόνια | Δωροεπιταγές,... NAILS · ΚΟΜΜΩΤΗΡΙΑ · ΠΡΟΣΩΠΟ · ΒΛΕΦΑΡΙΔΕΣ – ΦΡΥΔΙΑ · SOLARIUM · ΣΩΜΑ · ΔΙΑΙΤΑ ... Δωροεπιταγή για να πληρώσετε στην επιχείρηση μόνο 675€ με τη Δωροεπιταγή του ...,"site:.gr ""nails"" ""δωροεπιταγή""",2,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card,REJECT,known_aggregator_reseller_or_platform
85,booking.anhotel.lt,online booking,https://booking.anhotel.lt/?lang=en,online booking - gift voucher system - AN hotel,"Online reservation of hotel services and gift voucher system ... paros kainos mokestis, nepriklausomai nuo to, kiek dienų trumpinamas viešnagės laikas.","""Paros"" ""hotel"" ""gift voucher""",1,data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,REJECT,booking_comparison_corporate_or_platform_host
85,booking.gradiali.com,Gradiali Palanga - online booking & gift voucher system,https://booking.gradiali.com/packets?category=9&lang=en,Gradiali Palanga - online booking & gift voucher system,"Online reservation of hotel services and gift voucher system ... paros kainos mokestis, nepriklausomai nuo to, kiek dienų trumpinamas viešnagės laikas ...","""Paros"" ""hotel"" ""gift voucher""",1,data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,REJECT,booking_comparison_corporate_or_platform_host
55,business-travel.gr,Business Travel Giftcard - Corporate Travel | DMC | MICE,https://business-travel.gr/en/tour/business-travel-giftcard-en/,Business Travel Giftcard - Corporate Travel | DMC | MICE,"The perfect gift for any occasion, any traveler, and any dream. Make Dreams Come True with the Business Travel Gift Card! Choose the color and the amount for ...","site:.gr ""travel"" ""gift card""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card,REJECT,non_merchant_or_aggregator_signal
85,carddepot.com,Buy Discount Gift Cards — Card Depot,https://carddepot.com/,Buy Discount Gift Cards — Card Depot,Save big with discount gift cards from your favorite brands. Shop smarter with Card Depot — gift cards that never expire and always keep money in your pocket.,"""Glyfada"" ""decor"" ""gift card""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,REJECT,known_aggregator_reseller_or_platform
100,coingate.com,Top 10 Gift Cards in Italia: Idee Regalo - CoinGate,https://coingate.com/gift-cards/articles/article/top-10-gift-cards-in-italia?srsltid=AfmBOorFdAX6h3G5PGZYIYvn4LVsYgmqLtz7hUpoI7YDwyem992rqdEo,Top 10 Gift Cards in Italia: Idee Regalo - CoinGate,"The Italo gift card is a convenient prepaid card that can be used to book train tickets for Italy's high-speed Italo trains, offering flexible ...","""Italy"" hotel ""gift card"" official",2,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,REJECT,known_aggregator_reseller_or_platform
100,corporate.wolt.com,Celebrate Employees with Gift Cards | Wolt for Work,https://corporate.wolt.com/pages/en/aut/wolt-for-work/gift-cards,Celebrate Employees with Gift Cards | Wolt for Work,The Wolt gift card lets your employees order from thousands of businesses ... Austria; English; Theme; Cookies. Accessibility Statement · User Terms of ...,"""Austria"" fashion ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,REJECT,known_aggregator_reseller_or_platform
85,css.lighthouse.gr,Nakas Music Δωροκάρτα 300€ – Lighthouse Comparison Shopping,https://css.lighthouse.gr/product/nakas-music-%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-300e/,Nakas Music Δωροκάρτα 300€ – Lighthouse Comparison Shopping,"Nakas Music Δωροκάρτα 300€. 300,00 €. Nakas Music Δωροκάρτα 300€. Shop Now. SKU: 824822. Category: Δωροκάρτες, ΠΡΟΙΟΝΤΑ. Description; Additional information ...","site:.gr ""music"" ""δωροκάρτα""",5,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card,REJECT,known_aggregator_reseller_or_platform
100,diggecard.com,Diggecard's Joint Venture Creates Gift Card Hub In Ireland,https://diggecard.com/gift-card-hub-in-ireland/,Diggecard's Joint Venture Creates Gift Card Hub In Ireland,Diggecard partners with Unique Hampers to create gift card hub in Ireland and Europe ... Diggecard is delighted to announce a new strategic ...,"""Ireland"" retail ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,REJECT,known_aggregator_reseller_or_platform
100,ecovis.com,Tax-free gift cards for employees. - ECOVIS Legal Denmark,https://www.ecovis.com/denmark/legal/blog/tax-free-gift-cards-for-employees/,Tax-free gift cards for employees. - ECOVIS Legal Denmark,"The gift card may not exceed DKK 1,200. Several gift cards may be given, as ... ECOVIS Denmark. State Authorized Public Accountants Vendersgade 28 st ...","""Denmark"" hotel ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,REJECT,non_merchant_or_aggregator_signal
