score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason,v2_bucket,v2_reason,v3_bucket,v3_reason
80,5star-travel.gr,5star Travel,https://www.5star-travel.gr/B137AE32.el.aspx,Gift Voucher,"Το 5 STAR TRAVEL GIFT VOUCHER, είναι μια δωροκάρτα μέσα από την οποία έχετε την δυνατότητα να καταθέσετε στο γραφείο μας ένα ποσό (50 ευρώ και άνω) το οποίο ...","site:.gr ""travel"" ""gift voucher""",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card,GREEK_SAFE,greek_domain_second_pass_safe,AUTO_SAFE_GREECE,greek_tld_direct_title
80,abajourmonamour.gr,Abajourmonamour,https://www.abajourmonamour.gr/en/product-category/dorokartes/,Gift cards,Kids-Baby · Ceiling light shade for kids · Wall sconce for children's room · Victorian ... Δωροκάρτα Abajourmonamour 40€-Abajourmonamour. Gift Cards. Gift Card ...,"""Chania"" ""kids"" ""δωροκάρτα""",3,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card,GREEK_SAFE,greek_domain_second_pass_safe,AUTO_SAFE_GREECE,greek_tld_direct_title
85,adelco-eshop.gr,Adelco Eshop,https://adelco-eshop.gr/index.php?route,Gift Cards,Υπάρχει η Εύκολη Λύση – αγοράστε εύκολα και γρήγορα Ηλεκτρονική Δωροκάρτα με ... experience targeted ads for your interests. Marketing and Retargeting.,"site:.gr ""experience"" ""δωροκάρτα""",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card,GREEK_SAFE,greek_domain_second_pass_safe,AUTO_SAFE_GREECE,greek_tld_direct_title
80,adventurejunkies.gr,Δωροκάρτα 90€ - Adventure Junkies | Ride - Hike - Camp,https://www.adventurejunkies.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-90e/?srsltid=AfmBOooP4o3COPGY61u2V9iXNihOJXGF_hMLUvIWDbO6JOLFzv2kIsDH,Δωροκάρτα 90€ - Adventure Junkies | Ride - Hike - Camp,Adventure Junkies | Ride ... Adventure Junkies | Ride - Hike - Camp ... Δωροκάρτα 90€. Home. /. Κατάστημα. /. Δωροκάρτα 90€ ...,"site:.gr ""adventure"" ""δωροκάρτα""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card,GREEK_SAFE,greek_domain_second_pass_safe,AUTO_SAFE_GREECE,greek_tld_direct_title
85,aleboutique.gr,Δωροκάρτα - Aleboutique.gr,https://aleboutique.gr/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-aleboutique,Δωροκάρτα - Aleboutique.gr,Αγοράστε μία Δωροκάρτα αξίας από 10€ έως 200€ | Το Aleboutique.gr σου ... BAGS · SHOULDER BAGS · STRAW BAGS · CLUTCH BAGS · PHONE BAGS · BACKPACK · WALLETS ...,"""bags"" ""δωροκάρτα"" Greece",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card,GREEK_SAFE,greek_domain_second_pass_safe,AUTO_SAFE_GREECE,greek_tld_direct_title
85,alfafood.gr,Αγοράστε μία Δωροεπιταγή - ALFA FOOD,https://www.alfafood.gr/index.php?route,Αγοράστε μία Δωροεπιταγή - ALFA FOOD,Αγοράστε μία Δωροεπιταγή ... Αυτή η δωροεπιταγή θα αποσταλεί μέ e-mail στον παραλήπτη αφού ολοκληρωθεί ή πληρωμή σας. Όνομα παραλήπτη. E-mail παραλήπτη.,"site:.gr ""food"" ""δωροεπιταγή""",2,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card,GREEK_SAFE,greek_domain_second_pass_safe,AUTO_SAFE_GREECE,greek_tld_direct_title
80,alhimistisbags.gr,Alhimistis Bags,https://alhimistisbags.gr/product/dwroepitagh-alhimistis-bags/?srsltid,Δωροεπιταγή Alhimistis Bags,"Δωροεπιταγή Alhimistis Bags. 50,00 € ; From: To: ; Θα μας βρείτε. Διεύθυνση καταστήματος: Λεωφ. Ελευθερίου Βενιζέλου 57 (Πανεπιστημίου 57) Τ.Κ. 10564, Αθήνα. E- ...","site:.gr ""bags"" ""δωροεπιταγή""",2,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card,GREEK_SAFE,greek_domain_second_pass_safe,AUTO_SAFE_GREECE,greek_tld_direct_title
80,angelopouloshair.gr,Gift Card | AngelopoulosHair,https://www.angelopouloshair.gr/en/dorokartes?srsltid=AfmBOopSrCMnfE7kswjWktDCrTT6aSFoi5VjZx_G2eM9i0Hu-h69_FoG,Gift Card | AngelopoulosHair,Barber Chairs · Pets · Barber Corner. Back; View all products · Mens Cologne · Shampoo ... Gift Card. gift-first. MAKE A NICE GIFT. gift-sect-one. Give a gift ...,"""barber"" ""gift card"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card,GREEK_SAFE,greek_domain_second_pass_safe,AUTO_SAFE_GREECE,greek_tld_direct_title
80,angelsflowers.gr,Angelsflowers,https://angelsflowers.gr/product/dwrokarta/,Δωροκάρτα,Δωροκάρτα. Πληροφορίες Παράδοσης. Παράδοση παντού στη ... Βρείτε μας στα: Instagram Facebook. © Copyright 2023. All Rights Reserved by Angel's Flowers.,"site:.gr ""flowers"" ""δωροκάρτα""",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card,GREEK_SAFE,greek_domain_second_pass_safe,AUTO_SAFE_GREECE,greek_tld_direct_title
80,art-center.com.gr,Art Center,https://www.art-center.com.gr/categories/4565/dora-doroepitages-/,Δωροεπιταγές,Δωροεπιταγές · Προϊόντα · ΕΥΡΟΣ ΤΙΜΗΣ · Δωροεπιταγή 10 euro · Δωροεπιταγή 20 euro · Δωροεπιταγή 30 euro · Δωροεπιταγή 50 euro · Δωροεπιταγή 100 euro · Η εταιρία.,"site:.com.gr ""δωροεπιταγές""",3,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card,GREEK_SAFE,greek_domain_second_pass_safe,AUTO_SAFE_GREECE,greek_tld_direct_title
