domain,merchantName,title,possibleOfficialUrl,score,occurrences,reason,action
adelco-eshop.gr,Adelco Eshop,Gift Cards,https://adelco-eshop.gr/index.php?route,85,8,truncated_or_weak_opencart_route_url,
alfafood.gr,Αγοράστε μία Δωροεπιταγή - ALFA FOOD,Αγοράστε μία Δωροεπιταγή - ALFA FOOD,https://www.alfafood.gr/index.php?route,85,2,truncated_or_weak_opencart_route_url,
babyhug.gr,Αγοράστε μία Δωροεπιταγή - Baby Hug,Αγοράστε μία Δωροεπιταγή - Baby Hug,https://babyhug.gr/index.php?route,85,2,truncated_or_weak_opencart_route_url,
bellekids.gr,Αγοράστε μία Δωροεπιταγή - Bellekids,Αγοράστε μία Δωροεπιταγή - Bellekids,https://bellekids.gr/index.php?route,85,2,truncated_or_weak_opencart_route_url,
boss-shoes.gr,Αγοράστε μία Δωροεπιταγή - Boss Shoes!,Αγοράστε μία Δωροεπιταγή - Boss Shoes!,https://www.boss-shoes.gr/index.php?route,85,2,truncated_or_weak_opencart_route_url,
catrinbeaute.gr,Αγοράστε μία Δωροεπιταγή - Catrinbeaute,Αγοράστε μία Δωροεπιταγή - Catrinbeaute,https://www.catrinbeaute.gr/index.php?route,85,2,truncated_or_weak_opencart_route_url,
designerclothes.gr,Αγοράστε μία Δωροεπιταγή - Designer Clothes,Αγοράστε μία Δωροεπιταγή - Designer Clothes,https://designerclothes.gr/index.php?route,85,2,truncated_or_weak_opencart_route_url,
efeeth.gr,Αγοράστε μία Δωροεπιταγή - Efeeth.gr,Αγοράστε μία Δωροεπιταγή - Efeeth.gr,https://efeeth.gr/index.php?route,85,2,truncated_or_weak_opencart_route_url,
energiers.gr,Energiers,Δωροκάρτες,https://energiers.gr/index.php?route,80,8,truncated_or_weak_opencart_route_url,
femmefashion.gr,Αγοράστε μία Δωροεπιταγή - FemmeFashion,Αγοράστε μία Δωροεπιταγή - FemmeFashion,https://www.femmefashion.gr/index.php?route,85,2,truncated_or_weak_opencart_route_url,
glamorousbeauty.gr,Αγοράστε μία Δωροεπιταγή - Glamorous Beauty Salon,Αγοράστε μία Δωροεπιταγή - Glamorous Beauty Salon,https://glamorousbeauty.gr/index.php?route,85,2,truncated_or_weak_opencart_route_url,
goalsports.gr,Αγοράστε μία Δωροεπιταγή - goalsports.gr,Αγοράστε μία Δωροεπιταγή - goalsports.gr,https://www.goalsports.gr/index.php?route,85,1,truncated_or_weak_opencart_route_url,
hotelequipment.gr,Αγοράστε μία Δωροεπιταγή - Hotel Equipment,Αγοράστε μία Δωροεπιταγή - Hotel Equipment,https://www.hotelequipment.gr/index.php?route,85,2,truncated_or_weak_opencart_route_url,
joyfashion.gr,Αγοράστε μία Δωροεπιταγή - Joy Fashion,Αγοράστε μία Δωροεπιταγή - Joy Fashion,https://www.joyfashion.gr/index.php?route,85,2,truncated_or_weak_opencart_route_url,
littleflowers.gr,Αγοράστε μία Δωροεπιταγή - Little Flowers,Αγοράστε μία Δωροεπιταγή - Little Flowers,https://littleflowers.gr/index.php?route,85,8,truncated_or_weak_opencart_route_url,
llearn.gr,Virtual Reality Zero Latency Gift Voucher Gift ... - llearn.gr,Virtual Reality Zero Latency Gift Voucher Gift ... - llearn.gr,https://www.llearn.gr/?r=16295315041260,80,1,explicit_manual_review,
makemeup.gr,MakeMeUp e,MakeMeUp e-gift card,https://www.makemeup.gr/index.php?route,80,3,truncated_or_weak_opencart_route_url,
milanos-shoes.gr,Αγοράστε μία Δωροεπιταγή - Milanos Shoes,Αγοράστε μία Δωροεπιταγή - Milanos Shoes,https://milanos-shoes.gr/index.php?route,85,2,truncated_or_weak_opencart_route_url,
perfume-shop.gr,Αγοράστε μία Δωροεπιταγή - Perfume-shop,Αγοράστε μία Δωροεπιταγή - Perfume-shop,https://perfume-shop.gr/index.php?route,85,2,truncated_or_weak_opencart_route_url,
popular-shoes.gr,Αγοράστε μία Δωροεπιταγή - Popular Shoes,Αγοράστε μία Δωροεπιταγή - Popular Shoes,https://popular-shoes.gr/index.php?route,85,2,truncated_or_weak_opencart_route_url,
puzzlehome.gr,Αγοράστε μία Δωροεπιταγή - Puzzlehome - Έπιπλα,Αγοράστε μία Δωροεπιταγή - Puzzlehome - Έπιπλα,https://www.puzzlehome.gr/index.php?route,85,1,truncated_or_weak_opencart_route_url,
toucanforkids.gr,Αγοράστε μία Δωροεπιταγή - Toucan for kids,Αγοράστε μία Δωροεπιταγή - Toucan for kids,https://toucanforkids.gr/index.php?route,85,2,truncated_or_weak_opencart_route_url,
trabakopoulos.gr,Αγοράστε μία Δωροεπιταγή - Trabakopoulos Jewelry,Αγοράστε μία Δωροεπιταγή - Trabakopoulos Jewelry,https://trabakopoulos.gr/index.php?route,85,2,truncated_or_weak_opencart_route_url,
wooden-toys.gr,Αγοράστε μία Δωροεπιταγή - www.Wooden-Toys.gr,Αγοράστε μία Δωροεπιταγή - www.Wooden-Toys.gr,https://www.wooden-toys.gr/index.php?route,85,2,truncated_or_weak_opencart_route_url,
xaliglyfada.gr,A Gift That Lasts a Lifetime - XALIGLYFADA Gift card,A Gift That Lasts a Lifetime - XALIGLYFADA Gift card,https://www.xaliglyfada.gr/journal3/blog/post?journal_blog_post_id=40,85,3,explicit_manual_review,
zooarea.gr,Αγοράστε μία Δωροεπιταγή - ZooArea Pet Shop Περιστέρι,Αγοράστε μία Δωροεπιταγή - ZooArea Pet Shop Περιστέρι,https://www.zooarea.gr/index.php?route,85,2,truncated_or_weak_opencart_route_url,
