domain,merchantName,title,possibleOfficialUrl,score,occurrences,action
5star-travel.gr,5star Travel,Gift Voucher,https://www.5star-travel.gr/B137AE32.el.aspx,80,8,QUEUE_NEW
abajourmonamour.gr,Abajourmonamour,Gift cards,https://www.abajourmonamour.gr/en/product-category/dorokartes/,80,3,QUEUE_NEW
adelco-eshop.gr,Adelco Eshop,Gift Cards,https://adelco-eshop.gr/index.php?route,85,8,QUEUE_NEW
adventurejunkies.gr,Δωροκάρτα 90€,Δωροκάρτα 90€ - Adventure Junkies | Ride - Hike - Camp,https://www.adventurejunkies.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-90e/?srsltid=AfmBOooP4o3COPGY61u2V9iXNihOJXGF_hMLUvIWDbO6JOLFzv2kIsDH,80,1,QUEUE_NEW
aleboutique.gr,Δωροκάρτα,Δωροκάρτα - Aleboutique.gr,https://aleboutique.gr/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-aleboutique,85,8,QUEUE_NEW
alfafood.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - ALFA FOOD,https://www.alfafood.gr/index.php?route,85,2,QUEUE_NEW
alhimistisbags.gr,Alhimistis Bags,Δωροεπιταγή Alhimistis Bags,https://alhimistisbags.gr/product/dwroepitagh-alhimistis-bags/?srsltid,80,2,QUEUE_NEW
angelopouloshair.gr,Gift Card,Gift Card | AngelopoulosHair,https://www.angelopouloshair.gr/en/dorokartes?srsltid=AfmBOopSrCMnfE7kswjWktDCrTT6aSFoi5VjZx_G2eM9i0Hu-h69_FoG,80,6,QUEUE_NEW
angelsflowers.gr,Angelsflowers,Δωροκάρτα,https://angelsflowers.gr/product/dwrokarta/,80,8,QUEUE_NEW
art-center.com.gr,Art Center,Δωροεπιταγές,https://www.art-center.com.gr/categories/4565/dora-doroepitages-/,80,3,QUEUE_NEW
asianforall.gr,Δωροκάρτα Asian For All 50ε,Δωροκάρτα Asian For All 50ε,https://asianforall.gr/books/vivlia-kinezikwn/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-asianforall/,80,1,QUEUE_NEW
babyhug.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - Baby Hug,https://babyhug.gr/index.php?route,85,2,QUEUE_NEW
beautyqueens.gr,Beauty Queens,Δωροκάρτα - Beauty Queens,https://www.beautyqueens.gr/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,80,8,QUEUE_NEW
bellekids.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - Bellekids,https://bellekids.gr/index.php?route,85,2,QUEUE_NEW
bestwestern.gr,Best Western,Best Western Gift Card,https://www.bestwestern.gr/ro/travel-card,85,8,QUEUE_NEW
blacklotusmassage.gr,Black Lotus Massage,Black Lotus Massage Δωροκάρτα 30 Ευρώ,https://blacklotusmassage.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-40-%CE%B5%CF%85%CF%81%CF%8E/,80,1,QUEUE_NEW
blackswan-lbs.gr,Δωροκάρτα,Δωροκάρτα - Blackswan-lbs.gr,https://www.blackswan-lbs.gr/index.php?route=product/product&product_id=849,80,1,QUEUE_NEW
bodywise.gr,Δωροκάρτα,Δωροκάρτα - Bodywise Studio στη Θεσσαλονίκη,https://bodywise.gr/dorokarta/,80,6,QUEUE_NEW
borsanuova.gr,Borsanuova,Δωροκάρτες,https://borsanuova.gr/product-category/dorokartes/,80,7,QUEUE_NEW
boss-shoes.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - Boss Shoes!,https://www.boss-shoes.gr/index.php?route,85,2,QUEUE_NEW
cafemanteio.gr,Cafe Manteio,Δωροκάρτα - Cafe Manteio - Ψυχικοί Σύμβουλοι,https://cafemanteio.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,80,8,QUEUE_NEW
calza.gr,Calza,Δωροκάρτα - Calza,https://www.calza.gr/proion/dorokarta/,80,2,QUEUE_NEW
catrinbeaute.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - Catrinbeaute,https://www.catrinbeaute.gr/index.php?route,85,2,QUEUE_NEW
cestino.gr,Δωροκάρτα,Δωροκάρτα – Cestino,https://cestino.gr/product-category/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,80,6,QUEUE_NEW
coffeelovers.gr,Coffeelovers Giftcard,Coffeelovers Giftcard,https://coffeelovers.gr/product/coffeelovers-giftcard/,55,1,QUEUE_NEW
colordrop.gr,Giftcard,Giftcard - ColorDrop,https://colordrop.gr/giftcard/,55,1,QUEUE_NEW
confetti-gifts.gr,Δωροκάρτα,Δωροκάρτα - Confetti - Gifts,https://confetti-gifts.gr/product/dwrokarta-confetti-gifts/,80,1,QUEUE_NEW
decomagia.gr,Decomagia,Δωροεπιταγή,https://www.decomagia.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%B5%CF%80%CE%B9%CF%84%CE%B1%CE%B3%CE%AE/?srsltid,80,2,QUEUE_NEW
designerclothes.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - Designer Clothes,https://designerclothes.gr/index.php?route,85,2,QUEUE_NEW
district75.gr,Χάρισε μια,Χάρισε μια Δωροκάρτα - District75,https://www.district75.gr/doro-karta,80,7,QUEUE_NEW
dmktools.gr,Δωροκάρτα,Δωροκάρτα - Dmktools.gr,https://dmktools.gr/product/organa-metrisis/trochi-odikis-metrisis/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,80,5,QUEUE_NEW
eboxing.gr,eboxing,Δωροκάρτα eboxing,https://www.eboxing.gr/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/gift/,80,8,QUEUE_NEW
efeeth.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - Efeeth.gr,https://efeeth.gr/index.php?route,85,2,QUEUE_NEW
energiers.gr,Energiers,Δωροκάρτες,https://energiers.gr/index.php?route,80,8,QUEUE_NEW
espressoshop.gr,Espressoshop.gr Νο 1 Κατάστημα πώλησης ...,Δωροκάρτα - Espressoshop.gr Νο 1 Κατάστημα πώλησης ...,https://espressoshop.gr/dorokarta/,85,8,QUEUE_NEW
fanpharmacy.gr,Δωροκάρτα,Δωροκάρτα - fanpharmacy.gr,https://fanpharmacy.gr/product/dorokarta/,85,6,QUEUE_NEW
femmefashion.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - FemmeFashion,https://www.femmefashion.gr/index.php?route,85,2,QUEUE_NEW
floraplant.gr,GIFT CARD,GIFT CARD - Δωροκάρτα - Floraplant & Garden Center,https://floraplant.gr/gift-card/,65,1,QUEUE_NEW
fortyboutique.gr,F.O.R.T.Y. Boutique,F.O.R.T.Y. Boutique Gift Card - The Perfect Gift for Every Occasion,https://www.fortyboutique.gr/en/products/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-f-o-r-t-y-boutique?srsltid,80,8,QUEUE_NEW
francesca.gr,Gift Card,Gift Card | francesca,https://www.francesca.gr/gift-card?lang=en,65,1,QUEUE_NEW
galanthus-cosmetics.gr,Galanthus Cosmetics,Δωροκάρτα,https://galanthus-cosmetics.gr/product/dorokarta/?srsltid,80,8,QUEUE_NEW
geliajewelry.gr,Gelia Jewelry & Creations,Δωροκάρτα - Gelia Jewelry & Creations,https://geliajewelry.gr/products/dorokarta,80,3,QUEUE_NEW
gifts4all.com.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - Gifts 4 All,https://www.gifts4all.com.gr/account/voucher,85,3,QUEUE_NEW
giftspot.gr,Giftspot,Gift Cards - Giftspot,https://giftspot.gr/gallery/botrinis-en.html,80,8,QUEUE_NEW
glamorousbeauty.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - Glamorous Beauty Salon,https://glamorousbeauty.gr/index.php?route,85,2,QUEUE_NEW
globi.gr,Globi Digital,Globi Digital Gift Card | Δωροκάρτα Τεχνολογίας Online,https://globi.gr/product/dwrokarta/,85,6,QUEUE_NEW
goalsports.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - goalsports.gr,https://www.goalsports.gr/index.php?route,85,1,QUEUE_NEW
groombox.gr,Groombox,Δωροκάρτα - Groombox,https://groombox.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,85,8,QUEUE_NEW
happydonkey.gr,Happydonkey,Δωροκάρτα,https://happydonkey.gr/products/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1?srsltid,80,8,QUEUE_NEW
hellokids.gr,Ηλεκτρονική,Ηλεκτρονική Δωροκάρτα – HelloKids.gr,https://www.hellokids.gr/products/%CE%B7%CE%BB%CE%B5%CE%BA%CF%84%CF%81%CE%BF%CE%BD%CE%B9%CE%BA%CE%AE-%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1?srsltid,80,8,QUEUE_NEW
heraklionimprov.gr,Δωροκάρτα Heraklion Improv Theater,Δωροκάρτα Heraklion Improv Theater,https://www.heraklionimprov.gr/shop/dorokarta-heraklion-improv-theater/,85,5,QUEUE_NEW
hotelequipment.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - Hotel Equipment,https://www.hotelequipment.gr/index.php?route,85,2,QUEUE_NEW
hypnotejewelry.gr,Hypnote Jewelry,"Δωροκάρτα - Hypnote Jewelry | Woman, Man Accessories ...",https://hypnotejewelry.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,85,8,QUEUE_NEW
joyfashion.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - Joy Fashion,https://www.joyfashion.gr/index.php?route,85,2,QUEUE_NEW
joykidsboutique.gr,Joykidsboutique,Δωροκάρτα,https://joykidsboutique.gr/?post_type,80,8,QUEUE_NEW
karam.gr,Karam Spa,Δωροκάρτα Karam Spa - Karam - Προϊόντα ευεξίας & ομορφιάς,https://karam.gr/product/dwrokarta-karam-spa/,85,8,QUEUE_NEW
katoflitavern.gr,Katoflitavern,Δωροκάρτα – www.katoflitavern.gr,https://www.katoflitavern.gr/en/product/dorokarta/,80,6,QUEUE_NEW
kivotosoniron.gr,Kivotos Oniron,Δωροκάρτα - Kivotos Oniron | ideas for kids,https://www.kivotosoniron.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,80,8,QUEUE_NEW
kouskoufashionproject.gr,Kouskoufashionproject,Δωροκάρτα,https://kouskoufashionproject.gr/en/collections/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1,85,7,QUEUE_NEW
lartedimassaggio.gr,Δωροκάρτα Μασάζ L'Arte di Massaggio -,Δωροκάρτα Μασάζ L'Arte di Massaggio -,https://lartedimassaggio.gr/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,80,1,QUEUE_NEW
lavalmore.gr,Lavalmore,Δωροκάρτα,https://lavalmore.gr/categories/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/?srsltid,85,8,QUEUE_NEW
laviejewelry.gr,Laviejewelry,Δωροκάρτα,https://www.laviejewelry.gr/el/collections/gift-cart?srsltid,85,8,QUEUE_NEW
lemontreekids.gr,LemonTreeKids,Δωροκάρτα LemonTreeKids - Χάρισε Αγάπη!,https://lemontreekids.gr/dorokarta/?srsltid,80,8,QUEUE_NEW
linsonmoto.gr,Δωροκάρτα 200€ ДРУГИ,Δωροκάρτα 200€ ДРУГИ | Linson Moto,https://linsonmoto.gr/dwrokarta-200,80,1,QUEUE_NEW
littleflowers.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - Little Flowers,https://littleflowers.gr/index.php?route,85,8,QUEUE_NEW
llearn.gr,Virtual Reality Zero Latency,Virtual Reality Zero Latency Gift Voucher Gift ... - llearn.gr,https://www.llearn.gr/?r=16295315041260,80,1,QUEUE_NEW
lumina.gr,LUMINA,Δωροκάρτα - LUMINA - Κέντρο Αισθητικής - Ηράκλειο,https://lumina.gr/product/dorokarta/?srsltid,80,3,QUEUE_NEW
makemeup.gr,MakeMeUp e,MakeMeUp e-gift card,https://www.makemeup.gr/index.php?route,80,3,QUEUE_NEW
melody-spa.gr,MELODY-SPA,GIFT VOUCHER - MELODY-SPA,https://melody-spa.gr/voucher/,80,3,QUEUE_NEW
milanos-shoes.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - Milanos Shoes,https://milanos-shoes.gr/index.php?route,85,2,QUEUE_NEW
miniatureshoes.gr,Miniature Shoes,Δωροκάρτα - Miniature Shoes,https://miniatureshoes.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,85,8,QUEUE_NEW
missyandme.gr,MissYandME,Δωροκάρτα MissYandME | Fashion gift card,https://missyandme.gr/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,85,8,QUEUE_NEW
nakasconcept.gr,Nakasconcept,Δωροκάρτες,https://www.nakasconcept.gr/el/proionta/dorokartes/,85,3,QUEUE_NEW
naninails.gr,αξίας 20 EUR,Δωροκάρτα αξίας 20 EUR - NaniNails.gr,https://www.naninails.gr/dorokarta-axias-20-eur/?srsltid,80,3,QUEUE_NEW
nativis.gr,Nativis,Δωροκάρτα,https://nativis.gr/shop-products/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,85,8,QUEUE_NEW
olia.com.gr,Olia,Δωροκάρτα,https://www.olia.com.gr/product/dorokarta/,80,8,QUEUE_NEW
omg.gr,OMG,OMG Gift Card – Funny Tees & Baby Gifts | OMG,https://omg.gr/products/omg-gift-card,70,8,QUEUE_NEW
optikaliolios.gr,Δωροκάρτες,Δωροκάρτες | OptikaLiolios,https://www.optikaliolios.gr/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%B1%CF%81%CF%84%CE%B5%CF%83.htm,85,6,QUEUE_NEW
outdoorway.gr,Outdoorway 10 Ευρώ,Δωροεπιταγή Outdoorway 10 Ευρώ,https://www.outdoorway.gr/product/15647/doroepitagi-Outdoorway-10-eyro,80,2,QUEUE_NEW
parentingcourses.gr,Gift card 2,Gift card 2 - Parenting Courses,https://www.parentingcourses.gr/pages/gift-card-2,65,6,QUEUE_NEW
perfume-shop.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - Perfume-shop,https://perfume-shop.gr/index.php?route,85,2,QUEUE_NEW
plantoys.gr,Ηλεκτρονική,Ηλεκτρονική Δωροκάρτα PlanToys,https://www.plantoys.gr/shop/%CE%B7%CE%BB%CE%B5%CE%BA%CF%84%CF%81%CE%BF%CE%BD%CE%B9%CE%BA%CE%AE-%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-plantoys/,85,8,QUEUE_NEW
popular-shoes.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - Popular Shoes,https://popular-shoes.gr/index.php?route,85,2,QUEUE_NEW
powerenergy.gr,Δωροκάρτα,Δωροκάρτα - Power Energy,https://www.powerenergy.gr/shop/dorokarta/,85,6,QUEUE_NEW
pregnancy-gifts.gr,ΔΩΡΟΚΑΡΤΑ,ΔΩΡΟΚΑΡΤΑ - Pregnancy-gifts.gr,https://pregnancy-gifts.gr/product-category/wps_wgm_giftcard/,60,1,QUEUE_NEW
princess.com.gr,Princess,Δωροκάρτες - Princess,https://princess.com.gr/product-category/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B5%CF%82/?srsltid,80,3,QUEUE_NEW
projectsoma.gr,Project Soma,Δωροκάρτα | Project Soma | projectsoma.gr,https://projectsoma.gr/dorokarta.html,80,7,QUEUE_NEW
puzzlehome.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - Puzzlehome - Έπιπλα,https://www.puzzlehome.gr/index.php?route,85,1,QUEUE_NEW
rootshair.gr,Gift card,Gift card | My Site - Roots Hair Salon,https://www.rootshair.gr/product-page/mini-usb-c-curl-tong,80,6,QUEUE_NEW
sandalista.gr,Sandalista,Sandalista Gift Card,https://sandalista.gr/en/p/wps_wgm_giftcard-2/sgc/?srsltid=AfmBOorW8nb9wlW-3lNiIP-b-r8Sp0EplZmYV_j8TH7FarpEkM967Z05,70,1,QUEUE_NEW
smarten.gr,Smarten,Δωροκάρτα,https://www.smarten.gr/katigoria/dorokarta/,80,8,QUEUE_NEW
soandjos.gr,Soandjos,Δωροκάρτα,https://soandjos.gr/product/dorokarta/,80,8,QUEUE_NEW
somatherapy.gr,Somatherapy,Δωροεπιταγές,https://somatherapy.gr/gift-certificate/,80,2,QUEUE_NEW
soulbags.gr,SOUL bags Gentle · Calm · Conscious,Δωροκάρτα - SOUL bags Gentle · Calm · Conscious,https://www.soulbags.gr/products/%CE%BA%CE%AC%CF%81%CF%84%CE%B1-%CE%B4%CF%8E%CF%81%CE%BF%CF%85?srsltid,80,1,QUEUE_NEW
spaghettilab.gr,Gift Card,Gift Card Δωροκάρτα Spaghetti Lab | Το Πιο Νόστιμο Δώρο ...,https://spaghettilab.gr/products/gift-card?srsltid=AfmBOopIl07wn-At_GYte-aoKm5jRYawcFrtyF7CyJ7MUShe5cZma3k4,65,5,QUEUE_NEW
stem-toys.gr,50 €,Δωροεπιταγή 50 € - Stem Toys,https://stem-toys.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%B5%CF%80%CE%B9%CF%84%CE%B1%CE%B3%CE%AE-50-e/,80,2,QUEUE_NEW
suenobags.gr,Suenobags,Δωροκάρτα,https://suenobags.gr/product-page/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,80,7,QUEUE_NEW
swissvax.gr,for Car Lovers,Gift Voucher - for Car Lovers - Swissvax,https://swissvax.gr/en/products/geschenkgutschein?srsltid,85,8,QUEUE_NEW
thermespa.gr,Thermespa,Δωροκάρτες,https://thermespa.gr/doroepitages/,80,7,QUEUE_NEW
toaromatiseftixias.gr,Toaromatiseftixias,Δωροκάρτα,https://toaromatiseftixias.gr/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1,85,8,QUEUE_NEW
tonycouper.com.gr,Tony Couper,Δωροκάρτες – Tony Couper | Style Clothing,https://tonycouper.com.gr/product-category/dorokartes/,80,3,QUEUE_NEW
toucanforkids.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - Toucan for kids,https://toucanforkids.gr/index.php?route,85,2,QUEUE_NEW
toysfirst.gr,Toysfirst,Δωροκάρτα,https://toysfirst.gr/product/dorokarta/?srsltid=AfmBOorZgHqcLKKudF6BdErES24prvAOw6igBSREFZv1u4vNqCw7aUFx,80,8,QUEUE_NEW
trabakopoulos.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - Trabakopoulos Jewelry,https://trabakopoulos.gr/index.php?route,85,2,QUEUE_NEW
vinoultura.gr,Vinoultura gift cart,Vinoultura gift cart - Δωροκάρτα,https://www.vinoultura.gr/products/vinoultura-gift-cart?srsltid,80,8,QUEUE_NEW
wellbee.gr,Δωροκάρτα,Δωροκάρτα - Wellbee Cosmetics,https://www.wellbee.gr/product/dwrokarta/,80,1,QUEUE_NEW
wooden-toys.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - www.Wooden-Toys.gr,https://www.wooden-toys.gr/index.php?route,85,2,QUEUE_NEW
xaliglyfada.gr,A Gift That Lasts a Lifetime,A Gift That Lasts a Lifetime - XALIGLYFADA Gift card,https://www.xaliglyfada.gr/journal3/blog/post?journal_blog_post_id=40,85,3,QUEUE_NEW
ydrospa.gr,Ydrospa,Δωροκάρτες,https://ydrospa.gr/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B5%CF%82/,80,8,QUEUE_NEW
yourbabystore.gr,Yourbabystore,Δωροκάρτες,https://yourbabystore.gr/dorokartes/,85,8,QUEUE_NEW
zooarea.gr,Αγοράστε μία,Αγοράστε μία Δωροεπιταγή - ZooArea Pet Shop Περιστέρι,https://www.zooarea.gr/index.php?route,85,2,QUEUE_NEW
zooparadise.gr,Zooparadise,Δωροκάρτα,https://zooparadise.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/?srsltid,85,8,QUEUE_NEW
