score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason,v2_bucket,v2_reason,v3_bucket,v3_reason
100,aladastra.com,Aladastra,https://aladastra.com/gift-bundles/e-gift-cards.html,E-Gift Cards - Aladastra Yoga & Wellness Lifestyle,... €50 E-Gift Card. (). €50.00. wishlist Add to Cart ... Athens (VISIT BY APPOINTMENT). OUR STORY. ABOUT US · OUR PHILOSOPHY.,"""Athens"" ""yoga"" ""gift card""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal,MANUAL_REVIEW,non_gr_domain_requires_manual_market_check
80,alchemist-aromas.com,Perfume Gift Voucher - Experience Alchemist Aromas® Luxury ...,https://alchemist-aromas.com/en/products/alchemist-aromas-gutschein?srsltid=AfmBOoq15V9pfK6fTtbAAS0BhZ_5WoYHEHAszlO9VFH7Xcc83i9njZSc,Perfume Gift Voucher - Experience Alchemist Aromas® Luxury ...,Gift the magic of scent with Alchemist Aromas®'s perfume gift voucher. Perfect for exploring exquisite fragrances for everyone ... Greece EUR €; Hungary HUF Ft ...,"""perfume"" ""gift voucher"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal,MANUAL_REVIEW,non_gr_domain_requires_manual_market_check
65,araks.com,Gift Card - Araks,https://www.araks.com/collections/gift-card?srsltid=AfmBOor4_h3wh72qnmNZ_yDFpDzNSqh25YqHObiZbuID0WM9OSkl0AdT,Gift Card - Araks,Greece (EUR €); Greenland (DKK kr.) Grenada (XCD $); Guadeloupe (EUR ... Araks is consciously crafted lingerie and swimwear. Committed to taking care ...,"""Greece"" ""lingerie"" ""gift card""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal,MANUAL_REVIEW,non_gr_domain_requires_manual_market_check
100,ataratma.com,Ataratma London Gift Card,https://www.ataratma.com/products/gift-card?srsltid=AfmBOopMgCCx1R1xXvkBoSmNrlmSFsqID5XEsjGryqQtPe0TPJ1_8bdd,Ataratma London Gift Card,Greece (EUR €); Guernsey (GBP £); Hong ... ATARATMA perfume bottles on a reflective surface with 'GIFT VOUCHER' text above.,"""Greece"" ""perfume"" ""gift voucher""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal,MANUAL_REVIEW,non_gr_domain_requires_manual_market_check
100,atenskincare.com,ATEN Skincare Gift Voucher | Digital Gift Card,https://atenskincare.com/products/aten-skincare-gift-voucher?srsltid=AfmBOorGDAEAEO-8oyRf8B6sM10NatJlGUbmeZ1HQnciGu6lCgJ8qBUM,ATEN Skincare Gift Voucher | Digital Gift Card,"ATEN Skincare Gift Voucher. Regular price €25,00. Sale price €25,00 Regular ... Greece (EUR €), Hungary (HUF Ft), Ireland (EUR €), Italy (EUR €), Latvia (EUR ...","""skincare"" ""gift voucher"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal,MANUAL_REVIEW,non_gr_domain_requires_manual_market_check
100,athens-theater.com,Gift Cards - Athens Theater,https://www.athens-theater.com/for-you/gift-cards,Gift Cards - Athens Theater,Suggestions. A Beautiful Noise at Classic Center Theatre; The Wiz at Classic Center Theatre ... gift card email you receive. 10. In the event an eGift Card code ...,"""theatre"" ""gift card"" Greece",4,data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal,MANUAL_REVIEW,non_gr_domain_requires_manual_market_check
100,athensphototour.com,We are now offering Gift Cards - AthensPhotoTour.com,https://www.athensphototour.com/we-are-now-offering-gift-cards/,We are now offering Gift Cards - AthensPhotoTour.com,"You can even slice a 200 euros gift card from our daily photo tours, the Athens full day Photo tour,; or the Peloponnese full day Photo tour.","""tour"" ""gift card"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal,MANUAL_REVIEW,non_gr_domain_requires_manual_market_check
100,aureliamobilespa.com,Aurelia Mobile Spa | Spa Services in Corfu,https://aureliamobilespa.com/gift-cards-mobile-spa-in-corfu/,Gift Cards | Aurelia Mobile Spa | Spa Services in Corfu,"Give the gift of relaxation, rejuvenation, and self-care with our exquisite spa gift cards. Order your gift card & let the tranquility begin! Mobile Spa Corfu.","""Corfu"" ""spa"" ""gift card""",6,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal,MANUAL_REVIEW,non_gr_domain_requires_manual_market_check
80,belletrice.com,Belletrice Cosmetics gift voucher,https://belletrice.com/en/products/belletice-cosmetics-geschenkgutschein?srsltid=AfmBOorg99tZi5WaQ-aAzY-ANn8oyRL0NFmdYVlDqq6bv65aqj5yQtTg,Belletrice Cosmetics gift voucher,"Greece (EUR €); Greenland (DKK kr.) Grenada (XCD $); Guadeloupe (EUR ... Belletrice Cosmetics gift voucher. Regular price: €20 ,00. Regular price: Sale ...","""cosmetics"" ""gift voucher"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal,MANUAL_REVIEW,non_gr_domain_requires_manual_market_check
85,brunchies.shop,LENIKA gift voucher - brunchies,https://brunchies.shop/en/products/lenika-geschenkgutschein,LENIKA gift voucher - brunchies,... gift voucher. LENIKA gift voucher. Zoom. Previous. Next ... Brunchies combines haircare and jewelry. Hair ... Greece (EUR €) Greenland (EUR €) Grenada (EUR ...,"""haircare"" ""gift voucher"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal,MANUAL_REVIEW,non_gr_domain_requires_manual_market_check
