score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason,v2_bucket,v2_reason,v3_bucket,v3_reason
100,all.accor.com,The Perfect Present: The ALL Accor Gift Card,https://all.accor.com/a/en/experiences/all-gift-card.html,The Perfect Present: The ALL Accor Gift Card,An extended seaside escape in Crete. ALL ... Any bookings paid in advance will be refunded at the hotel and your gift voucher will be used as payment.,"""Crete"" ""hotel"" ""gift voucher""",6,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal,REJECT,known_non_greece_false_positive
75,best4travel.ie,Holiday Gift Voucher Best4Travel Buy Online!,https://www.best4travel.ie/gift-voucher,Holiday Gift Voucher Best4Travel Buy Online!,Corfu Crete Halkidiki Santorini Kos. Portugal. Algarve Lisbon Madeira ... Flight & Hotel All. Sun Holidays. Sun Holidays Sun. USA / Canada. USA and Canada ...,"""Corfu"" ""hotel"" ""gift voucher""",2,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal,REJECT,known_non_greece_false_positive
100,bristolcourses.com,Gift Vouchers | Bristol Courses,https://www.bristolcourses.com/courses/gift-vouchers/,Gift Vouchers | Bristol Courses,Classics – Latin & Greek · Dutch · French ... Give the gift of learning with our course gift voucher. Learn a New Language with. Bristol Courses Language School.,"""language school"" ""gift voucher"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal,REJECT,known_non_greece_false_positive
100,elementsmassage.com,Elements Massage Gift Card - Rhodes Ranch,https://elementsmassage.com/rhodes-ranch/gift-cards,Elements Massage Gift Card - Rhodes Ranch,Elements Massage Gift Card. GIFTING JUST GOT A WHOLE LOT Better. Give the Gift ... Connect with Elements Rhodes Ranch. Franchise · Suppliers · Careers · Contact ...,"""Rhodes"" ""massage"" ""gift card""",2,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal,REJECT,known_non_greece_false_positive
100,fredericmalle.eu,Gift Card Terms and Conditions - Frederic Malle,https://www.fredericmalle.eu/terms-giftcard,Gift Card Terms and Conditions - Frederic Malle,"Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Monaco ... Any issue with using the Gift Card (e.g. Gift Card number or secret code not ...","""Greece"" ""computers"" ""gift card""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal,REJECT,known_non_greece_false_positive
55,greekbros.com,Giftcards - Greek Bros. Oyster Bar & Grill,https://www.greekbros.com/giftcards,Giftcards - Greek Bros. Oyster Bar & Grill,"Instant Digital Gift Card · Made with by Popmenu(opens in a new window) ... Bar Open Wed-Sat 5pm to Closing. Sunday: Closed. opens in a new tab, get ...","""bar"" ""gift card"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal,REJECT,known_non_greece_false_positive
100,greekpeak.net,Gift Cards at Greek Peak,https://www.greekpeak.net/gift-cards-at-greek-peak/,Gift Cards at Greek Peak,Gift Cards at Greek Peak One gift card. Good everywhere at Greek Peak. Buy a ... Greek Peak Mountain Resort. SHOP. Create Your ...,"""resort"" ""gift card"" Greece",4,data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal,REJECT,known_non_greece_false_positive
80,ithara.ae,European Capitals: 2 Nights for Two X,https://www.ithara.ae/european-capitals-2-nights-for-two?srsltid=AfmBOordPGeP_peiFcQVlXYXph_ozpo2nwSy4rWUUCLtb4FKyxUb5cMn,European Capitals: 2 Nights for Two X - Gift Voucher - Ithara.ae,"Choose from 3 to 5 handpicked hotels in cities like London, Paris, Prague, Rome, Athens & more — or over 52,000 hotels worldwide ... Gift Voucher ... Perfume ...","""Athens"" ""perfume"" ""gift voucher""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal,REJECT,known_non_greece_false_positive
100,karenrhodesart.com,Karen Rhodes Art,https://www.karenrhodesart.com/s/gift-cards,Gift cards | Karen Rhodes Art,... Where to find Karen Rhodes Art; More. Need to check gift card balance? Give the Perfect Gift. Get a voucher for yourself or gift one to a friend.,"""Rhodes"" ""jewelry"" ""gift card""",2,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal,REJECT,content_page_not_direct_giftcard_offer
65,lazydayzdesigns.com,Gift Card Balance - LazyDayz Designs,https://lazydayzdesigns.com/gift-card-balance/,Gift Card Balance - LazyDayz Designs,"... Accessories Freshmade Handcrafted Bags & Accessories Freshmade Handcrafted Bags & Accessories ... Krispou 1, Ano Poli, 54634, Thessaloniki, Greece. GEMI ...","""Thessaloniki"" ""accessories"" ""gift card""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GREEK_SAFE,non_gr_domain_with_clear_greece_signal,REJECT,known_non_greece_false_positive
