domain,merchantName,title,possibleOfficialUrl,score,occurrences,reason,action
edenred.gr,Ticket Compliments,Δωροκάρτα Ticket Compliments,https://www.edenred.gr/etaireies/ticket-compliments-gift-card,,,manual_evidence_or_subdomain_check,
eshop.handospa.gr,Product categories,Gift Cards | Product categories,https://eshop.handospa.gr/product-category/gift-cards,,,manual_evidence_or_subdomain_check,
lvk.ufr.gr,Lvk,Δωροκάρτα 5€ | Γυμναστήριο LVK PREMIUM FITNESS Ν. Σμύρνη,https://lvk.ufr.gr/reward-archives/5euro-giftcard-wheel/,,,manual_evidence_or_subdomain_check,
maccosmetics.gr,FAQ,Gift Cards - FAQ,https://www.maccosmetics.gr/en-e-gr/giftcards/faq,,,manual_evidence_or_subdomain_check,
markakis.gr,Δώρα για βαφτιστήρια,Δώρα για βαφτιστήρια | Δωροκάρτα Γυαλιά Οπτικά Μαρκάκης,https://www.markakis.gr/el/blog-9268/dwra-gia-vaftistiria-dwrokarta-gualia-269002,,,manual_evidence_or_subdomain_check,
piraeusbank.gr,€1000 Gift Voucher for Linens with COCO-MAT Sleep System,€1000 Gift Voucher for Linens with COCO-MAT Sleep System,https://www.piraeusbank.gr/en/individuals/personal-banking/exclusive-benefits/coco-mat-sleep-system-voucher,,,manual_evidence_or_subdomain_check,
royalgrandhotel.gr,Why a Get a Room! Gift Card is the Only Present to Give This Year,Why a Get a Room! Gift Card is the Only Present to Give This Year,https://royalgrandhotel.gr/why-a-get-a-room-gift-card-is-the-only-present-to-give-this-year/,,,manual_evidence_or_subdomain_check,
santowines.gr,eShop EU,Gift Cards - eShop EU,https://santowines.gr/gift-cards-eu/manufacturer/eu,,,manual_evidence_or_subdomain_check,
sportsdirect.gr,Multi Store E-Voucher Gift Card - Online and High Street,Multi Store E-Voucher Gift Card - Online and High Street,https://www.sportsdirect.gr/gift-cards-multi-store-e-voucher-gift-card---online-and-high-street-966004,,,manual_evidence_or_subdomain_check,
summitgym.ufr.gr,Summitgym,Δωροκάρτα 9€ | Γυμναστήριο SUMMIT Ναύπλιο,https://summitgym.ufr.gr/reward-archives/9euro-giftcard-wheel/,,,manual_evidence_or_subdomain_check,
tkdmarousi.gr,Vouchers 50%,Gift Cards Vouchers 50%,https://tkdmarousi.gr/product/gift-cards-vouchers-50/,,,manual_evidence_or_subdomain_check,
xalkiadakis.gr,Χαλκιαδάκης και Happy Home: Χαρίστε Αγάπη ...,Δωροκάρτα Χαλκιαδάκης και Happy Home: Χαρίστε Αγάπη ...,https://xalkiadakis.gr/article/giftcard_xalkiadakis,,,manual_evidence_or_subdomain_check,
kois.e-pragma.gr,Kois,Δωροκάρτα 100€ | KOIS OPTICS,https://kois.e-pragma.gr/el/products/dorokarta-100eur?v=7682,,,manual_evidence_or_subdomain_check,
ktmpatras.gr,Προϊόντα με ετικέτα: 'gift card giftcard καρτα δωρου δωροκαρτα',Προϊόντα με ετικέτα: 'gift card giftcard καρτα δωρου δωροκαρτα',https://ktmpatras.gr/gift-card-giftcard-%CE%BA%CE%B1%CF%81%CF%84%CE%B1-%CE%B4%CF%89%CF%81%CE%BF%CF%85-%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%B1%CF%81%CF%84%CE%B1,,,manual_evidence_or_subdomain_check,
athoshellas.gr,Θεσσαλονίκη,Gift Card - Θεσσαλονίκη,https://www.athoshellas.gr/el/Article/giftcard.aspx,,,manual_evidence_or_subdomain_check,
ifadishop.gr,Pall Mall Barbers Fitzrovia Luxury Wet Shave Gift Voucher,Pall Mall Barbers Fitzrovia Luxury Wet Shave Gift Voucher,https://ifadishop.gr/Voucher-Gift-For-Men-Pall-Mall-Barbers-Australia-269483,,,manual_evidence_or_subdomain_check,
istionclub.gr,Why a Get a Room! Gift Card is the Only Present to Give This Year ...,Why a Get a Room! Gift Card is the Only Present to Give This Year ...,https://istionclub.gr/why-a-get-a-room-gift-card-is-the-only-present-to-give-this-year/,,,manual_evidence_or_subdomain_check,
sagiakos.gr,ΓΥΝΑΙΚΕΙΑ e,ΓΥΝΑΙΚΕΙΑ e- Gift Card,https://sagiakos.gr/proionta/gynaikeia/gynaikeia-dwra/gynaikeia-e-gift-card,,,manual_evidence_or_subdomain_check,
tattooathens.com.gr,LTS Gift Card 20,LTS Gift Card 20,https://tattooathens.com.gr/component/hikashop/product/46-lts-gift-card-20,,,canonical_duplicate_of_tattooathens.gr,
ask.ab.gr,Προσφέρετε επιταγές δώρων σε εταιρίες και ιδιώτες; - AB Eshop,Προσφέρετε επιταγές δώρων σε εταιρίες και ιδιώτες; - AB Eshop,https://ask.ab.gr/s/article/Do-you-offer-gift-cards-to-companies-and-private-individuals,,,manual_evidence_or_subdomain_check,
dioptra.gr,Κάνε δώρο σε έναν φίλο/φίλη σου,Κάνε δώρο σε έναν φίλο/φίλη σου,https://www.dioptra.gr/category/gift-card-info,,,manual_evidence_or_subdomain_check,
electronet.gr,Όροι και Προϋποθέσεις Προωθητικής Ενέργειας «LG OLED ...,Όροι και Προϋποθέσεις Προωθητικής Ενέργειας «LG OLED ...,https://www.electronet.gr/sites/default/files/sites/default/files/custom/LG-GX-OLED-TVs-Goulandris-Gift-Cards-oroi.pdf,,,manual_evidence_or_subdomain_check,
enerwave.gr,Customer Service,Customer Service,https://www.enerwave.gr/en/customer-service/faq-eko-easter-promo/can-i-transfer-the-gift-vouchers-to-someone-else-/,,,manual_evidence_or_subdomain_check,
