domain,merchantName,title,possibleOfficialUrl,score,occurrences,reason,action
aldoshoes.gr,ALDO Greece,Gift Card – ALDO Greece,https://aldoshoes.gr/pages/gift-card,130,3,,QUEUE_NEW
anemifashion.gr,ANEMH clothing&fashion items,Δωροκάρτα – ANEMH clothing&fashion items,https://anemifashion.gr/shop/dorokarta/dorokarta/?attribute_gift-card-amount,130,5,,QUEUE_NEW
archaeotours.gr,Ancient Greece,Gift Card - Ancient Greece,https://www.archaeotours.gr/product-category/wps_wgm_giftcard/,130,5,,QUEUE_NEW
athens-stay.gr,for Stay in Greece,Gift Card for Stay in Greece | Restay Resort and Suites L.P.,https://www.athens-stay.gr/gift-card,130,5,,QUEUE_NEW
banya.gr,Banya,Gift Card,https://www.banya.gr/product/gift-card/,130,3,,QUEUE_NEW
blueblue.gr,s,Gift Cards,https://blueblue.gr/shop/gift-cards,130,3,,QUEUE_NEW
brigitteboutique.gr,Brigitteboutique,Αγοράστε μία Δωροεπιταγή,https://brigitteboutique.gr/index.php?route=account/voucher,130,6,,QUEUE_NEW
caravin.gr,Κάρτα Δώρου,Κάρτα Δώρου,https://www.caravin.gr/el/giftcard-2/,130,3,,QUEUE_NEW
chaniapetworld.gr,Chaniapetworld,Δωροκάρτα,https://www.chaniapetworld.gr/product/dorokarta/,130,5,,QUEUE_NEW
cicado.gr,Archives,GIft Cards Archives,https://cicado.gr/en/product-category/gift-cards/,130,5,,QUEUE_NEW
cordella.gr,Cordella,Δωροκάρτα 500€,https://www.cordella.gr/shop/empeiries/taxidia-metakiniseis/xenodoxeia-diamones/dorokarta-500_10995,130,8,,QUEUE_NEW
crescendo-rodi.gr,Crescendo,Gift Cards - Crescendo,https://www.crescendo-rodi.gr/gift-cards/,130,5,,QUEUE_NEW
deltarestaurant.gr,Προσφέρετε μια δωροκάρτα - Επιλέξτε την Αξία,Προσφέρετε μια δωροκάρτα - Επιλέξτε την Αξία,https://deltarestaurant.gr/el/product/offer-a-gift-card-choose-the-value/,130,3,,QUEUE_NEW
dermargylab.gr,S,GIFT CARDS,https://www.dermargylab.gr/gift-cards/,130,3,,QUEUE_NEW
didocosmetics.gr,Archives,Δωροκάρτα Archives,https://www.didocosmetics.gr/product-category/proionta/dwrokarta/,130,8,,QUEUE_NEW
dimidistours.gr,my travel gift card,my travel gift card - Δωροεπιταγή,https://dimidistours.gr/my-travel-gift-card-%CE%B4%CF%89%CF%81%CE%BF%CE%B5%CF%80%CE%B9%CF%84%CE%B1%CE%B3%CE%AE-t275.html,130,5,,QUEUE_NEW
easlanidis.gr,Easlanidis,Δωροκάρτα,https://www.easlanidis.gr/gift-cards,130,3,,QUEUE_NEW
eroscandles.gr,Έρως Candles,Δωροκάρτα - Έρως Candles,https://eroscandles.gr/product/dorokarta/,130,8,,QUEUE_NEW
fagottobooks.gr,αξίας 40 ευρώ,Δωροκάρτα αξίας 40 ευρώ,https://fagottobooks.gr/en/6005-dorokarta-axias-40-eyro.html,130,7,,QUEUE_NEW
feedmepetshop.gr,/ Giftcard 25€ - Feed Me,Δωροκάρτα / Giftcard 25€ - Feed Me,https://www.feedmepetshop.gr/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-giftcard-25e/,130,5,,QUEUE_NEW
felicia-concept.gr,Greek Designers Store,Gift Card | Greek Designers Store,https://felicia-concept.gr/product/gift-card/,130,3,,QUEUE_NEW
femmefatale.gr,Femmefatale,Δωροκάρτα,https://femmefatale.gr/product-category/dorokarta/,130,5,,QUEUE_NEW
fivepm.gr,5pm,Gift Card - 5pm,https://fivepm.gr/products/gift-card,130,5,,QUEUE_NEW
gatos-shoes.gr,75€ d75,Δωροκάρτα 75€ d75,https://gatos-shoes.gr/product/dorokarta-75e/,130,8,,QUEUE_NEW
gerochristojewelry.gr,Archives,Gift Card Archives,https://gerochristojewelry.gr/jewelry/mwb_wgm_giftcard/,130,5,,QUEUE_NEW
godblesswomen.gr,25 CHF Gift card,25 CHF Gift card,https://godblesswomen.gr/products/25-chf-gift-card/236339811/,130,4,,QUEUE_NEW
