v4_score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason,v4_bucket,v4_reason,v4_1_bucket,v4_1_reason
125,faq.sephora.gr,Πώς μπορώ να χρησιμοποιήσω τη Gift card μου διαδικτυακά;,https://faq.sephora.gr/s/article/%CE%9C%CF%80%CE%BF%CF%81%CF%8E-%CE%BD%CE%B1-%CE%B1%CE%B3%CE%BF%CF%81%CE%AC%CF%83%CF%89-%CE%BC%CE%B9%CE%B1-Gift-Card%CF%83%CF%84%CE%BF-Sephora-gr,Πώς μπορώ να χρησιμοποιήσω τη Gift card μου διαδικτυακά;,Για να χρησιμοποιήσετε τη Gift card σας ... Μπορείτε να επικοινωνήσετε με την Εξυπηρέτηση Πελατών 2111000800 αναφέροντας τον αριθμό της Gift card σας.,"site:.gr ""gift card""",2,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source,MANUAL,support_promo_ticket_or_dev_subdomain
125,promo.lainasprinting.gr,Gift card box Hako - White,https://promo.lainasprinting.gr/en/gift-card-box-hako--white---PP43080.3,Gift card box Hako - White,"Gift card box Hako - White ... Select from available print options and get product price including your individual printing. And finish your order online. ... 1+ 2, ...","site:.gr ""printing"" ""gift card""",2,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source,MANUAL,support_promo_ticket_or_dev_subdomain
125,tickets.in.gr,Δωροκάρτα (art pass) | Εισιτήρια online! - Tickets - In.gr,https://tickets.in.gr/gr-el/tickets/theater/dorokarta-art-pass/,Δωροκάρτα (art pass) | Εισιτήρια online! - Tickets - In.gr,"Δωροκάρτα ΚΘΒΕ. Art pass. Βάλε την τέχνη σε ένα δώρο! Ένα δώρο γεμάτο πολιτισμό και τέχνη για κάθε λόγο και με κάθε αφορμή! Για τα γενέθλια, την ονομαστική ...","""art"" ""δωροκάρτα"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|brand_domain_match,MANUAL,support_promo_ticket_or_dev_subdomain
100,ammilos.gr,Κάρτα Δώρου Άμμιλος | Πρωτότυπες Γαστρονομικές Εμπειρίες,https://ammilos.gr/karta-dorou-ammilos/,Κάρτα Δώρου Άμμιλος | Πρωτότυπες Γαστρονομικές Εμπειρίες,"Η Κάρτα Δώρου Άμμιλος είναι το πιο πρωτότυπο δώρο! Μαθήματα μαγειρικής για παιδιά, εφήβους, ενήλικες και εταιρείες στη Θεσσαλονίκη. Δωρίστε μια εμπειρία ...","""κάρτα δώρου""",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_snippet|repeated_source|multi_source,MANUAL,gift_title_but_url_not_direct
100,armadio.gr,120,https://www.armadio.gr/en/shop/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-120,Δωροκάρτα 120 - Gift cards,Δωροκάρτα 120€ Gift cards Δωροκάρτα αξίας 120 ... Women's clothing; 3Dresses · Shirts; 3Skirts; 7Blouses ... Δωροκάρτα 120€. Δωροκάρτα 120€. dorokarta120-01 ...,"site:.gr ""clothing"" ""δωροκάρτα""",7,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_snippet|repeated_source|multi_source,MANUAL,gift_title_but_url_not_direct
100,athani.gr,Αθανη Spa 'n' Sauna Gift Card (Δωροκαρτα),https://www.athani.gr/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%B1%CF%81%CF%84%CE%B1/,Αθανη Spa 'n' Sauna Gift Card (Δωροκαρτα),"Αθανη Spa 'n' Sauna Gift Card (Δωροκαρτα). Ενα ξεχωριστο δωρο ... Κάθε δωροκάρτα έχει ημερομηνία λήξεως, 1 έτος μέτα την ημερομηνία έκδοσης της.","site:.gr ""spa"" ""δωροκάρτα""",7,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_snippet|repeated_source|multi_source,MANUAL,gift_title_but_url_not_direct
100,badu.gr,1-5 τμχ Δωροκάρτες Προσκλητήριο γάμου Starry Sky Dried ...,https://badu.gr/1-5-%CF%84%CE%BC%CF%87-%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B5%CF%82-%CF%80%CF%81%CE%BF%CF%83%CE%BA%CE%BB%CE%B7%CF%84%CE%AE%CF%81%CE%B9%CE%BF-%CE%B3%CE%AC%CE%BC%CE%BF%CF%85-starry-sky-dried-flowers-%CF%87%CE%B5%CE%B9%CF%81%CF%8C%CE%B3%CF%81%CE%B1%CF%86%CE%B7-%CE%B5%CF%85%CE%BB%CE%BF%CE%B3%CE%AF%CE%B1-%CE%B3%CE%B5%CE%BD%CE%AD%CE%B8%CE%BB%CE%B9%CE%B1-%CE%B5%CF%85%CF%87%CE%B1%CF%81%CE%B9%CF%83%CF%84%CF%8E-%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-%CE%B3%CE%B9%CE%B1-%CF%84%CE%B7-%CE%B3%CE%B9%CE%BF%CF%81%CF%84%CE%AE-%CF%84%CE%B7%CF%82-%CE%BC%CE%B7%CF%84%CE%AD%CF%81%CE%B1%CF%82-p-542016.html,1-5 τμχ Δωροκάρτες Προσκλητήριο γάμου Starry Sky Dried ...,1-5 τμχ Δωροκάρτες Προσκλητήριο γάμου Starry Sky Dried Flowers Χειρόγραφη Ευλογία Γενέθλια Ευχαριστώ Δωροκάρτα για τη γιορτή της μητέραςσε τιμή των 5.8 €.,"site:.gr ""flowers"" ""δωροκάρτα""",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_snippet|repeated_source|multi_source,MANUAL,gift_title_but_url_not_direct
100,balabim.gr,Δωροεπιταγή 30 Ευρώ,https://www.balabim.gr/dhoroepitayi-30-evro/?srsltid=AfmBOooF22rhYxYqgljEu6Pq_jVhffxCa8hkZqHX6_zXNOVz7_LPDo6k,Δωροεπιταγή 30 Ευρώ,"Η χρήση της δωροεπιταγής περιορίζεται σε 1 έτος από την ημερομηνία αγοράς· μετά το πέρας αυτής της περιόδου, η δωροεπιταγή δεν ισχύει πλέον. Η αξία της ...","site:.gr ""δωροεπιταγή""",3,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_snippet|repeated_source|multi_source,MANUAL,gift_title_but_url_not_direct
100,baladeur.gr,Τί είναι η δωροεπιταγή;,https://www.baladeur.gr/ti-einai-dwroepitagi-baladeur.aspx,Τί είναι η δωροεπιταγή;,"Η δωροεπιταγή είναι Πιστωτικό μέσο προκαθορισμένης αξίας, εξαργυρώσιμο αποκλειστικά σε Voucher Εμπειρίας. Χαρίστε μία δωροεπιταγή Baladeur σε συσκευασία ...","site:.gr ""δωροεπιταγή""",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_snippet|repeated_source|multi_source,MANUAL,gift_title_but_url_not_direct
100,bodymaxx.gr,BMXX Δωροκάρτα,https://www.bodymaxx.gr/BMXX-%CE%94%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-p552220280,BMXX Δωροκάρτα,"Χαρίστε στους αγαπημένους σας το δώρο της επιλογής τους!!!! Αυτή είναι μια ψηφιακή δωροκάρτα. Μετά την αγορά, θα λάβετε ένα email με τη δωροκάρτα και οδηγίες ...","""Greece"" ""δωροκάρτα""",5,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_snippet|repeated_source|multi_source,MANUAL,gift_title_but_url_not_direct
