v4_score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason,v4_bucket,v4_reason,v4_1_bucket,v4_1_reason
130,clachic.gr,Terms of Purchase & Use of Gift Vouchers,https://www.clachic.gr/en-gb/terms-of-purchase-and-use-of-gift-vouchers?srsltid,Terms of Purchase & Use of Gift Vouchers,"The gift voucher can be redeemed either by printing and presenting it at the physical store of ClacChic.gr, or through online purchases from the website clachic ...","site:.gr ""jewelry"" ""gift voucher""",3,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source,REJECT,editorial_promo_terms_or_archive_title
130,epixeiro.gr,SKY gift μια e,https://www.epixeiro.gr/business-news/article/304510/sky-gift-mia-e-dorokarta-ghia-olo-to-khrono-apo-ti-sky-express,SKY gift μια e-δωροκάρτα για όλο το χρόνο από τη SKY express,"SKY gift μια e-δωροκάρτα ... Πρόκειται για το «SKY gift», μία e-δωροκάρτα με ... Η Marine Tours εντάσσεται στο δίκτυο υποστηρικτών της πρωτοβουλίας ΕΛΛΑ-ΔΙΚΑ ΜΑΣ.","site:.gr ""marine"" ""δωροκάρτα""",5,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source,REJECT,editorial_aggregator_or_news_domain
130,fashioncity-outlet.gr,Κέρδισε δωροεπιταγή -20% από τον Μουστάκα,https://www.fashioncity-outlet.gr/moystakas-giftcard/,Κέρδισε δωροεπιταγή -20% από τον Μουστάκα,Fashion City Outlet · ΤΟ OUTLET · ΘΕΣΕΙΣ ΕΡΓΑΣΙΑΣ · CONCEPT ... δωροεπιταγή -20% από τον Μουστάκα. Αυτό το Σάββατο 9 Δεκεμβρίου ...,"site:.gr ""fashion"" ""δωροεπιταγή""",3,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source,REJECT,editorial_promo_terms_or_archive_title
130,gateaux.com.gr,"50 Sets Gift Certificates For Business, Blank Kraft Gift Cards",https://www.gateaux.com.gr/Certificates-For-Business-Blank-Kraft-Gift-Cards-t-1312544,"50 Sets Gift Certificates For Business, Blank Kraft Gift Cards","50 Sets Gift Certificates For Business, Blank Kraft Gift Cards · Each Set Includes One Blank Kraft Paper Certificate (5.9x2.36 Inches) And A Matching Envelope ( ...","site:.com.gr ""gift cards""",3,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source,REJECT,editorial_promo_terms_or_archive_title
130,neakriti.gr,Δωροκάρτα: It's a perfect Easter gift για το βαφτιστήρι σου!,https://www.neakriti.gr/oikonomia/epiheiriseis/2112303_dorokarta-its-perfect-easter-gift-gia-baftistiri-soy,Δωροκάρτα: It's a perfect Easter gift για το βαφτιστήρι σου!,Δωροκάρτα: It's a perfect Easter gift για το ... Διαθέσιμη στα φυσικά καταστήματα ''Οπτικά Κέντρα Μαρκάκης'' & Markakis White Eyewear.,"site:.gr ""eyewear"" ""δωροκάρτα""",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source,REJECT,editorial_aggregator_or_news_domain
130,neolaia.gr,Δωροκάρτα (art pass) - εισιτήρια,https://www.neolaia.gr/neolaia-tickets/event/2024-05-31/dorokarta-art-pass/,Δωροκάρτα (art pass) - εισιτήρια,Δωροκάρτα (art pass). ΚΘΒΕ. 31 Μαΐ. ΕΙΣΙΤΗΡΙΑ. Δωροκάρτα ΚΘΒΕ. Art ... Skiathos Garden Theatre. Skiathos Audio Tour. 27. ΙΟΥΝ. 2026. Πολλαπλοί ...,"site:.gr ""theatre"" ""δωροκάρτα""",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source,REJECT,editorial_aggregator_or_news_domain
130,popaganda.gr,To Taxibeat παρουσιάζει τις Taxibeat Gift Cards. Κάντε ένα ...,https://www.popaganda.gr/newstrack/taxibeat-gift-cards-dora/,To Taxibeat παρουσιάζει τις Taxibeat Gift Cards. Κάντε ένα ...,Η Taxibeat Gift Card είναι μια ηλεκτρονική δωροκάρτα που μπορεί να εξαργυρωθεί σε διαδρομές ταξί. ... Το deja vu των Pet Shop Boys και η ...,"site:.gr ""pet shop"" ""gift card""",4,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source,REJECT,editorial_aggregator_or_news_domain
130,queen.gr,ΚΕΡΔΙΣΕ gift card 300€ από το answear.gr και fashion tips ...,https://www.queen.gr/diagwnismoi/story/269293/kerdise-gift-card-300-apo-to-answear-gr-kai-fashion-tips-gia-na-dimiourgiseis-to-diko-sou-styl,ΚΕΡΔΙΣΕ gift card 300€ από το answear.gr και fashion tips ...,ΚΕΡΔΙΣΕ gift card 300€ από το answear.gr και fashion tips για να δημιουργήσεις το δικό σου στυλ!,"""fashion"" ""gift card"" Greece",3,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source,REJECT,editorial_aggregator_or_news_domain
130,tanea.gr,Όσκαρ: Τι κρύβει η φετινή gift card,https://www.tanea.gr/2024/03/09/lifearts/cinema/oskar-ti-kryvei-i-fetini-gift-card/,Όσκαρ: Τι κρύβει η φετινή gift card,Ο κύβος του Ρούμπικ και διαμονή σε πολυτελές ελβετικό σαλέ μεταξύ των φετινών δώρων. Όσκαρ: Τι κρύβει η φετινή gift card.,"site:.gr ""cinema"" ""gift card""",3,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source,REJECT,editorial_aggregator_or_news_domain
130,thetoc.gr,Gift card από τα Public: Χριστούγεννα χωρίς το άγχος της ...,https://www.thetoc.gr/epixeiriseis/article/gift-card-apo-ta-public-xristougenna-xoris-to-agxos-tis-epilogis/,Gift card από τα Public: Χριστούγεννα χωρίς το άγχος της ...,Η gift card των Public είναι το δώρο που προσαρμόζεται σε κάθε προσωπικότητα. ... My market Local: 4 χρυσά βραβεία στα Supermarket Awards 2025!,"site:.gr ""supermarket"" ""gift card""",3,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source,REJECT,editorial_aggregator_or_news_domain
