score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason,v4_score,v4_bucket,v4_reason
100,lego.storegreece.gr,Lego,https://www.lego.storegreece.gr/upiresies/gift-cards/e-gift-card/?srsltid=AfmBOoqTiDLstS5UtdAowIuCCwD3HoowSDQtBZOo0JEbqlXrS0FvSOHn,e-Gift Card,Ψάχνετε το καλύτερο δώρο; Αγοράστε μία e-Gift Card από το lego.storegreece.gr ώστε το αγαπημένο σας πρόσωπο να επιλέξει ένα μοναδικό δώρο που θα λατρέψει!,"""gift card"" Greece",2,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,135,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|brand_domain_match
100,aldoshoes.gr,Gift Card – ALDO Greece,https://aldoshoes.gr/pages/gift-card,Gift Card – ALDO Greece,"Gift Card. Customer Care. Help Center · Orders ... Shoes you'll love. Accessories you'll wear ... By submitting this form, you consent to receive informational ( ...","""shoes"" ""gift card"" Greece",3,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,130,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source
100,anemifashion.gr,ANEMH clothing&fashion items,https://anemifashion.gr/shop/dorokarta/dorokarta/?attribute_gift-card-amount,Δωροκάρτα – ANEMH clothing&fashion items,Clean and Minimalist Fashion Gift Voucher Certificate (1). Δωροκάρτα €50. €10.00 – €200.00 Price range: €10.00 through €200.00. Ποσό Δωροκάρτας. Κάντε μία ...,"site:.gr ""fashion"" ""δωροκάρτα""",5,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,130,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source
100,archaeotours.gr,Ancient Greece,https://www.archaeotours.gr/product-category/wps_wgm_giftcard/,Gift Card - Ancient Greece,"Mythology for Kids (2). Our Best Sellers. Destination Nafplio. Rated 0 ... Crete, there's a Destination Gift Card waiting for you. Our Destination Gift ...","""Crete"" ""kids"" ""gift card""",5,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,130,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source
100,athens-stay.gr,for Stay in Greece | Restay Resort and Suites L.P.,https://www.athens-stay.gr/gift-card,Gift Card for Stay in Greece | Restay Resort and Suites L.P.,"Surprise your loved ones with a Restay Resort & Suites Gift Card. Perfect for holidays, city breaks in Athens, or seaside escapes in Agiokampos.","site:.gr ""resort"" ""gift card""",5,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,130,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source
100,banya.gr,Gift Card,https://www.banya.gr/product/gift-card/,Gift Card,"Home / Giftcard / Gift Card.. Gift Card. 30,00 € – 500,00 €. Give the gift of ultimate relaxation! Surprise your loved ones with a Banya Gift Card.","site:.gr ""home"" ""gift card""",3,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,130,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source
100,blueblue.gr,Gift Cards,https://blueblue.gr/shop/gift-cards,Gift Cards,"Men's Swimwear · Beachwear · Accessories · Special Offer up to -70% OFF · Gift ... Gift Card 50. 0 Review. Gift Cards. 50,00 €. Free Shipping & Returns in Greece.","""swimwear"" ""gift card"" Greece",3,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,130,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source
85,brigitteboutique.gr,Αγοράστε μία Δωροεπιταγή,https://brigitteboutique.gr/index.php?route=account/voucher,Αγοράστε μία Δωροεπιταγή,Swimwear24. GR EN. Find Us. Facebook · Instagram · TikTok. Καλάθι. Το καλάθι ... Δωροκάρτα. Πληροφοριες. My Account · WishList0 · Πολιτική Απορρήτου · Όροι χρήσης ...,"site:.gr ""swimwear"" ""δωροκάρτα""",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,130,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source
100,caravin.gr,Κάρτα Δώρου,https://www.caravin.gr/el/giftcard-2/,Κάρτα Δώρου,"Η δωροκάρτα ισχύει για 6 μήνες μετά την αγορά της κι εξαργυρώνεται μόνο μέσω κράτησης, ανάλογα με τη διαθεσιμότητα του εστιατορίου. Σε καμία περίπτωση δεν ...","site:.gr ""wine"" ""δωροκάρτα""",3,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,130,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source
80,chaniapetworld.gr,Δωροκάρτα,https://www.chaniapetworld.gr/product/dorokarta/,Δωροκάρτα,Δωροκάρτα - Image 1 ... Εξυπηρετηση Πελατων. Επικοινωνήστε μαζί μας · Ο λογαριασμός μου · Λίστα επιθυμιών · Ιστορικό παραγγελιών. Chania Pet World 2023 Κατασκευή ...,"""Chania"" ""δωροκάρτα""",5,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,130,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source
100,cicado.gr,Archives,https://cicado.gr/en/product-category/gift-cards/?srsltid,GIft Cards Archives,"GIft Cards. ... Gift Card. Gift Cards 100,00 € – 300,00 € Price range: 100,00 € through 300,00 €. Gift Card Amount. Choose an amount, 100 €, 150 €, 200 €, 300 ...","site:.gr ""gift cards""",5,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,130,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source
100,clachic.gr,Terms of Purchase & Use of Gift Vouchers,https://www.clachic.gr/en-gb/terms-of-purchase-and-use-of-gift-vouchers?srsltid,Terms of Purchase & Use of Gift Vouchers,"The gift voucher can be redeemed either by printing and presenting it at the physical store of ClacChic.gr, or through online purchases from the website clachic ...","site:.gr ""jewelry"" ""gift voucher""",3,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,130,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source
85,cordella.gr,500€,https://www.cordella.gr/shop/empeiries/taxidia-metakiniseis/xenodoxeia-diamones/dorokarta-500_10995,Δωροκάρτα 500€,"Αξιοποιήστε τη Δωροκάρτα για τη διαμονή σας, εξαργυρώνοντάς τη σε διανυκτερεύσεις ή και για να απολαύσετε τις διαθέσιμες εμπειρίες του Saint Hotel Santorini ...","""Santorini"" ""hotel"" ""δωροκάρτα""",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,130,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source
100,crescendo-rodi.gr,Crescendo,https://www.crescendo-rodi.gr/gift-cards/,Gift Cards - Crescendo,Bags · Purses · Belts. Menu. Home · About Us; Collections; Accessories · Bags · Purses ... Golden gift voucher. Crescendo Logo. About. About Us · My Account ...,"site:.gr ""bags"" ""gift voucher""",5,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,130,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source
