score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason,v4_score,v4_bucket,v4_reason
100,agrotourism.com.cy,Cyprus Gift Cards for Stays & Experiences - Agrotourism,https://agrotourism.com.cy/buy-e-gift-card/,Cyprus Gift Cards for Stays & Experiences - Agrotourism,giftcard 50. Discover Cyprus Gift Card. Buy Now. €50.00 · giftcard 75. Discover Cyprus Gift Card. Buy Now. €75.00 · giftcard 100. Discover Cyprus Gift Card. Buy ...,"""Cyprus"" hotel ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,105,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match
100,athens.virtual-room.com,Virtual Reality Athens,https://athens.virtual-room.com/gift-vouchers/,Gift vouchers - Virtual Reality Athens,Kids birthday · Bachelor & Bachelorette Parties · Gift vouchers · Contact · Book now ... athens@virtual-room.com. Contact us. SITE MAP. Booking · Gift Vouchers ...,"""Athens"" ""kids"" ""gift voucher""",3,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,105,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match
100,babaloo.com.au,babaloo e,https://babaloo.com.au/product/babaloo-gift-voucher?srsltid=AfmBOopoDfhvAsGy44W4v5Q1msR0g29-Ga_XKtzZCoZ86HtcExYFxeOG,babaloo e-Gift Card,"A babaloo e-Gift Card or Gift Voucher is a thoughtful, joyful surprise that lets them choose exactly what they need -- from adorable essentials to stylish ...","""car accessories"" ""gift voucher"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,105,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match
100,bravalingerie.com.au,Brava Lingerie Gift Voucher,https://www.bravalingerie.com.au/products/brava-lingerie-gift-voucher?srsltid=AfmBOoqGOSJdyNS2ST_Do4MFc1nSzlAExZ6Yh3qI2x25UfOXSdszfj3Q,Brava Lingerie Gift Voucher,Brava Lingerie Gift Voucher. Regular price Sale price $50.00.,"""lingerie"" ""gift voucher"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,105,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match
100,britishcornershop.co.uk,£50 British Corner Shop Gift Voucher (0g),https://www.britishcornershop.co.uk/50-pound-british-corner-shop-gift-voucher?srsltid=AfmBOoodH4n84onSBdlQmpkhsseo-JDT0PzfvjVQCW99AV_FooflBkoK,£50 British Corner Shop Gift Voucher (0g),Gift voucher sent via email* If you think a friend or family member would ... British Food Supermarket. Menu. ×. All Categories. Shop Now. Branded Groceries.,"""supermarket"" ""gift voucher"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,105,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match
100,cafe3sixty.co.uk,Gift Vouchers - Cafe 3 Sixty,https://cafe3sixty.co.uk/gift-vouchers/,Gift Vouchers - Cafe 3 Sixty,"Gift VOUCHERS · Collection or by Post. You can collect your gift voucher in the cafe or we can post it to you, please select the relevant option below. · Timings.","""cafe"" ""gift voucher"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,105,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match
100,caminomotorcyclewear.com.au,Camino Motorcycle Wear Gift Voucher,https://www.caminomotorcyclewear.com.au/products/camino-motorcycle-wear-gift-card?srsltid=AfmBOopPYUZ-PdXIwLoy4gTaz6aAVg68dIciz2pHhONCeUAOA7fdEUMs,Camino Motorcycle Wear Gift Voucher,Camino Motorcycle Wear Gift Voucher ; Denominations: $50.00 ; Small. True to size. Large ; Shop the range. Shop Protective Gear.,"""motorcycle"" ""gift voucher"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,105,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match
100,catcafe.co.uk,Gift Vouchers - Cat Cafe,https://www.catcafe.co.uk/collections/gift-vouchers,Gift Vouchers - Cat Cafe,Cat Cafe Gift Voucher - Physical · Cat Cafe Gift Voucher - Physical. Regular price From £5.00 · Cat Cafe Gift Voucher - Digital · Cat Cafe Gift Voucher - Digital.,"""cafe"" ""gift voucher"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,105,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match
100,coyamykonos.giftpro.co.uk,Monetary Gift Voucher - COYA Mykonos,https://coyamykonos.giftpro.co.uk/vouchers/monetary-gift-voucher/,Monetary Gift Voucher - COYA Mykonos,Join us in our open-air restaurant for an engaging and immersive ... Monetary Gift Voucher at COYA Mykonos gift voucher packaging. E-Delivery. Your ...,"""Mykonos"" ""restaurant"" ""gift voucher""",4,data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,105,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match
100,decathlon.com.cy,Decathlon cyprus online gift card,https://decathlon.com.cy/products/gift-cards?srsltid=AfmBOor_aN1xotEP8NwOusLh8qxyYxSuFuIOvn7N-_WKs4RjZhZMKQEC,Decathlon cyprus online gift card,"Start shopping. Decathlon cyprus online gift card. Sale price€10,00. /. Add to cart. Home.","""Cyprus"" fashion ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,105,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match
100,dimples.co.nz,Gift Voucher - Dimples NZ,https://www.dimples.co.nz/collections/gifts-toys-gift-voucher?srsltid=AfmBOoq_8NRgzP0d7ckzty9DiT6MLqfiuxxk0voKxFCMM6khR9nYZmFu,Gift Voucher - Dimples NZ,... Car Accessories · Take a Quiz · Prams & Strollers · Pram Bundles · Prams · Carry Cots ... Gift Voucher $50.00 - Dimples. Choose options. Vendor: Dimples. Physical ...,"""car accessories"" ""gift voucher"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,105,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match
100,entoyment.co.uk,Entoyment Digital Gift Voucher,https://entoyment.co.uk/products/entoyment-gift-card?srsltid=AfmBOoq_ONjC2P2RPREv5XE8Tecw_QSOnxHRUTsCUDFNUHIm4xwFC_eF,Entoyment Digital Gift Voucher,Entoyment Wargaming and Hobby Centre. Entoyment Digital Gift Voucher. Entoyment Digital Gift Voucher. Regular price £10.00 GBP. Regular price Sale price £10.00 ...,"""hobby"" ""gift voucher"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,105,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match
100,firstclasswatches.co.uk,First Class Watches Gift Vouchers,https://www.firstclasswatches.co.uk/giftvouchers.php?srsltid=AfmBOopQXNun7SM8C4PRBhkNMmFHJ5O7aUd-JDBO_TilaJoB14nuzCM3,First Class Watches Gift Vouchers,The gift voucher will be delivered by post once the order is verified and charged by First Class Watches' staff. The gift card will be valid for 2 years.,"""watches"" ""gift voucher"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,105,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match
100,giftvouchers.co.uk,Travel Gift Voucher | giftvouchers.co.uk,https://www.giftvouchers.co.uk/gift-voucher/travel/?srsltid=AfmBOoraB7cDAcDoi6HtPTU0Q_7o2h4DAh75-EYngetPDz2xqhTJ_0-y,Travel Gift Voucher | giftvouchers.co.uk,Request a quote! Travel Gift Voucher. promotiebeeld ... The Travel Gift Card is a Choice Gift Card that can be redeemed on giftvouchers.co.uk for a variety of ...,"""UK"" travel ""gift voucher"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,105,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match
100,greekcargo.com.au,Greek Cargo Gift Voucher,https://greekcargo.com.au/products/greek-cargo-gift-card?srsltid=AfmBOopf0v283brN1ArJ2kS0TbCi3SkGMlBFwIEZn11iOC9F0YAMq8PL,Greek Cargo Gift Voucher,"Greek Cargo Gift Voucher. $25. /. Not sure what ... Experience the love of Greece with unique, quality made fashion, jewellery and homewares.","""fashion"" ""gift voucher"" Greece",4,data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,105,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match
