score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason,v4_score,v4_bucket,v4_reason
85,babyshop.com.gr,Διαγωνισμός 2 Δωροεπιταγές αξίας 100€,https://babyshop.com.gr/%CE%B4%CE%B9%CE%B1%CE%B3%CF%89%CE%BD%CE%B9%CF%83%CE%BC%CF%8C%CF%82-2-%CE%B4%CF%89%CF%81%CE%BF%CE%B5%CF%80%CE%B9%CF%84%CE%B1%CE%B3%CE%AD%CF%82-%CE%B1%CE%BE%CE%AF%CE%B1%CF%82-100-el/?srsltid,Διαγωνισμός 2 Δωροεπιταγές αξίας 100€,Διαγωνισμός 2 Δωροεπιταγές αξίας 100€. Διαβάστε τους όρους του Διαγωνισμού. ΕΓΓΡΑΦΗ ΣΤΟ NEWSLETTER. Μάθετε πρώτοι για τις προσφορές μας! e-mail. ΕΓΓΡΑΦΗ ...,"site:.com.gr ""δωροεπιταγές""",3,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,-80,REJECT,editorial_reseller_platform_signal
100,capri.org.au,Buy a Gift Voucher,https://capri.org.au/buy-a-gift-voucher/,Buy a Gift Voucher,The Capri is an independent not-for-profit cinema run by a network of generous volunteers. ... Gift Voucher · Contact · Events · History of the Capri · News · Our ...,"""cinema"" ""gift voucher"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,-80,REJECT,editorial_reseller_platform_signal
100,christinabrampti.com,GIFT CARD TERMS & CONDITIONS,https://christinabrampti.com/pages/gift-card-terms-conditions?srsltid=AfmBOor68jY0oSbNlZ3ihBQenf_aQ9bnuKJmjtHpmlS5tGk6rNcPJ9OP,GIFT CARD TERMS & CONDITIONS,"... Athens, TIN: 062617994 Tax At. ... HOME DECOR · GIFT IDEAS · GIFT CARD · News · About Us · Contact Us · Become a B2B Partner · Log in · Instagram · Facebook ...","""Athens"" ""decor"" ""gift card""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,-80,REJECT,editorial_reseller_platform_signal
100,era.com.cy,ANNOUNCEMENT REGARDING GIFT CARDS ISSUED ... - ERA,https://era.com.cy/general/announcement-regarding-gift-cards-issued-by-ermes-department-stores-plc/,ANNOUNCEMENT REGARDING GIFT CARDS ISSUED ... - ERA,"ANNOUNCEMENT REGARDING GIFT CARDS ISSUED BY ERMES DEPARTMENT STORES PLC As of 1st of December 2024, the Gift Card Terms and Conditions are being ...","""Cyprus"" beauty ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,-80,REJECT,editorial_reseller_platform_signal
80,expats.cz,Gift voucher guide 2022: From spa stays to culture tips for ...,https://www.expats.cz/czech-news/article/looking-for-the-perfect-christmas-gift,Gift voucher guide 2022: From spa stays to culture tips for ...,"Give your loved ones a choice of fine dining experiences with the Ambiente Group gift card, accepted at 28 restaurants and businesses.","""Czech Republic"" retail ""gift card"" official",5,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,-80,REJECT,editorial_reseller_platform_signal
100,flyone.eu,Gift Voucher - Terms and Conditions,https://flyone.eu/en/Gift-Voucher-Terms-Conditions,Gift Voucher - Terms and Conditions,Gift Voucher - Terms and Conditions. How to book. MyFLYONE · Fare Families · MyBookings · Passenger ... IOSA Registered Airline · Privacy policy · Cookies · Terms ...,"""airline"" ""gift voucher"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,-80,REJECT,editorial_reseller_platform_signal
100,freelancer.com,URGENT- dental gift voucher design,https://www.freelancer.com/contest/urgent-dental-gift-voucher-design-74937,URGENT- dental gift voucher design,"URGENT- dental gift voucher design contest on Freelancer. Enter this Graphic Design contest, find Design jobs or post a similar contest for free!","""dental"" ""gift voucher"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,-80,REJECT,editorial_reseller_platform_signal
100,gameboost.com,Where to Buy & How to Redeem Zalando Gift Cards,https://gameboost.com/blog/zalando-gift-cards-guide,Where to Buy & How to Redeem Zalando Gift Cards,"Zalando operates as Europe's leading online ... If your gift card covers the full order amount, no additional payment method is required.","""Europe"" beauty ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,-80,REJECT,editorial_reseller_platform_signal
85,gamecarddelivery.com,Greece Gift Cards | Buy Game Cards Online,https://www.gamecarddelivery.com/international-email-delivery/greece-game-cards?srsltid=AfmBOorefisTTxQmD70Xu6skbCYpLjkIsZHmFuH111sAALw3PuTpT_Wc,Greece Gift Cards | Buy Game Cards Online,Why Buy US Gaming Cards? How To Create A US iTunes Account? How To Redeem Your Gift Card? Paying With Paypal. Contact Our Support Team. Email Or Call Us ...,"""Athens"" ""gaming"" ""gift card""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,-80,REJECT,editorial_reseller_platform_signal
100,global.gogift.com,The Ultimate Guide to the B2B Gift Card Market in Greece,https://www.global.gogift.com/gift-card-markets-encyclopedia/the-ultimate-guide-to-the-b2b-gift-card-market-in-greece,The Ultimate Guide to the B2B Gift Card Market in Greece,"Current size of the B2B gift card market: In value terms, the gift card market in Greece has recorded a CAGR of 6.9% during 2018-2022.","""gifts"" ""gift card"" Greece",4,data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,-80,REJECT,editorial_reseller_platform_signal
