score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason,v4_score,v4_bucket,v4_reason
80,aniri.net,Gift voucher,https://aniri.net/en/products/gut?srsltid=AfmBOoo3-OZUMpXAqqa4QX7rPLKyu3yoCS3WUXfomZ1O8VupJN_YAF8P,Gift voucher,United StatesUSD ($). Search. Geschenkgutschein - aniri | Sportswear. Gift voucher. Gift voucher. 0.,"""sportswear"" ""gift voucher"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,50,STILL_REVIEW,gift_title|gift_snippet
80,bier-ok.at,Gift Voucher Smyths Vouchers 2018 Toy Catalogue Smyths New ...,https://www.bier-ok.at/?e=185005051660,Gift Voucher Smyths Vouchers 2018 Toy Catalogue Smyths New ...,"Toy Catalogue Smyths New Toys Out 2018 £500 SMYTHS TOYS Vouchers, Gift Voucher ... Toys One For All Vouchers Gift Card Smyths Find A ... ultra mini ugg greece. My ...","""Greece"" ""toys"" ""gift voucher""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,50,STILL_REVIEW,gift_title|gift_snippet
80,cliphut.eu,Gift voucher,https://cliphut.eu/en/products/geschenkgutschein?srsltid=AfmBOorgs2mTqgzu8d14aRafPHIzjx7EjXe8JaPvg2ciPIL1v57lw3Bu,Gift voucher,"Then give a ClipHut gift voucher. With a ClipHut voucher, you not only give the gift of lasting joy, but also contribute to the 'Fighting Fast Furniture' ...","""Greece"" ""furniture"" ""gift voucher""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,50,STILL_REVIEW,gift_title|gift_snippet
85,easy.co.il,Department Store (Dream Card Gift Card) - Best in Ashdod area,https://easy.co.il/en/list/Department-Store?region=26889578&c2=22117,Department Store (Dream Card Gift Card) - Best in Ashdod area,"Department Store (Dream Card Gift Card) - Best in Ashdod area • Everything you want to know - addresses, opening hours, recommendations, phones and more.","""department store"" ""gift card"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,50,STILL_REVIEW,gift_title|gift_snippet
80,el.glosbe.com,"δωροκάρτα σε Αγγλικά, μετάφραση, Λεξικό Ελληνικά",https://el.glosbe.com/el/en/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1,"δωροκάρτα σε Αγγλικά, μετάφραση, Λεξικό Ελληνικά","Πώς είναι το ""δωροκάρτα"" στο Αγγλικά; Ελέγξτε τις μεταφράσεις του ""δωροκάρτα ... mobile phones, watches, batteries, microphones, wireless communication ...","""mobile phones"" ""δωροκάρτα"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,50,STILL_REVIEW,gift_title|gift_snippet
80,ewelt-energie.de,Disorient Sunglasses Gift Voucher the Athens planter combines ...,https://ewelt-energie.de/?q=4071672411,Disorient Sunglasses Gift Voucher the Athens planter combines ...,Disorient Sunglasses Gift Voucher the Athens planter combines classicA subtle ... Tiny Honey Bee Studs - Gold Decor. US ...,"""Athens"" ""decor"" ""gift voucher""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,50,STILL_REVIEW,gift_title|gift_snippet
80,feraobscura.com,Tattoo gift card,https://feraobscura.com/en/products/tatuointilahjakortti-1,Tattoo gift card,Digital gift card. You will receive a gift card as an attachment to your email after ordering. The service is provided by your chosen tattoo artist (Fera ...,"""tattoo"" ""gift card"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,50,STILL_REVIEW,gift_title|gift_snippet
85,gamzio.com,Buy Electroholic.GR (Greece) Gift Cards Online,https://gamzio.com/en/electroholic-gr-greece/,Buy Electroholic.GR (Greece) Gift Cards Online,"Electroholic is one of the most popular online retailers of electronics, computers and accessories, home appliances and more in Greece. ... gift voucher ...","""computers"" ""gift voucher"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,50,STILL_REVIEW,gift_title|gift_snippet
85,givn.no,Buy gift card for Moon Restaurant,https://givn.no/en/shop/moon,Buy gift card for Moon Restaurant,"Buy and give gift cards to Moon Restaurant easily at givn.no. Official gift card. Print and give physically, or send digitally.","""Kos"" ""restaurant"" ""gift card""",1,data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv,,REVIEW,non_greek_brand_coherence_unclear,50,STILL_REVIEW,gift_title|gift_snippet
85,gozo-shop.com,Gift Cards - The Boutique Of GòZo®️,https://gozo-shop.com/collections/gift-gard,Gift Cards - The Boutique Of GòZo®️,"The Boutique Of GoZo®️ Gift Card. The Boutique Of GòZo®️. from €50,00. Unit price: /per. You're viewing 1-1 of 1 products ...","""boutique"" ""gift card"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,50,STILL_REVIEW,gift_title|gift_snippet
85,janetmedicalclinic.com,Colnect Collectors Puma Gift Card Discount Piraeus Bank Credit ...,https://janetmedicalclinic.com/?e=7879077051880,Colnect Collectors Puma Gift Card Discount Piraeus Bank Credit ...,HOT ! Colnect Collectors Puma Gift Card Discount Piraeus Bank Credit Card▪️Greece▪️Expired In 1999 · Pick up at the store (Free shipping) · Delivery.,"""Piraeus"" ""sneakers"" ""gift card""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,50,STILL_REVIEW,gift_title|gift_snippet
80,jeunessepescara.com,Jeunesse Boutique Gift Voucher,https://jeunessepescara.com/en/products/buono-regalo-jeunesse-boutique?srsltid=AfmBOorl-6SxQYmyYsUPrw81OhdbC1V8JXjIwLKUBIqWTeK6jXp6jDQ-,Jeunesse Boutique Gift Voucher,"Jeunesse Boutique Gift Voucher. Jeunesse Boutique Gift Voucher. Regular price €10,00 EUR. Regular price Sale price €10,00 EUR. Unit price / per. Sale Sold out.","""boutique"" ""gift voucher"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,50,STILL_REVIEW,gift_title|gift_snippet
80,krikscioniubendruomene.lt,Mothers Day Spa Gift Certificates Mother's Day Gift Card Special ...,https://www.krikscioniubendruomene.lt/?l=21239924021350,Mothers Day Spa Gift Certificates Mother's Day Gift Card Special ...,"Mother's Day Gift Card Special! Sweet Treat for the Sweetest Mom: $25 Bonus on Gift Cards Vedas Medical Spa Wellness Aesthetic Cosmetic Semaglutide, Special ...","""medical spa"" ""gift card"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,50,STILL_REVIEW,gift_title|gift_snippet
80,leerme.pl,Gift voucher,https://leerme.pl/en/products/bon-podarunkowy,Gift voucher,Greece EUR €; Hungary HUF Ft; Ireland EUR €; Italy ... Gift voucher. Close. Gift voucher. Materials and quality that matter ... Responsible fashion for everyday ...,"""Greece"" ""fashion"" ""gift voucher""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,50,STILL_REVIEW,gift_title|gift_snippet
80,letapeseries.com,Gift voucher L'Etape Slovenia,https://www.letapeseries.com/memories/race/looking-for-a-gift-give-away-a-legendary-experience,Gift voucher L'Etape Slovenia,"The gift voucher includes a unique code for registering to L'Etape Slovenia by Tour de France, which will take place on Sunday, September 8, 2024. The recipient ...","""tour"" ""gift voucher"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,50,STILL_REVIEW,gift_title|gift_snippet
80,louisxviwatches.com,Gift Card,https://www.louisxviwatches.com/products/geschenkkarte,Gift Card,"Gift Card. No reviews. Sale price€50,00. Tax included. Title: €50,00 EUR. Title ... Greece (EUR €) Greenland (DKK kr.) Grenada (XCD ...","""Greece"" ""watches"" ""gift card""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,50,STILL_REVIEW,gift_title|gift_snippet
