v4_score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason,v4_bucket,v4_reason,v5_bucket,v5_reason,v5_1_bucket,v5_1_reason
105,athens.virtual-room.com,Virtual Reality Athens,https://athens.virtual-room.com/gift-vouchers/,Gift vouchers - Virtual Reality Athens,Kids birthday · Bachelor & Bachelorette Parties · Gift vouchers · Contact · Book now ... athens@virtual-room.com. Contact us. SITE MAP. Booking · Gift Vouchers ...,"""Athens"" ""kids"" ""gift voucher""",3,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match,AUTO_GREECE_RELEVANT,non_gr_domain_with_clear_greece_signal,AUTO_GREECE_STRICT,clear_greece_business_and_direct_gift_signal
105,coyamykonos.giftpro.co.uk,Monetary Gift Voucher - COYA Mykonos,https://coyamykonos.giftpro.co.uk/vouchers/monetary-gift-voucher/,Monetary Gift Voucher - COYA Mykonos,Join us in our open-air restaurant for an engaging and immersive ... Monetary Gift Voucher at COYA Mykonos gift voucher packaging. E-Delivery. Your ...,"""Mykonos"" ""restaurant"" ""gift voucher""",4,data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match,AUTO_GREECE_RELEVANT,non_gr_domain_with_clear_greece_signal,AUTO_GREECE_STRICT,clear_greece_business_and_direct_gift_signal
105,zumamykonos.giftpro.co.uk,monetary gift voucher - Zuma Mykonos,https://zumamykonos.giftpro.co.uk/vouchers/monetary-gift-voucher/,monetary gift voucher - Zuma Mykonos,"... restaurant, lounge and bar, sleek infinity pool, day beds and resident ... monetary gift voucher at Zuma Mykonos gift voucher packaging. packaging and ...","""Mykonos"" ""restaurant"" ""gift voucher""",4,data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match,AUTO_GREECE_RELEVANT,non_gr_domain_with_clear_greece_signal,AUTO_GREECE_STRICT,clear_greece_business_and_direct_gift_signal
95,bioaromacrete.com,SPA Gift Card,https://www.bioaromacrete.com/products/spa-gift-card,SPA Gift Card,"SPA Gift Card. Treat your loved ones to the ultimate relaxation with our luxurious spa treatments, inspired by Crete's rich botanical heritage. Each ...","""Crete"" ""spa"" ""gift card""",5,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_GREECE_RELEVANT,non_gr_domain_with_clear_greece_signal,AUTO_GREECE_STRICT,clear_greece_business_and_direct_gift_signal
95,callistioia.com,Santorini Honeymoon Spa Gift Card,https://www.callistioia.com/gift-cardnewlywedsoia,Santorini Honeymoon Spa Gift Card,Surprise your loved ones with a Santorini honeymoon spa gift card. Treat them to a romantic sunset massage experience in Oia's serene setting.,"""Santorini"" ""spa"" ""gift card""",4,data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_GREECE_RELEVANT,non_gr_domain_with_clear_greece_signal,AUTO_GREECE_STRICT,clear_greece_business_and_direct_gift_signal
95,christakisathens.com,Christakis Gift Card – Online & In-Store,https://christakisathens.com/product/christakis-gift-card-online-in-store/,Christakis Gift Card – Online & In-Store,Christakis Athens Gift Card. Christakis Gift Card – Online & In-Store. Offer the gift of choice with the Christakis Gift Card. This flexible gift allows the ...,"""Athens"" ""gift card""",3,data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_GREECE_RELEVANT,non_gr_domain_with_clear_greece_signal,AUTO_GREECE_STRICT,clear_greece_business_and_direct_gift_signal
95,cretegolfclub.com,Com,https://www.cretegolfclub.com/el/gift-cards/,Gift Cards,"Crete Golf · Home · The Course · The Hotel · The Club · Events · Gallery · About Crete ... Gift Card. Promo Gift Card. Card Value1,000.00€. Never Expiry. Never ...","""Crete"" ""hotel"" ""gift card""",5,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_GREECE_RELEVANT,non_gr_domain_with_clear_greece_signal,AUTO_GREECE_STRICT,clear_greece_business_and_direct_gift_signal
95,cretelocaladventures.com,Com,https://www.cretelocaladventures.com/gift-card/,Gift Card,"Gift Card. Give them an experience they'll remember! text, icon. 1. Book Now ... Crete Tours · About Us · Contact Us · Privacy & Cookie Statement.","""Crete"" ""experience"" ""gift card""",5,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_GREECE_RELEVANT,non_gr_domain_with_clear_greece_signal,AUTO_GREECE_STRICT,clear_greece_business_and_direct_gift_signal
95,divaniacropolishotel.com,The Ultimate Travel Gift | Divani Palace Acropolis Gift Card,https://divaniacropolishotel.com/gift-card/,The Ultimate Travel Gift | Divani Palace Acropolis Gift Card,Extra tip: the recipient will be able to redeem your Gift within 1 year! Gift Card Type. Make a choice. Amount; A Divani Athens ...,"""Athens"" ""hotel"" ""gift card""",6,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_GREECE_RELEVANT,non_gr_domain_with_clear_greece_signal,AUTO_GREECE_STRICT,clear_greece_business_and_direct_gift_signal
95,divaniapollonhotel.com,& Spa Vouchers | Divani Athens Spa & Thalasso,https://divaniapollonhotel.com/gift-card/,Gift Card & Spa Vouchers | Divani Athens Spa & Thalasso,You can purchase a Divani gift card online by selecting either a monetary amount or a specific treatment at the Divani Athens Spa & Thalasso Center through our ...,"""Athens"" ""spa"" ""gift card""",6,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_GREECE_RELEVANT,non_gr_domain_with_clear_greece_signal,AUTO_GREECE_STRICT,clear_greece_business_and_direct_gift_signal
