v4_score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason,v4_bucket,v4_reason,v5_bucket,v5_reason,v5_1_bucket,v5_1_reason
105,oblikeditions.company.site,Oblik Editions Gift card,https://oblikeditions.company.site/%CE%94%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-Gift-card-p264376435,Oblik Editions Gift card,Δωροκάρτα/Gift card. Κατάστημα/Θεσσαλονίκη/Thessaloniki. €20.00. Επιλέξτε ποσό. €20.00. €30.00. €50.00. €100.00. Σε στοκ. Ποσότητα:.,"""Thessaloniki"" ""δωροκάρτα""",4,data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match,AUTO_GREECE_RELEVANT,non_gr_domain_with_clear_greece_signal,MANUAL_REVIEW,greece_relevant_but_business_location_unclear
95,alexander-edu.org,Learn Modern and Ancient Greek in Greece!,https://alexander-edu.org/gift-card/,Gift Card - Learn Modern and Ancient Greek in Greece!,Wonderful experience with this school in Thessaloniki - the right mixture of ... Gift Card. Want to surprise someone with more than just a typical gift ...,"""Thessaloniki"" ""experience"" ""gift card""",6,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_GREECE_RELEVANT,non_gr_domain_with_clear_greece_signal,MANUAL_REVIEW,greece_relevant_but_business_location_unclear
95,allpeoplephotography.com,Business Thank You Gift Voucher,https://www.allpeoplephotography.com/vouchers/buiness-thank-you-photo-experience-2/,Business Thank You Gift Voucher,"Business Experience Gift Voucher. As a thank you for your valued custom from one of our business partners & All People Photography ... Greece, Greenland ...","""photography"" ""gift voucher"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_GREECE_RELEVANT,non_gr_domain_with_clear_greece_signal,MANUAL_REVIEW,greece_relevant_but_business_location_unclear
95,aspro.store,Get your digital gift card now online,https://aspro.store/en/products/aspro-cleaning-lab-digital-gift-card?srsltid=AfmBOopcSAVecgfjbUIQpImjB0heoUDGuOnDJSE5cYJ-95OwmiqcwpC2,Get your digital gift card now online,"Digital gift card. Open media 1 in modal. 1 / of 1. aspro store. Digital ... If you are nearby, visit us in our shop in Kavala-Greece. We will be happy ...","""Kavala"" ""gift card""",3,data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_GREECE_RELEVANT,non_gr_domain_with_clear_greece_signal,MANUAL_REVIEW,greece_relevant_but_business_location_unclear
95,babycollection.shop,Gift Card,https://babycollection.shop/en/product/dorokarta/?srsltid=AfmBOorb1uKUhzvBSkV_B5b5_Nc0RT48xzrxf_Mj6Hlg64qVDIfZCblj,Gift Card,Free Shipping for Orders Over €150 100% Greek Business. Gift Card - Image 1. Click to enlarge. Home / BABY GOODS / Bed sheets / Gift Card.,"""baby"" ""gift card"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_GREECE_RELEVANT,non_gr_domain_with_clear_greece_signal,MANUAL_REVIEW,weak_direct_greece_or_gift_evidence
95,backpackongreece.com,Δωροκάρτα Εκδρομών & Outdoor Εμπειριών,https://backpackongreece.com/shop/gift-card-30/,Δωροκάρτα Εκδρομών & Outdoor Εμπειριών,"Κατηγορία:Δωροκάρτα Ετικέτες:Gift card hiking, Outdoor gift Greece, Δώρα για πεζοπόρους, Δώρο εμπειρίας, Δωροκάρτα εκδρομών ... outdoor δραστηριότητες.","""outdoor"" ""gift card"" Greece",4,data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_GREECE_RELEVANT,non_gr_domain_with_clear_greece_signal,MANUAL_REVIEW,greece_relevant_but_business_location_unclear
95,bequeenboutique.com,Com,https://bequeenboutique.com/en/product-category/gift-cards-en/?srsltid=AfmBOoou5ukw60I2MF7TEN1oTtytYsWsTvZFqOu1WOkYg6zLCFFOLV8q,Gift Cards,"Gift Card – 50. 50,00 €. THESSALONIKI.","""Thessaloniki"" ""fashion"" ""gift card""",3,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_GREECE_RELEVANT,non_gr_domain_with_clear_greece_signal,MANUAL_REVIEW,greece_relevant_but_business_location_unclear
95,coco-mat.com,Com,https://www.coco-mat.com/greece/en/product/gift-card,Gift Card,Gift Card 200€ - Purchase cost 160€; Gift Card 400€ - Purchase cost 320€; Gift Card 500€ - Purchase cost 400€. €40.00.,"""Kifisia"" ""experience"" ""gift card""",6,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_GREECE_RELEVANT,non_gr_domain_with_clear_greece_signal,MANUAL_REVIEW,greece_relevant_but_business_location_unclear
95,congusto.com,Gift Card,https://www.congusto.com/en/collections/gift-card?srsltid=AfmBOopc-OgZFOBDVoes-nVXOD-x2OWJffyUFvZ0klrcvS3Ya_24AazD,Gift Card,"... Greece (EUR €), Hungary (HUF Ft), Ireland (EUR ... COURSES. Professional courses · Master · International Programs · Enthusiasts courses · Gift Cards · Team ...","""courses"" ""gift card"" Greece",4,data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_GREECE_RELEVANT,non_gr_domain_with_clear_greece_signal,MANUAL_REVIEW,greece_relevant_but_business_location_unclear
95,dsgntouch.com,Salon Gift Card - Elegant Minimalist Design for Beauty Pros,https://dsgntouch.com/products/salon-gift-card-minimalist-black-white?srsltid=AfmBOopDvFB5lfChTkH4AovODXXZSYl8iB8V1kTobQQv-9YR6S-2ray2,Salon Gift Card - Elegant Minimalist Design for Beauty Pros,Greece USD $; Hungary USD $; Ireland USD $; Israel USD $; Italy ... The salon gift card beautifully displayed on a reception counter in a modern hair salon.,"""hair salon"" ""gift card"" Greece",4,data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_GREECE_RELEVANT,non_gr_domain_with_clear_greece_signal,MANUAL_REVIEW,greece_relevant_but_business_location_unclear
