v4_score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason,v4_bucket,v4_reason,v5_bucket,v5_reason
105,decathlon.com.cy,Decathlon cyprus online gift card,https://decathlon.com.cy/products/gift-cards?srsltid=AfmBOor_aN1xotEP8NwOusLh8qxyYxSuFuIOvn7N-_WKs4RjZhZMKQEC,Decathlon cyprus online gift card,"Start shopping. Decathlon cyprus online gift card. Sale price€10,00. /. Add to cart. Home.","""Cyprus"" fashion ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match,GLOBAL_GREECE_REVIEW,recognized_global_brand_possible_greece_relevance
105,next.co.uk,Classic Gift Cards | Next Official Site,https://www.next.co.uk/gift-cards,Classic Gift Cards | Next Official Site,"... uk · COACH · Mulberry · New In · Trainers ... With so much choice at their fingertips, give them the perfect present for every occasion with a gift card from Next ...","""UK"" retail ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match,GLOBAL_GREECE_REVIEW,recognized_global_brand_possible_greece_relevance
105,tripadeal.com.au,TripADeal e-Gift Voucher | Tour Package,https://www.tripadeal.com.au/gift-vouchers,TripADeal e-Gift Voucher | Tour Package,"Europe. Hotels. Find your next escape. Exclusive Hotel Packages Curated ... To apply any remaining e-Gift Voucher balance to subsequent instalments payment, ...","""Europe"" travel ""gift voucher"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match,GLOBAL_GREECE_REVIEW,recognized_global_brand_possible_greece_relevance
95,axhotelsmalta.com,Gift Vouchers,https://axhotelsmalta.com/gift-vouchers/,Gift Vouchers,"... Gift Voucher unlocks a world of experiences to choose from. PREV. NEXT. AX The Heights Residences. Rabat, Malta · Verdala Wellness – AX Privilege. Rabat, Malta.","""Malta"" travel ""gift voucher"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,GLOBAL_GREECE_REVIEW,recognized_global_brand_possible_greece_relevance
95,boots.com,Gift Cards & e-Cards,https://www.boots.com/gift/gift-cards?srsltid=AfmBOoqwEe4Q5_7rftgr_q0dgCAh7HlppqTrmEcaPPUO6-X3v9oum_dE,Gift Cards & e-Cards,Where can I buy a gift card or e-card? UK customers can purchase our gift cards online here or you can purchase them from our stores. Use the store locator ...,"""UK"" beauty ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,GLOBAL_GREECE_REVIEW,recognized_global_brand_possible_greece_relevance
95,chicgreekgifts.com,Gift Cards,https://chicgreekgifts.com/en/13-gift-cards,Gift Cards,... Decor · For Her · Sustainable · Ariadnes Thread Eco Series · For Him · Corporate ... We can send your gift card/voucher on any date within the next three months.,"""decor"" ""gift card"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,GLOBAL_GREECE_REVIEW,recognized_global_brand_possible_greece_relevance
95,de.accor-giftcards.com,ALL Gift Card – Dive into the love of travel with Accor | Buy Now,https://de.accor-giftcards.com/,ALL Gift Card – Dive into the love of travel with Accor | Buy Now,"Switzerland (CHF), United Kingdom (GBP). Language. English. Confirm selection ... A gift card, a thousand experiences: stays, spas, dinners, and more! Give ...","""Switzerland"" hotel ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,GLOBAL_GREECE_REVIEW,recognized_global_brand_possible_greece_relevance
95,fairmont.com,Luxury Hotel & Spa Gift Cards,https://www.fairmont.com/en/gift-card.html,Luxury Hotel & Spa Gift Cards,"Give the gift of luxury with a Fairmont hotel gift card, redeemable worldwide for stays, dining, spa and golf ... Switzerland. Geneva - Grand Hotel Geneva ...","""Switzerland"" hotel ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,GLOBAL_GREECE_REVIEW,recognized_global_brand_possible_greece_relevance
95,fourseasons.com.cy,Gift Card,https://www.fourseasons.com.cy/gift-cards,Gift Card,Gift card €100. Terms & Conditions. • This gift card is valid ONLY at the Four Seasons Cyprus. • The gift card can be redeemed for any purchases at the Hotel ...,"""Cyprus"" hotel ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,GLOBAL_GREECE_REVIEW,recognized_global_brand_possible_greece_relevance
95,gucci.com,Designer Gift Cards,https://www.gucci.com/cz/en_gb/st/giftcard,Designer Gift Cards,"The Gift Card can be used only in the Czech Republic and in the Gucci boutiques of Prague (""Gucci Boutiques""). Only Gift Cards issued in the Gucci Boutiques are ...","""Czech Republic"" fashion ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,GLOBAL_GREECE_REVIEW,recognized_global_brand_possible_greece_relevance
