v4_score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason,v4_bucket,v4_reason,v5_bucket,v5_reason
105,giftvouchers.co.uk,Travel Gift Voucher | giftvouchers.co.uk,https://www.giftvouchers.co.uk/gift-voucher/travel/?srsltid=AfmBOoraB7cDAcDoi6HtPTU0Q_7o2h4DAh75-EYngetPDz2xqhTJ_0-y,Travel Gift Voucher | giftvouchers.co.uk,Request a quote! Travel Gift Voucher. promotiebeeld ... The Travel Gift Card is a Choice Gift Card that can be redeemed on giftvouchers.co.uk for a variety of ...,"""UK"" travel ""gift voucher"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match,REJECT,known_reseller_marketplace_or_news
105,lifestylegiftcards.co.uk,Lifestyle Gift Cards,https://www.lifestylegiftcards.co.uk/,Lifestyle Gift Cards,GIFT CARDS FOR EVERY OCCASION · Choose a gift card. For sending by post or email · Shop from hundreds of UK brands.,"""UK"" retail ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match,REJECT,known_reseller_marketplace_or_news
105,tripadvisor.co.za,Buy gift voucher from UK for use in Italy - Tripadvisor,https://www.tripadvisor.co.za/ShowTopic-g187768-i20-k13556429-Buy_gift_voucher_from_UK_for_use_in_Italy-Italy.html,Buy gift voucher from UK for use in Italy - Tripadvisor,Buy gift voucher from UK for use in Italy ... Would like to give someone living in Italy a gift card or certificate for a meal out. Is there any way this can be ...,"""Italy"" travel ""gift voucher"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source|brand_domain_match,REJECT,known_reseller_marketplace_or_news
95,athensfishspa.com,Giftcard,https://athensfishspa.com/Page/11/Giftcard,Giftcard,"Is one of the best spa in Athens, as rated by hundreds of travellers in tripadvisor. Δωροκάρτες. Δείξτε την αγάπη σας – αγοράστε μια δωροκάρτα για τo καλύτερο ...","""Athens"" ""δωροκάρτα""",5,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,REJECT,research_reseller_editorial_signal
95,coinsbee.com,Buy Electroholic.gr Gift Cards with Crypto,https://www.coinsbee.com/en/gift-cards/electronics/electroholic-gr/,Buy Electroholic.gr Gift Cards with Crypto,"This versatile e-gift card works like a convenient Electroholic.gr prepaid card for electronics, ideal for upgrading laptops, smartphones, gaming gear, ...","""electronics"" ""gift card"" Greece",3,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,REJECT,known_reseller_marketplace_or_news
95,databridgemarketresearch.com,Europe Gift Card Market – Industry Trends and Forecast to ...,https://www.databridgemarketresearch.com/reports/europe-gift-card-market?srsltid=AfmBOoo2DhtOObjMUnmq-NSIw3vVhMZnaiLNWhRwzSUSqhzgKP02KKVX,Europe Gift Card Market – Industry Trends and Forecast to ...,"The Europe Gift Card market was valued at USD 256857.19 Million in 2022 and is expected to reach USD 896605.19 Million by 2030, growing at a CAGR of 17.20% ...","""Europe"" retail ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,REJECT,known_reseller_marketplace_or_news
95,democratandchronicle.com,"Bed, Bath & Beyond is accepting Toys R Us gift cards, but ...",https://www.democratandchronicle.com/story/news/2018/04/04/bed-bath-beyond-accepting-toys-r-us-gift-cards-but-not-long/484786002/,"Bed, Bath & Beyond is accepting Toys R Us gift cards, but ...","Anyone with an unused Toys R Us gift card can exchange it for credit at Bed, Bath & Beyond. Bed Bath & Beyond. But the deal ends soon.","""toys"" ""gift card"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,REJECT,research_reseller_editorial_signal
95,driffle.com,Electroholic Gift Cards – Electronics & Gadgets Vouchers,https://driffle.com/store/electroholic-gift-cards,Electroholic Gift Cards – Electronics & Gadgets Vouchers,"Purchase an Electroholic Gift Card for a range of electronics, mobile accessories, and innovative gadgets instantly.","""electronics"" ""gift card"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,REJECT,known_reseller_marketplace_or_news
95,dundle.com,Αγοράστε Gift Cards – γρήγορη & άμεση λήψη μέσω email,https://dundle.com/gr/giftcards/,Αγοράστε Gift Cards – γρήγορη & άμεση λήψη μέσω email,"Βρείτε το τέλειο δώρο! Αγοράστε μία ψηφιακή δωροκάρτα για ψώνια, gaming, φαγητό. H gift card θα σταλεί αμέσως στο email σας. Δεν απαιτείται λογαριασμός!","""gaming"" ""δωροκάρτα"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,REJECT,known_reseller_marketplace_or_news
95,egifter.com,Buy Gift Cards,https://www.egifter.com/en-be/giftcards?srsltid=AfmBOork1-Xj54bLfiNPV82ChydJSzw8oPiAHUcBKdKEICboFS_ltYnG,Buy Gift Cards,Shop from hundreds of top Gift Card brands. Send as a gift or buy for yourself ... Belgium Belgium. Belgium; Canada; France ...,"""Belgium"" retail ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear,MANUAL_HIGH,gift_title|gift_url|gift_snippet|repeated_source|multi_source,REJECT,known_reseller_marketplace_or_news
