sourceType,sourceName,sourceUrl,title,merchantName,possibleOfficialUrl,notes
OFFICIAL,Public,https://www.public.gr/send-gift-card,Public e-Gift Card,Public,https://www.public.gr,Official gift card page
OFFICIAL,Wolt,https://life.wolt.com/el/grc/howto/wolt-gift-card,Wolt Gift Card,Wolt,https://wolt.com,Official Greece gift card page
OFFICIAL,Sephora,https://www.sephora.gr/Gift-Card.html,Sephora Gift Card,Sephora,https://www.sephora.gr,Official gift card page
OFFICIAL,attica,https://www.atticadps.gr/attica-dwrokarta/,attica Gift Card,attica,https://www.atticadps.gr,Official gift card page
OFFICIAL,Plaisio,https://www.plaisio.gr/help/purchaseinformation/paymentmethods/plaisiogiftcard,Plaisio Gift Card,Plaisio,https://www.plaisio.gr,Official gift card help page
OFFICIAL,AEGEAN,https://el.aegeanair.com/flight-deals/gift-card/,AEGEAN Gift Card,AEGEAN,https://el.aegeanair.com,Official gift card page
OFFICIAL,SKY express,https://www.skyexpress.gr/el/book/sky-gift/buy-now,SKY gift,SKY express,https://www.skyexpress.gr,Official gift page
OFFICIAL,Notino,https://www.notino.gr/doroepitagi/,Notino Δωροεπιταγή,Notino,https://www.notino.gr,Official gift voucher page
OFFICIAL,The Body Shop,https://www.thebodyshop.gr/gift-cards,The Body Shop Gift Cards,The Body Shop,https://www.thebodyshop.gr,Official gift card page
OFFICIAL,Pharm24,https://www.pharm24.gr/dwrokarta-pharm24-p-27732.html,Pharm24 Δωροκάρτα,Pharm24,https://www.pharm24.gr,Official gift card page
OFFICIAL,HomeMarkt,https://www.homemarkt.gr/el/consents/dorokarta-/,HomeMarkt Δωροκάρτα,HomeMarkt,https://www.homemarkt.gr,Official gift card page
OFFICIAL,Lentiamo,https://www.lentiamo.gr/doroepitage.html,Lentiamo Δωροεπιταγή,Lentiamo,https://www.lentiamo.gr,Official gift voucher page
OFFICIAL,e-tennis,https://www.e-tennis.gr/axesouar/personal-accessories/gift-cards.html,e-tennis Gift Cards,e-tennis,https://www.e-tennis.gr,Official gift cards page
OFFICIAL,Rundome,https://www.rundome.gr/el/content/239-giftcards-rundome,Rundome Gift Cards,Rundome,https://www.rundome.gr,Official gift card page
OFFICIAL,Prenatal,https://prenatal.gr/gift-card/,Prenatal Gift Card,Prenatal,https://prenatal.gr,Official gift card page
OFFICIAL,Kulina,https://www.kulina.gr/gift-vouchers/,Kulina Gift Vouchers,Kulina,https://www.kulina.gr,Official gift vouchers page
OFFICIAL,Hondos Center,https://www.hondoscenter.com/el/gift-card.html,Hondos Center Gift Card,Hondos Center,https://www.hondoscenter.com,Official gift card page
OFFICIAL,Cosmos Sport,https://www.cosmossport.gr/el/304016-dorokarta-cosmossport.html,Cosmos Sport Gift Card,Cosmos Sport,https://www.cosmossport.gr,Official gift card page
OFFICIAL,Sneaker10,https://www.sneaker10.gr/el/304016-dorokarta-sneaker10.html,Sneaker10 Gift Card,Sneaker10,https://www.sneaker10.gr,Official gift card page
OFFICIAL,IKEA,https://www.ikea.gr/files/Services/en/IKEA_Gift_Card_-_Terms_and_Conditions.pdf,IKEA Gift Card,IKEA,https://www.ikea.gr,Official gift card terms
