"severity","entityType","entityId","merchantId","merchantName","giftCardId","giftCardTitle","code","detail","value"
"HIGH","GIFT_CARD","cmta1lh5d00paq8iy9yb8ljis","cmta1lgz200p9q8iyic8bgel1","4 Sports","cmta1lh5d00paq8iy9yb8ljis","4 Sports Gift Card","ACTIVE_CARD_NOT_VERIFIED","Active card verification status is NEEDS_REVIEW.","NEEDS_REVIEW"
"HIGH","GIFT_CARD","cmta1lh5d00paq8iy9yb8ljis","cmta1lgz200p9q8iyic8bgel1","4 Sports","cmta1lh5d00paq8iy9yb8ljis","4 Sports Gift Card","NO_OFFICIAL_CARD_SOURCE","Active card has no active OFFICIAL SourceRecord.",""
"HIGH","GIFT_CARD","cmta1h3ld0084q8iyv47alh4s","cmta1h3dc0083q8iyok0hfncb","4seasons Beauty Institute","cmta1h3ld0084q8iyv47alh4s","Δωροκάρτα - Χαλκίδα","ACTIVE_CARD_NOT_VERIFIED","Active card verification status is NEEDS_REVIEW.","NEEDS_REVIEW"
"HIGH","GIFT_CARD","cmta1h3ld0084q8iyv47alh4s","cmta1h3dc0083q8iyok0hfncb","4seasons Beauty Institute","cmta1h3ld0084q8iyv47alh4s","Δωροκάρτα - Χαλκίδα","NO_OFFICIAL_CARD_SOURCE","Active card has no active OFFICIAL SourceRecord.",""
"HIGH","MERCHANT","cmtb77zgx005idkiyg9qkwj7r","cmtb77zgx005idkiyg9qkwj7r","Δωροεπιταγές","","","GENERIC_MERCHANT_NAME","Merchant name is generic and does not identify a brand.","Δωροεπιταγές"
"HIGH","MERCHANT","cmta4yjki001gsciyo7tcjy02","cmta4yjki001gsciyo7tcjy02","Δωροκάρτα από την Harpy Clothing 2026","","","LOGO_MISSING","Merchant has no logo.",""
"HIGH","GIFT_CARD","cmt8o9lfb000130iysqk7vztw","cmt8o9l84000030iymso77cud","Access Fashion","cmt8o9lfb000130iysqk7vztw","Access Fashion Gift Card","OPEN_PRODUCTION_REVIEW_FLAG","1 open production review flag(s).","CANONICAL_URL_CHANGED:Verified canonical DiscoveryItem cmt8ngudr00055kiyuupouj0y proposes a new official URL."
"HIGH","GIFT_CARD","cmta1h4240086q8iyy52pw87m","cmta1h3wa0085q8iyn1rdkd0h","Active Fashion","cmta1h4240086q8iyy52pw87m","Active Fashion Gift Card","ACTIVE_CARD_NOT_VERIFIED","Active card verification status is NEEDS_REVIEW.","NEEDS_REVIEW"
"HIGH","GIFT_CARD","cmta1h4240086q8iyy52pw87m","cmta1h3wa0085q8iyn1rdkd0h","Active Fashion","cmta1h4240086q8iyy52pw87m","Active Fashion Gift Card","NO_OFFICIAL_CARD_SOURCE","Active card has no active OFFICIAL SourceRecord.",""
"HIGH","MERCHANT","cmta1flpz002sq8iyj9fu06aj","cmta1flpz002sq8iyj9fu06aj","Adidas","","","LOGO_MISSING","Merchant has no logo.",""
"HIGH","GIFT_CARD","cmta1h66q0088q8iylx3c16x3","cmta1h4v30087q8iyy554j84c","Adore Beauty","cmta1h66q0088q8iylx3c16x3","Adore Beauty Gift Card","ACTIVE_CARD_NOT_VERIFIED","Active card verification status is NEEDS_REVIEW.","NEEDS_REVIEW"
"HIGH","GIFT_CARD","cmta1h66q0088q8iylx3c16x3","cmta1h4v30087q8iyy554j84c","Adore Beauty","cmta1h66q0088q8iylx3c16x3","Adore Beauty Gift Card","NO_OFFICIAL_CARD_SOURCE","Active card has no active OFFICIAL SourceRecord.",""
"HIGH","GIFT_CARD","cmtb6uetn00053giyiewpxirq","cmtb6ueoq00043giye4hg3ri6","Adventure Junkies","cmtb6uetn00053giyiewpxirq","Adventure Junkies Gift Card","ACTIVE_CARD_NOT_VERIFIED","Active card verification status is NEEDS_REVIEW.","NEEDS_REVIEW"
"HIGH","GIFT_CARD","cmtb6uetn00053giyiewpxirq","cmtb6ueoq00043giye4hg3ri6","Adventure Junkies","cmtb6uetn00053giyiewpxirq","Adventure Junkies Gift Card","NO_OFFICIAL_CARD_SOURCE","Active card has no active OFFICIAL SourceRecord.",""
"HIGH","GIFT_CARD","cmt79iczq000184iyn0v8cypj","cmt79icwc000084iyqmpbd9de","AEGEAN","cmt79iczq000184iyn0v8cypj","AEGEAN Gift Card","LATEST_SNAPSHOT_BAD_HTTP","Latest production verification snapshot returned HTTP 403.","https://el.aegeanair.com/flight-deals/gift-card"
"HIGH","GIFT_CARD","cmta1ker900kyq8iyvoop3jdl","cmta1kekt00kxq8iyxv2r81h0","Aetherjewelry","cmta1ker900kyq8iyvoop3jdl","Aetherjewelry Gift Card","ACTIVE_CARD_NOT_VERIFIED","Active card verification status is NEEDS_REVIEW.","NEEDS_REVIEW"
"HIGH","GIFT_CARD","cmta1ker900kyq8iyvoop3jdl","cmta1kekt00kxq8iyxv2r81h0","Aetherjewelry","cmta1ker900kyq8iyvoop3jdl","Aetherjewelry Gift Card","NO_OFFICIAL_CARD_SOURCE","Active card has no active OFFICIAL SourceRecord.",""
"HIGH","GIFT_CARD","cmta1k3kn00joq8iyvt4mz4a4","cmta1k3e400jnq8iyfrp6th99","Afroditesbeaute","cmta1k3kn00joq8iyvt4mz4a4","Afrodites Beaute Gift Card","ACTIVE_CARD_NOT_VERIFIED","Active card verification status is NEEDS_REVIEW.","NEEDS_REVIEW"
"HIGH","GIFT_CARD","cmta1k3kn00joq8iyvt4mz4a4","cmta1k3e400jnq8iyfrp6th99","Afroditesbeaute","cmta1k3kn00joq8iyvt4mz4a4","Afrodites Beaute Gift Card","NO_OFFICIAL_CARD_SOURCE","Active card has no active OFFICIAL SourceRecord.",""
"HIGH","GIFT_CARD","cmta1gg4h005sq8iyehntb76m","cmta1gfy3005rq8iyb6n5rmq0","Agathou","cmta1gg4h005sq8iyehntb76m","Agathou Beauty & Spa Δωροεπιταγή 70€","ACTIVE_CARD_NOT_VERIFIED","Active card verification status is NEEDS_REVIEW.","NEEDS_REVIEW"
