status,giftCardId,merchantName,giftCardTitle,categorySlug,occasionSlug,relevance,reason,ruleId
SAFE,cmt79iczq000184iyn0v8cypj,AEGEAN,AEGEAN Gift Card,travel,birthday,88,,semantic-category-v8:travel:birthday
SAFE,cmt79iczq000184iyn0v8cypj,AEGEAN,AEGEAN Gift Card,travel,anniversary,92,,semantic-category-v8:travel:anniversary
SAFE,cmt79iczq000184iyn0v8cypj,AEGEAN,AEGEAN Gift Card,travel,wedding,88,,semantic-category-v8:travel:wedding
SAFE,cmt79iczq000184iyn0v8cypj,AEGEAN,AEGEAN Gift Card,travel,christmas,82,,semantic-category-v8:travel:christmas
SAFE,cmt79idil000684iyx2gzjknp,attica,attica Gift Card,department-stores,birthday,92,,semantic-category-v8:department-stores:birthday
SAFE,cmt79idil000684iyx2gzjknp,attica,attica Gift Card,department-stores,christmas,92,,semantic-category-v8:department-stores:christmas
SAFE,cmt79idil000684iyx2gzjknp,attica,attica Gift Card,department-stores,wedding,82,,semantic-category-v8:department-stores:wedding
SAFE,cmt79idil000684iyx2gzjknp,attica,attica Gift Card,department-stores,just-because,82,,semantic-category-v8:department-stores:just-because
SAFE,cmt79ie3d000c84iy2ec5ea06,Cosmos Sport,Cosmos Sport Gift Card,sports,birthday,92,,semantic-category-v8:sports:birthday
SAFE,cmt79ie3d000c84iy2ec5ea06,Cosmos Sport,Cosmos Sport Gift Card,sports,christmas,86,,semantic-category-v8:sports:christmas
SAFE,cmt79ie3d000c84iy2ec5ea06,Cosmos Sport,Cosmos Sport Gift Card,sports,just-because,76,,semantic-category-v8:sports:just-because
SAFE,cmt79iemt000i84iyx81scabo,e-tennis,e-tennis Gift Card,sports,birthday,92,,semantic-category-v8:sports:birthday
SAFE,cmt79iemt000i84iyx81scabo,e-tennis,e-tennis Gift Card,sports,christmas,86,,semantic-category-v8:sports:christmas
SAFE,cmt79iemt000i84iyx81scabo,e-tennis,e-tennis Gift Card,sports,just-because,76,,semantic-category-v8:sports:just-because
SAFE,cmt79if7j000o84iymh0hdqkh,IKEA,IKEA Gift Card,home,wedding,88,,semantic-category-v8:home:wedding
SAFE,cmt79if7j000o84iymh0hdqkh,IKEA,IKEA Gift Card,home,christmas,84,,semantic-category-v8:home:christmas
SAFE,cmt79if7j000o84iymh0hdqkh,IKEA,IKEA Gift Card,home,just-because,76,,semantic-category-v8:home:just-because
SAFE,cmt79ifs3000u84iyqg85vql2,Kulina,Kulina Gift Card,home,wedding,88,,semantic-category-v8:home:wedding
