status,giftCardId,merchantName,giftCardTitle,verificationStatus,categorySlug,occasionSlug,relevance,ruleId,evidenceSurface,evidenceSnippet,officialUrl,reason,actionId
SAFE,cmta1jaht00gcq8iyymttuqej,Playroot,Δωροκάρτα,NEEDS_REVIEW,kids-baby,for-kids,95,official-for-kids-explicit-v1:official_meta_description,OFFICIAL_META_DESCRIPTION,αναζητατε το ιδανικο δωρο για ενα ξεχωριστο παιδι στη ζωη σας η ψηφιακη δωροκαρτα μας ειναι ο τελειος τροπος για να τους αφησετε τα παιδια και τους γονεις να επι,https://playroot.gr/product/giftcard/,,fa3e06e3d4d8a84c3896114b84ba1f427404b3bc914b7cf979017f1bf8b6f96e
SAFE,cmta1maoe00sgq8iykpfadorv,Littlesubmarine,Littlesubmarine Gift Card,NEEDS_REVIEW,kids-baby,for-kids,95,official-for-kids-explicit-v1:official_meta_description,OFFICIAL_META_DESCRIPTION,δωρο γεννησης η δωρο γενεθλιων για ενα μικρο παιδι καντε δωρο μια συνδρομη baby swimming και χαριστε μια εμπειρια επιλεξτε την gift card μας,https://www.littlesubmarine.gr/gift-card-baby-swimming/,,997bcd22da5d50075b91f40f4545261f27aef971037f51e5943158e361dbb18c
SAFE,cmta1nmsz00xmq8iy9pwfqup0,Porfyrastore,Porfyrastore Gift Card,NEEDS_REVIEW,fashion,for-her,100,official-for-her-explicit-v1:official_title,OFFICIAL_TITLE,gift cards porfyra γυναικεια μοδα,https://porfyrastore.gr/gift-cards/,,3daab88cb13255b26700781570b64f9ae32409c7bfbfd3736db6dcbd3a21bc3b
SAFE,cmta5npkk000t54iyjgkmw0i1,Kalina Concept Store,Kalina Concept Store - GIFT CARD,VERIFIED,gifts-concept-stores,for-her,95,official-for-her-explicit-v1:official_meta_description,OFFICIAL_META_DESCRIPTION,give the gift of choice with the kalina concept store e gift card whether it s for a birthday a celebration or just because it s the ultimate present for every stylish woman in your life delivered instantly via email redeemable online and soon in store ,https://kalinaconceptstore.gr/products/gift-card-kalina-concept-store?srsltid=AfmBOorgzWkZpfBaPYqqARKb9wop02LbcC_yk1o_0sVP6K0hJOkAJntx,,2d251434985e3259f4b434913ad1d478ce07b34ff2a5a758d6e0faa8bab84bb0
REVIEW,cmt79igbu001084iy7fkqj7p6,Lentiamo,Lentiamo Gift Card,VERIFIED,fashion,for-her,80,official-for-her-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,ευασιες συσκευασια 2 τμχ συσκευασια 3 τμχ συσκευασια 4 τμχ γυαλια ορασεως τυπος γυναικεια ανδρικα παιδικα unisex προτεινουμε νεες αφιξεις limited edition εκπτωσεις δωροεπιταγη εικονικη δοκιμη χρηση γυαλια αναγνωσης γυαλια ορασεως γυαλια υπολογιστη γυαλια ,https://lentiamo.gr/doroepitage.html,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmt79igbu001084iy7fkqj7p6,Lentiamo,Lentiamo Gift Card,VERIFIED,fashion,for-him,80,official-for-him-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,σκευασια 2 τμχ συσκευασια 3 τμχ συσκευασια 4 τμχ γυαλια ορασεως τυπος γυναικεια ανδρικα παιδικα unisex προτεινουμε νεες αφιξεις limited edition εκπτωσεις δωροεπιταγη εικονικη δοκιμη χρηση γυαλια αναγνωσης γυαλια ορασεως γυαλια υπολογιστη γυαλια ,https://lentiamo.gr/doroepitage.html,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1f1n7000tq8iylhz55ztt,Msba Events,Msba Events Gift Card,NEEDS_REVIEW,kids-baby,for-kids,80,official-for-kids-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,σετ κουμπαρου my account καλαθιταμειο wishlistgift card αρχικη σελιδα shop toys gift card gift card 10 00 200 00price range 10 00 through 200 00 ean sku n a categories deco room for food kids fashion newborn road and school seasonally toys ποσο δωροκαρτας καντε μια επιλογη 10 25,https://www.msba-events.gr/shop/toys/gift-card/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1f1n7000tq8iylhz55ztt,Msba Events,Msba Events Gift Card,NEEDS_REVIEW,kids-baby,new-baby,80,official-new-baby-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,σετ κουμπαρου my account καλαθιταμειο wishlistgift card αρχικη σελιδα shop toys gift card gift card 10 00 200 00price range 10 00 through 200 00 ean sku n a categories deco room for food kids fashion newborn road and school seasonally toys ποσο δωροκαρτας καντε μια επιλογη 10 25 50 100 ,https://www.msba-events.gr/shop/toys/gift-card/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1f5j70017q8iy3ul3t87x,arfie.gr,Arfie Gift Card,VERIFIED,kids-baby,for-kids,80,official-for-kids-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,α μαμα μαμα οργανωτες καροτσιου βολτα παιχνιδι βιβλιο παιχνιδι βιβλιο παιχνιδια παιδικα βιβλια βιβλια γονεικοτητας παιδικο δωματιο παιδικο δωματιο arfie collection blw baby led weaning gift card εισοδος αναζητηση shop ρουχα arfie new collection σετακια φορμακια φορεματακια ,https://www.arfie.gr/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1f5j70017q8iy3ul3t87x,arfie.gr,Arfie Gift Card,VERIFIED,kids-baby,new-baby,80,official-new-baby-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,hie new arrivals shop now παιδικο δωματιο arfie collection blw baby led weaning gift card αναζητηση εισοδος καλαθι τα ρουχαλακια της συλλογης μας εως 70 προλαβε τα εδω mushie εως 50 βρεφικα μποτακια βαμβακερα 3 6 μηνων oatmeal mushie 50 βρεφικα μποτακια βαμβακερα 3 6 μ,https://www.arfie.gr/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
