actionId,giftCardId,merchantName,giftCardTitle,verificationStatus,categorySlug,occasionSlug,relevance,ruleId,evidenceSnippet
41612bedcfed63b0fde3c1246efb654f4e106f6a43f34ed081a82136fe39cbcb,cmt79ii0a001i84iy9nr3cfur,Prenatal,Prenatal Gift Card,VERIFIED,kids-baby,new-baby,100,identity-new-baby-explicit-v1,prenatal prenatal gift card
abf274193cf8f0af3a91af933e94aaaed519aec543291813565173e60d27dbf6,cmt8l5xzu000s5giy4og91vji,Mothercare Greece,Mothercare Greece Gift Card,VERIFIED,kids-baby,new-baby,100,identity-new-baby-explicit-v1,mothercare greece mothercare greece gift card
f30fc899de521e45656ce03d0da8e28140767cdebccf4e812de28721d038368b,cmta1gw6k007aq8iyem3o50mp,Piedini,Gift Card Γυναικεία & Ανδρικά Παπούτσια,NEEDS_REVIEW,fashion,for-her,100,identity-for-her-explicit-v1,piedini gift card γυναικεια ανδρικα παπουτσια
09075eee5d6d9d5e9cb40cf955038ff6911558e263611127e985534daa502faa,cmta1gw6k007aq8iyem3o50mp,Piedini,Gift Card Γυναικεία & Ανδρικά Παπούτσια,NEEDS_REVIEW,fashion,for-him,100,identity-for-him-explicit-v1,piedini gift card γυναικεια ανδρικα παπουτσια
f0cd0cbf584d9f6ee5c85f3de0fe22da2f605c2a748a8444e5b9a088f5ea09f1,cmta1han9008gq8iyr14rrfwb,Ame30,"Gift Card - ame30 - Ανδρικά ρούχα, παπούτσια και αξεσουάρ",NEEDS_REVIEW,fashion,for-him,100,identity-for-him-explicit-v1,ame30 gift card ame30 ανδρικα ρουχα παπουτσια και αξεσουαρ
31e556825e76d61edd83fcd4196f760e5c36abe9853b2845a97c462be5251c02,cmta1hcfs008kq8iy3f4fpqut,Anastasiasstore,Gift Card | Δωροκάρτα για Γυναικεία Ρούχα & Παπούτσια,NEEDS_REVIEW,fashion,for-her,100,identity-for-her-explicit-v1,anastasiasstore gift card δωροκαρτα για γυναικεια ρουχα παπουτσια
7944456dd66d2ecaae299426e865b3c6a617ce5508af0698864ee51e6230a3bd,cmta1hh4n008yq8iyv5xr0tfi,Babybean,Δωροκάρτα - Babybean - BabyBean.gr by Ammos & Gyali,NEEDS_REVIEW,kids-baby,new-baby,100,identity-new-baby-explicit-v1,babybean δωροκαρτα babybean babybean gr by ammos gyali
9a79e00fbd583f91cfeb6b8e3dcc7d69020444da436fc2fa6f4014da5446a986,cmta1hzcr00ayq8iyu768hevz,E Gatos,Gift Card | Παιδικά παπούτσια & αξεσουάρ,NEEDS_REVIEW,kids-baby,for-kids,100,identity-for-kids-explicit-v1,e gatos gift card παιδικα παπουτσια αξεσουαρ
0b09912e044a65c2638470499b3cb85615d675a298692424ed63f999d5f39a80,cmta1iboe00c2q8iy2ddrj2nq,Gruppobizzaro,"Gift Card – Bizzaro Shop – Ανδρικά Ρούχα, Παπούτσια, ...",NEEDS_REVIEW,fashion,for-him,100,identity-for-him-explicit-v1,gruppobizzaro gift card bizzaro shop ανδρικα ρουχα παπουτσια
2667b21992c5c749e5be7db804e4168075de44908548a29d040b13a73c1fc30b,cmta1imep00daq8iyzwrzkmgp,Kidsfashion,Δωροκάρτα - Η παιδική μόδα είναι εδώ,NEEDS_REVIEW,kids-baby,for-kids,100,identity-for-kids-explicit-v1,kidsfashion δωροκαρτα η παιδικη μοδα ειναι εδω
635beea6f9de532574ab53d3f060af07daead92ce99d26efc624019739d27234,cmta1irrs00e0q8iyv36ci5uc,Makenzy,GIFT CARD - Γυναικεία Ρούχα Θεσσαλονίκη,NEEDS_REVIEW,fashion,for-her,100,identity-for-her-explicit-v1,makenzy gift card γυναικεια ρουχα θεσσαλονικη
6c571dd1d2952a56ccc2f5215d4fbea10a71d95dae3796da343409fdffede2b5,cmta1jh6200h4q8iylaxoti6y,Sounou,δωροκάρτα για παιδικά ρούχα,NEEDS_REVIEW,kids-baby,for-kids,100,identity-for-kids-explicit-v1,sounou δωροκαρτα για παιδικα ρουχα
e52cc15ba68498be8333f7b8c3c871c94bf7b651c84b07319c477e3b23ee261f,cmta1ju7y00ikq8iyhrxmm5tb,Vasilitakidswear,Δωροκάρτα - Vasilita Kidswear - παιδική μόδα,NEEDS_REVIEW,kids-baby,for-kids,100,identity-for-kids-explicit-v1,vasilitakidswear δωροκαρτα vasilita kidswear παιδικη μοδα
5c2db6ca0e3310bd89ed1ab1304aa28faa614ff2e089415be1cc1446fa69b9a7,cmta1kbmg00kmq8iyxir7s4z2,Paidikaianaptixi,Gift Card - Παιδί & Ανάπτυξη - paidikaianaptixi.gr,NEEDS_REVIEW,kids-baby,for-kids,100,identity-for-kids-explicit-v1,paidikaianaptixi gift card παιδι αναπτυξη paidikaianaptixi gr
cbcfdc84bf61eff1114899a6a15be671e98c14d1a753b375c9db8e1ad1c53cc0,cmta1ktba00mmq8iyisltveg8,Laaloo,GIFT CARD - Παιδικά ρούχα για αγόρια & κορίτσια,NEEDS_REVIEW,kids-baby,for-kids,100,identity-for-kids-explicit-v1,laaloo gift card παιδικα ρουχα για αγορια κοριτσια
33849f718027b1215bdb43aef1c76c9fbf51d193bf2b5283b7e27eb064f02d6b,cmta1ni6i00x4q8iyg92fbqce,Mybabylinen,Gift Card - My Baby Linen- Χειροποίητα Βρεφικά Είδη,NEEDS_REVIEW,kids-baby,new-baby,100,identity-new-baby-explicit-v1,mybabylinen gift card my baby linen χειροποιητα βρεφικα ειδη
f9844d01052385d00b7ec0435530715b343bee2de547196af428669aae7b9bfa,cmta422w10008t8iy0kfr63lo,Martin Tailored,Αγοράστε μια Δωροκάρτα - Martin & Co - Ανδρική Ένδυση,NEEDS_REVIEW,fashion,for-him,100,identity-for-him-explicit-v1,martin tailored αγοραστε μια δωροκαρτα martin co ανδρικη ενδυση
ee1559ba3cacaafd30709e7081277a3e29017c65cbcca7ca4c587ff9877a4e80,cmta4y8xk0009sciynr5631pq,Alouette,E-Gift Card for all! - Alouette | Βρεφικά & Παιδικά Ρούχα,VERIFIED,kids-baby,for-kids,100,identity-for-kids-explicit-v1,alouette e gift card for all alouette βρεφικα παιδικα ρουχα
f155870a1f995d3491c016952895ad374da1630f261103e57b1cfa0b3f3994a6,cmta4y8xk0009sciynr5631pq,Alouette,E-Gift Card for all! - Alouette | Βρεφικά & Παιδικά Ρούχα,VERIFIED,kids-baby,new-baby,100,identity-new-baby-explicit-v1,alouette e gift card for all alouette βρεφικα παιδικα ρουχα
