status,giftCardId,merchantName,giftCardTitle,merchantDomain,categorySlug,score,reason,evidence
SAFE,cmt79ijk9001z84iy6v65mv8a,Sneaker10,Sneaker10 Gift Card,sneaker10.gr,fashion,131,,operator-curated-exact-domain:sneaker10.gr | historical-category|data/discovery/mass/merchant-universe.csv:fashion
SAFE,cmt8fb3si000k6kiyq13oidum,Public,Public Gift Card,public.gr,department-stores,125,,operator-curated-exact-domain:public.gr
SAFE,cmta1fdif0023q8iyiy7dqia1,StefanouMarine,ΔΩΡΟΚΑΡΤΑ STEFANOU MARINE,stefanoumarine.net,sports,125,,operator-curated-exact-domain:stefanoumarine.net
SAFE,cmta1fdz30025q8iyjgn4n03r,O-Biotique,"Ελεκτρονική Δωροκάρτα O-Biotique 50,00",obiotique.com,pharmacy,125,,operator-curated-exact-domain:obiotique.com
SAFE,cmta1g1xp004fq8iycs60b0nu,Red Raven Eyewear,Red Raven Eyewear Δωροκάρτα Gift Card,myredraven.com,fashion,125,,operator-curated-exact-domain:myredraven.com
SAFE,cmta1h21j0080q8iy2mxlo3y6,Xxlove,GIFTCARD - XXLove,xxlove.gr,fashion,125,,operator-curated-exact-domain:xxlove.gr
SAFE,cmta1izn900f4q8iyb8ps8p5a,Movelab,Gift Card | Move Lab Koropi,movelab.gr,sports,125,,operator-curated-exact-domain:movelab.gr
SAFE,cmta1j1rt00fcq8iyyrjwj6oi,Mymarket,Δωροεπιταγές My market,mymarket.gr,food-delivery,125,,operator-curated-exact-domain:mymarket.gr
SAFE,cmta1jebk00gsq8iy1xtjtw90,Signature,Ταξιδιωτική δωροεπιταγή : το καλύτερο δώρο!,signature.gr,travel,125,,operator-curated-exact-domain:signature.gr
SAFE,cmta1jfvm00gyq8iy0cpkveho,Skynn,Skynn Gift Card,skynn.gr,beauty,125,,operator-curated-exact-domain:skynn.gr
SAFE,cmta1jh6200h4q8iylaxoti6y,Sounou,δωροκάρτα για παιδικά ρούχα,sounou.gr,kids-baby,125,,operator-curated-exact-domain:sounou.gr
SAFE,cmta1jlnm00hmq8iy6safgwzd,Superstrom,e-Gift Card,superstrom.gr,home,125,,operator-curated-exact-domain:superstrom.gr
SAFE,cmta1jpt400i2q8iyuea4hfjh,Thejacketmaker,Buy E-Gift Card in Greece - The Jacket Maker,thejacketmaker.gr,fashion,125,,operator-curated-exact-domain:thejacketmaker.gr
SAFE,cmta1jqr600i6q8iyy3wz1tsk,Tinytoes,Gift Card | Tiny Toes,tinytoes.gr,kids-baby,125,,operator-curated-exact-domain:tinytoes.gr
SAFE,cmta1jrt400iaq8iymrwg1lq5,Toms,Giftcard - Toms,toms.gr,fashion,125,,operator-curated-exact-domain:toms.gr
SAFE,cmta1jt7300igq8iykn2s4bmc,Urban Nomad,E-GIFT CARD - Urban Nomad,urban-nomad.gr,fashion,125,,operator-curated-exact-domain:urban-nomad.gr
SAFE,cmta1jv6700ioq8iy7ler7qfy,Verandadelvino,Verandadelvino Gift Card,verandadelvino.gr,restaurants,125,,operator-curated-exact-domain:verandadelvino.gr
SAFE,cmta1kbmg00kmq8iyxir7s4z2,Paidikaianaptixi,Gift Card - Παιδί & Ανάπτυξη - paidikaianaptixi.gr,paidikaianaptixi.gr,kids-baby,125,,operator-curated-exact-domain:paidikaianaptixi.gr
SAFE,cmta1kc1z00koq8iy0lgd58lu,Papastavroushops,Δωροκάρτες (Gift Cards) για Αναβάτες,papastavroushops.gr,sports,125,,operator-curated-exact-domain:papastavroushops.gr
SAFE,cmta1kd7p00ksq8iyhrirclhl,Tartare,Gift Card - TARTARE,tartare.gr,restaurants,125,,operator-curated-exact-domain:tartare.gr
SAFE,cmta1kyj500n8q8iyln315obv,Palazzodiscarpe,Δωροκάρτα 150,palazzodiscarpe.gr,fashion,125,,operator-curated-exact-domain:palazzodiscarpe.gr
SAFE,cmta1l0s700ngq8iytuqw9bw3,Pointe,Gift Voucher | Pointe.gr: ηλεκτρονικό κατάστημα ειδών χορού,pointe.gr,fashion,125,,operator-curated-exact-domain:pointe.gr
SAFE,cmta1l31m00nqq8iy3ycqvzn2,Safestep,Δωροκάρτα / Gift Card | Accessories | Safe Step ®,safestep.gr,fashion,125,,operator-curated-exact-domain:safestep.gr
SAFE,cmta1l69r00o2q8iysx3o77ki,Tacticalstore,Δωροκάρτα 50€ Tactical Store – Digital Gift Card - Tacticalstore ...,tacticalstore.gr,sports,125,,operator-curated-exact-domain:tacticalstore.gr
