status,giftCardId,merchantName,giftCardTitle,merchantDomain,categorySlug,score,reason,evidence
SAFE,cmt79ie3d000c84iy2ec5ea06,Cosmos Sport,Cosmos Sport Gift Card,cosmossport.gr,sports,90,,historical-category|data/discovery/mass/merchant-universe.csv:sports | unambiguous-merchant-keyword:sports
SAFE,cmt79iemt000i84iyx81scabo,e-tennis,e-tennis Gift Card,e-tennis.gr,sports,90,,historical-category|data/discovery/mass/merchant-universe.csv:sports | unambiguous-merchant-keyword:sports
SAFE,cmt79igv3001684iyrqjuar1j,Pharm24,Pharm24 Gift Card,pharm24.gr,pharmacy,90,,historical-category|data/discovery/mass/merchant-universe.csv:pharmacy | unambiguous-merchant-keyword:pharmacy
SAFE,cmt8gzxc1000614iysxzaqmvz,Zakcret,Zakcret Gift Card,zakcret.gr,sports,106,,merchant-discovery-scan:sports | historical-category|data/discovery/mass/merchant-universe.csv:sports
SAFE,cmt8helgp0001a8iy47hrjge7,Celestino,Celestino Gift Card,celestino.gr,fashion,106,,merchant-discovery-scan:fashion | historical-category|data/discovery/mass/merchant-universe.csv:fashion
SAFE,cmt8hemvv0006a8iygh01eja0,Funky Buddha,Funky Buddha Gift Card,funky-buddha.com,fashion,106,,merchant-discovery-scan:fashion | historical-category|data/discovery/mass/merchant-universe.csv:fashion
SAFE,cmt8henle000ba8iyo0c9qq77,Galerie de Beauté,Galerie de Beauté Gift Card,galeriedebeaute.gr,beauty,106,,merchant-discovery-scan:beauty | historical-category|data/discovery/mass/merchant-universe.csv:beauty
SAFE,cmt8hesz5000ga8iykmbj9m8y,Puma Greece,Puma Greece Gift Card,puma.com,fashion,106,,merchant-discovery-scan:fashion | historical-category|data/discovery/mass/merchant-universe.csv:fashion
SAFE,cmt8hp8oi0001pgiybmxi7lqx,DPAM,DPAM Gift Card,dpam.gr,kids-baby,106,,merchant-discovery-scan:kids | historical-category|data/discovery/mass/merchant-universe.csv:kids
SAFE,cmt8hpbs90006pgiynvd5ktbb,Ianos,Ianos Gift Card,ianos.gr,books,106,,merchant-discovery-scan:books | historical-category|data/discovery/mass/merchant-universe.csv:books
SAFE,cmt8l5oxi00015giyiu55n5ry,Airbnb,Airbnb Gift Card,airbnb.com,travel,106,,merchant-discovery-scan:travel | historical-category|data/discovery/mass/merchant-universe.csv:travel
SAFE,cmt8l5pog00065giyds4zmg9d,Answear Greece,Answear Greece Gift Card,answear.gr,fashion,106,,merchant-discovery-scan:fashion | historical-category|data/discovery/mass/merchant-universe.csv:fashion
