status,giftCardId,merchantName,giftCardTitle,merchantDomain,categorySlug,score,reason,evidence
SAFE,cmta1fnrb0031q8iyg9sqt1g1,Niyamas-Yoga,Gift Card Niyamas - Ηλεκτρονική Δωροκάρτα 20,niyamas-yoga.com,spa-wellness,125,,operator-curated-exact-domain:niyamas-yoga.com
SAFE,cmta1hrkk00a2q8iy903vqpyl,Cavadelvino,Cavadelvino Gift Card,cavadelvino.gr,food-delivery,125,,operator-curated-exact-domain:cavadelvino.gr
SAFE,cmta1j5b400fqq8iyyo1vs0cc,Nextsystems,Δωροκάρτα Next Systems,nextsystems.gr,technology,125,,operator-curated-exact-domain:nextsystems.gr
SAFE,cmta1jnvb00huq8iy2rfxodu8,Techframe,Δωροκάρτα - TechFrame,techframe.gr,technology,125,,operator-curated-exact-domain:techframe.gr
SAFE,cmta1k33j00jmq8iy7dosx0mg,Wine24shop,Gift Card 20 euro - Wine24shop,wine24shop.gr,food-delivery,125,,operator-curated-exact-domain:wine24shop.gr
SAFE,cmta1k5f500jwq8iyplvt7fkz,Annamariamazaraki,Gift Card 50 euro. Give the gift of love to your beloved one ...,annamariamazaraki.gr,jewelry-watches,125,,operator-curated-exact-domain:annamariamazaraki.gr
SAFE,cmta1k78p00k4q8iyynk38nc7,Electrocrete,Στείλε την αγάπη σου και μια... δωροκάρτα,electrocrete.gr,technology,125,,operator-curated-exact-domain:electrocrete.gr
SAFE,cmta1kdpl00kuq8iyzx8o451e,Thewinezoo,Gift Card | Χαρίστε ένα ξεχωριστό δώρο από το The ...,thewinezoo.gr,food-delivery,125,,operator-curated-exact-domain:thewinezoo.gr
SAFE,cmta1kga700l4q8iynzxz5thg,Athinatzika,"Gift Card - Athina Tzika | Yoga, Pilates & Ολιστικές Θεραπείες",athinatzika.gr,spa-wellness,125,,operator-curated-exact-domain:athinatzika.gr
SAFE,cmta1liss00pgq8iyxm7nct5f,Instyleshop,Instyleshop Gift Card,instyleshop.gr,fashion,125,,operator-curated-exact-domain:instyleshop.gr
SAFE,cmta1m3z100rqq8iy4inaqyfz,Theplants,Gift Card - The Plants - Eshop - Φυτά εσωτερικού και ...,theplants.gr,home,125,,operator-curated-exact-domain:theplants.gr
SAFE,cmta1m5td00ryq8iyiwqmzlza,Cakeshop,Δωροκάρτα | Cakeshop Thessaloniki,cakeshop.gr,food-delivery,125,,operator-curated-exact-domain:cakeshop.gr
SAFE,cmta1mbsx00skq8iyktw9zbcx,Olive Era,Olive Era Gift Card,olive-era.gr,food-delivery,125,,operator-curated-exact-domain:olive-era.gr
SAFE,cmta1nlfj00xgq8iyfl7238ki,Philsgranola,Philsgranola Gift Card,philsgranola.gr,food-delivery,125,,operator-curated-exact-domain:philsgranola.gr
SAFE,cmta4yesu000xsciyi9f6b632,Dariayoga,Yoga Gift Card: Χάρισε Ευεξία & Εμπειρίες - Daria Yoga,dariayoga.gr,spa-wellness,125,,operator-curated-exact-domain:dariayoga.gr
SAFE,cmta4yw6q002xsciynztac1t7,Msystems,Msystems Δωροκάρτα 10e | Δωροκάρτες,msystems.gr,technology,125,,operator-curated-exact-domain:msystems.gr
SAFE,cmta4z8wh004dsciyp2mmpzw7,Wildsouls,Gift Card - Wild Souls,wildsouls.gr,food-delivery,125,,operator-curated-exact-domain:wildsouls.gr
SAFE,cmta5nucz001j54iyk2uep1aq,Myprotein,"Myprotein Gift Voucher, £50",myprotein.gr,sports,125,,operator-curated-exact-domain:myprotein.gr
SAFE,cmtb6ukrk00113giy3b51tyv1,Coffee Lovers,Coffee Lovers Gift Card,coffeelovers.gr,food-delivery,125,,operator-curated-exact-domain:coffeelovers.gr
SAFE,cmtb6uox1001m3giybq8qyts9,Francesca,Francesca Gift Card,francesca.gr,jewelry-watches,125,,operator-curated-exact-domain:francesca.gr
