status,giftCardId,merchantName,giftCardTitle,merchantDomain,categorySlug,score,reason,evidence
REVIEW,cmt79igbu001084iy7fkqj7p6,Lentiamo,Lentiamo Gift Card,lentiamo.gr,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmt8gzro7000114iywjzh5sfg,JD Sports Greece,JD Sports Greece Gift Card,jdsports.gr,fashion:106 | sports:84,,AMBIGUOUS_CATEGORY_EVIDENCE,merchant-discovery-scan:fashion | historical-category|data/discovery/mass/merchant-universe.csv:fashion | unambiguous-merchant-keyword:sports
REVIEW,cmta1ev910005q8iyv5m8ybru,Lidl Greece,Δωροκάρτα Lidl,lidl-hellas.gr,restaurants:78,,AMBIGUOUS_CATEGORY_EVIDENCE,historical-category|data/discovery/mass/merchant-universe.csv:food_restaurants
REVIEW,cmta1f09t000nq8iyx3uehika,Adagio,Adagio Gift Voucher 200 euro,adagio.gr,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1f16s000rq8iy7vke82nt,John-Andy,JOHN-ANDY Δωροεπιταγή 20 Ευρώ,john-andy.com,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1f1n7000tq8iylhz55ztt,Msba Events,Msba Events Gift Card,msba-events.gr,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1f2ys000zq8iy7gecoj9o,Papachatzis,Papachatzis Gift Card,papachatzis.com,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1f3cy0011q8iy2c3kuujw,Perdikis,ΕΥΧΕΤΗΡΙΑ ΚΑΡΤΑ ΓΙΑ ΧΡΗΜΑΤΑ (ΜΠΙΛΙΕΤΑΚΙ) PICTURA ΟΥΡΑΝΙΟ ΤΟΞΟ 19926,perdikis.gr,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1f4810013q8iymlrt4857,P Kontopoulos,Δωροκάρτα P Kontopoulos,pkontopoulos.com,,,NO_CATEGORY_EVIDENCE,
REVIEW,cmta1f52d0015q8iyugckloir,Mar & Mar,Mar & Mar Gift Card,marandmar.gr,,,NO_CATEGORY_EVIDENCE,
