status,giftCardId,merchantName,giftCardTitle,categorySlug,score,reason,evidence,candidates,officialUrl,websiteUrl
SAFE,cmta4y8ik0007sciym0lmxv86,Alchemy,alchemy Gift Card,sports,112,,merchant-page:sports-outdoor | page-excerpt:sports-outdoor,sports:112 | spa-wellness:77 | technology:69 | experiences:62,https://alchemy.gr/products/alchemy-gift-card,https://alchemy.gr
SAFE,cmta1lglx00p8q8iyyx9gpvxm,Aleyacreations,Aleyacreations Gift Card,home,107,,merchant-page:home-living | page-excerpt:home-living,home:107 | jewelry-watches:79,https://www.aleyacreations.gr/product-category/gift-card/,https://aleyacreations.gr
SAFE,cmta1k4h700jsq8iya7wu9oi9,Alpamayopro,Alpamayopro Gift Card,sports,112,,merchant-page:sports-outdoor | page-excerpt:sports-outdoor,sports:112,https://www.alpamayopro.gr/giftcard.html,https://alpamayopro.gr
SAFE,cmta1mgb500t2q8iyybmggkym,Andreoueshop,Andreoueshop Gift Card,sports,112,,merchant-page:sports-outdoor | page-excerpt:sports-outdoor,sports:112 | fashion:70,https://andreoueshop.gr/product/gift-card/,https://andreoueshop.gr
SAFE,cmtb7865x006edkiy01ch68q5,Archives - Φωτιστικά Κουρτάκης,gift card Archives - Φωτιστικά Κουρτάκης,home,112,,official-page:home-living | merchant-page:home-living | page-excerpt:home-living,home:112,https://kourtakis-lighting.gr/product-category/gift-card/,https://kourtakis-lighting.gr
SAFE,cmta1mhwp00t8q8iyp2up25jv,Athenscentre,Gift voucher,education,125,,official-page:education | merchant-page:education | page-excerpt:education,education:125 | experiences:107 | books:68,https://athenscentre.gr/,https://athenscentre.gr
SAFE,cmtb6uijf000p3giy2w2ofsxh,Black Swan LBS,Black Swan LBS Gift Card,beauty,119,,official-page:beauty | page-excerpt:beauty,beauty:119,https://www.blackswan-lbs.gr/index.php?route=product/product&product_id=849,https://blackswan-lbs.gr
SAFE,cmtb76zcu000bdkiy6hek2eml,Blue Blue,Blue Blue Gift Card,fashion,110,,merchant-page:fashion | page-excerpt:fashion,fashion:110,https://blueblue.gr/shop/gift-cards,https://blueblue.gr
SAFE,cmtb77ta1004ldkiysbs31g9p,Bmwpap,Αγοράστε μία Δωροεπιταγή,experiences,107,,official-page:experience | merchant-page:experience | page-excerpt:experience,experiences:107 | automotive:84 | fashion:70 | books:68,https://www.bmwpap.gr/gift-voucher/,https://bmwpap.gr
SAFE,cmtb6ujnj000v3giyddwi3q5a,Cafe Manteio - Ψυχικοί Σύμβουλοι,Δωροκάρτα - Cafe Manteio - Ψυχικοί Σύμβουλοι,restaurants,114,,identity:restaurant | official-page:restaurant | merchant-page:restaurant | page-excerpt:restaurant,restaurants:114,https://cafemanteio.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,https://cafemanteio.gr
SAFE,cmta1mo4u00tuq8iy0hphimg0,Carbon,CFC GIFT CARD | carbonfibercustoms,technology,109,,merchant-page:technology | page-excerpt:technology,technology:109 | restaurants:66 | experiences:62,https://www.carbon.gr/gift-card,https://carbon.gr
SAFE,cmtb770gt000hdkiyjze93gkc,Chaniapetworld,Δωροκάρτα,pets,131,,official-page:pet-industry | merchant-page:pet-industry | page-excerpt:pet-industry,pets:131,https://www.chaniapetworld.gr/product/dorokarta/,https://chaniapetworld.gr
