status,giftCardId,merchantName,giftCardTitle,categorySlug,score,reason,evidence,candidates,officialUrl,websiteUrl
SAFE,cmta5nkcq000154iymuc26j35,Access Shop,Gift Card - Access Shop,fashion,153,,operator-reviewed-official-metadata:access-shop.gr | page-excerpt:fashion,fashion:153 | experiences:62,https://access-shop.gr/en/gift-card/,https://access-shop.gr
SAFE,cmta4y81w0005sciybyesa197,Agigma,Το Τέλειο Last-Minute Δώρο στο Ρέθυμνο – Agigma Gift Card,spa-wellness,156,,operator-reviewed-official-metadata:agigma.gr | official-page:spa-wellness | merchant-page:spa-wellness | page-excerpt:spa-wellness | official-page:spa-wellness-el | merchant-page:spa-wellness-el | page-excerpt:spa-wellness-el,spa-wellness:156 | health-medical:129 | experiences:110 | books:68 | hotels:65,https://agigma.gr/el/last-minute-doro-rethymno-gift-card/,https://agigma.gr
SAFE,cmtb770up000jdkiys2xgzyjl,Archives,GIft Cards Archives,fashion,156,,operator-reviewed-official-metadata:cicado.gr | merchant-page:fashion | page-excerpt:fashion | merchant-page:fashion-el,fashion:156 | experiences:107 | books:68,https://cicado.gr/en/product-category/gift-cards/,https://cicado.gr
SAFE,cmtb6ugoe000f3giyxjtw5z05,Art Center,Δωροεπιταγές,arts-crafts,153,,operator-reviewed-official-metadata:art-center.com.gr | page-excerpt:arts-crafts-el,arts-crafts:153 | jewelry-watches:79 | beauty:74 | gaming:73 | books:68,https://www.art-center.com.gr/categories/4565/dora-doroepitages-/,https://art-center.com.gr
SAFE,cmta1hfcn008sq8iy6i2fe0bp,Artcolour,Art & Colour Gift Card - €200,arts-crafts,150,,operator-reviewed-official-metadata:artcolour.gr,arts-crafts:150,https://artcolour.gr/,https://artcolour.gr
SAFE,cmta1gi8v0060q8iyfp9c7xcp,Atenea,eGift Card - Atenea,beauty,156,,operator-reviewed-official-metadata:atenea.gr | merchant-page:beauty | page-excerpt:beauty | page-excerpt:beauty-el,beauty:156 | fashion:110 | experiences:102 | spa-wellness:77,https://atenea.gr/products/gift-card,https://atenea.gr
SAFE,cmta1mkio00tgq8iyvbnu4lyr,Badayestudio,Badayestudio Gift Card,fashion,150,,operator-reviewed-official-metadata:badayestudio.gr,fashion:150,https://badayestudio.gr/product/gift-card/,https://badayestudio.gr
SAFE,cmtb77s4y004fdkiyo03xtcof,Badila,Badila Gift Card,fashion,153,,operator-reviewed-official-metadata:badila.gr | page-excerpt:fashion,fashion:153,https://www.badila.gr/en/giftcard/,https://badila.gr
SAFE,cmta4y9db000bsciyg566bd57,Barbopoulos,"Gift card - Barbopoulos store, Chania",fashion,156,,operator-reviewed-official-metadata:barbopoulos.gr | page-excerpt:fashion | page-excerpt:fashion-el,fashion:156,https://www.barbopoulos.gr/product/gift-card-barbopoulos/?srsltid=AfmBOorAqLtZNbTUv_YfKZX5JtDaTXCaoc6q5YwvyP7gLznz8dBJzqnc,https://barbopoulos.gr
SAFE,cmta1ftak003lq8iyqic1n4x7,Barequip.gr,"Δωροκάρτες 100,00",home,153,,operator-reviewed-official-metadata:barequip.gr | page-excerpt:home-living-el,home:153 | beauty:74 | fashion:70 | food-delivery:66,http://www.barequip.gr/,https://barequip.gr
SAFE,cmta1kioj00leq8iyp66jp838,Bloeur,GIFT CARD BLOEUR,fashion,150,,operator-reviewed-official-metadata:bloeur.gr,fashion:150 | jewelry-watches:79,https://bloeur.gr/product-category/gift-card/,https://bloeur.gr
SAFE,cmta1hp7z009uq8iycpmhq9bh,Bylia,Ηλεκτρονική Δωροκάρτα,kids-baby,150,,operator-reviewed-official-metadata:bylia.gr,kids-baby:150 | jewelry-watches:79 | beauty:74 | fashion:70,https://www.bylia.gr/product/e-gift-card/,https://bylia.gr
SAFE,cmta1hpnc009wq8iyllivlokf,Bymeraki,Δωροκάρτα,kids-baby,153,,operator-reviewed-official-metadata:bymeraki.gr | merchant-page:kids-baby-el | page-excerpt:kids-baby-el,kids-baby:153 | home:107,https://bymeraki.gr/product-category/wps_wgm_giftcard/,https://bymeraki.gr
SAFE,cmta1moos00twq8iy57e9lo7q,Carlamco,Carlamco Gift Card,automotive,153,,operator-reviewed-official-metadata:carlamco.gr | page-excerpt:automotive-el,automotive:153 | technology:72 | home:67,https://www.carlamco.gr/gift-card,https://carlamco.gr
SAFE,cmtb77zz5005ldkiyl90mvph8,Carrot Store,Carrot Store Gift Card,gifts-concept-stores,156,,operator-reviewed-official-metadata:carrotstore.gr | official-page:gift-concept | merchant-page:gift-concept | official-page:gift-concept-el | merchant-page:gift-concept-el | page-excerpt:gift-concept-el,gifts-concept-stores:156 | fashion:110 | home:107,https://carrotstore.gr/gift-cards/150e-gift-card/,https://carrotstore.gr
SAFE,cmta1hs0500a4q8iy6cmwyvew,Cavallo,Cavallo e-gift card - Δωροκάρτα Αξίας 20€,fashion,150,,operator-reviewed-official-metadata:cavallo.gr,fashion:150 | jewelry-watches:79,https://www.cavallo.gr/product/gift-card-100e/,https://cavallo.gr
SAFE,cmta4ycwk000psciyut3q4w1n,Christhellas,Christhellas Gift Card,home,153,,operator-reviewed-official-metadata:christhellas.gr | page-excerpt:home-living,home:153 | jewelry-watches:79 | experiences:62,https://christhellas.gr/product/christhellas-gift-card/?srsltid=AfmBOoq8_KSmhzAMtEMaCOiMRVmIGGmfPtRustVVUh8u2WwdVF_g-FwY,https://christhellas.gr
SAFE,cmtb6uli700153giy75i0msk9,Confetti Gifts,Confetti Gifts Gift Card,gifts-concept-stores,153,,operator-reviewed-official-metadata:confetti-gifts.gr | page-excerpt:gift-concept-el,gifts-concept-stores:153 | arts-crafts:81 | education:80 | spa-wellness:80 | gaming:76,https://confetti-gifts.gr/product/dwrokarta-confetti-gifts/,https://confetti-gifts.gr
