status,giftCardId,merchantName,giftCardTitle,categorySlug,score,reason,evidence,candidates,officialUrl,websiteUrl
SAFE,cmta4y8ik0007sciym0lmxv86,Alchemy,alchemy Gift Card,sports,112,,merchant-page:sports-outdoor | page-excerpt:sports-outdoor,sports:112 | spa-wellness:77 | technology:69 | experiences:62,https://alchemy.gr/products/alchemy-gift-card,https://alchemy.gr
SAFE,cmtb77qi60048dkiyu8khlp3s,Alexandris Stores,Alexandris Stores Gift Card,fashion,113,,page-excerpt:fashion | merchant-page:fashion-el | page-excerpt:fashion-el,fashion:113 | experiences:62,https://alexandrisstores.gr/en/product/valentines-day-gift-card-%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,https://alexandrisstores.gr
SAFE,cmta1lglx00p8q8iyyx9gpvxm,Aleyacreations,Aleyacreations Gift Card,home,110,,merchant-page:home-living | page-excerpt:home-living | merchant-page:home-living-el,home:110 | jewelry-watches:79,https://www.aleyacreations.gr/product-category/gift-card/,https://aleyacreations.gr
SAFE,cmta1ggkw005uq8iy28do8tfm,Alova,MISS KAY E-GIFT CARD,beauty,117,,page-excerpt:beauty | merchant-page:beauty-el | page-excerpt:beauty-el,beauty:117 | spa-wellness:77,https://www.alova.gr/shop/beauty-boxes-gift-sets/e-gift-card/miss-kay-e-gift-card/,https://alova.gr
SAFE,cmta1k4h700jsq8iya7wu9oi9,Alpamayopro,Alpamayopro Gift Card,sports,120,,merchant-page:sports-outdoor | page-excerpt:sports-outdoor | official-page:sports-outdoor-el | page-excerpt:sports-outdoor-el,sports:120 | pharmacy:76 | fashion:70 | home:67,https://www.alpamayopro.gr/giftcard.html,https://alpamayopro.gr
SAFE,cmta1mgb500t2q8iyybmggkym,Andreoueshop,Andreoueshop Gift Card,sports,115,,merchant-page:sports-outdoor | page-excerpt:sports-outdoor | merchant-page:sports-outdoor-el | page-excerpt:sports-outdoor-el,sports:115 | pharmacy:76 | fashion:73 | home:67 | experiences:62,https://andreoueshop.gr/product/gift-card/,https://andreoueshop.gr
SAFE,cmta1hdl9008mq8iy0bgrltgd,Anemos,Anemos Gift Card,home,112,,official-page:home-living-el | merchant-page:home-living-el | page-excerpt:home-living-el,home:112 | kids-baby:78 | gaming:73 | hotels:65,https://anemos.gr/,https://anemos.gr
SAFE,cmta1feem0027q8iy70t8vano,AngryNerd,Δωροκάρτα,gaming,118,,official-page:gaming-el | merchant-page:gaming-el,gaming:118 | experiences:62,https://angrynerd.gr/,https://angrynerd.gr
SAFE,cmtb7865x006edkiy01ch68q5,Archives - Φωτιστικά Κουρτάκης,gift card Archives - Φωτιστικά Κουρτάκης,home,118,,official-page:home-living | merchant-page:home-living | page-excerpt:home-living | identity:home-living-el | official-page:home-living-el | merchant-page:home-living-el | page-excerpt:home-living-el,home:118 | gaming:73,https://kourtakis-lighting.gr/product-category/gift-card/,https://kourtakis-lighting.gr
SAFE,cmta1ghdm005yq8iy044r8ucx,Artmie,Δωροεπιταγή ARTMiE - Το ιδανικό δώρο για κάθε καλλιτέχνη,arts-crafts,126,,official-page:arts-crafts-el | merchant-page:arts-crafts-el | page-excerpt:arts-crafts-el,arts-crafts:126 | jewelry-watches:79 | kids-baby:78 | beauty:74 | gaming:73,https://artmie.gr/,https://artmie.gr
SAFE,cmta1mhwp00t8q8iyp2up25jv,Athenscentre,Gift voucher,education,125,,official-page:education | merchant-page:education | page-excerpt:education,education:125 | experiences:107 | books:68,https://athenscentre.gr/,https://athenscentre.gr
