status,giftCardId,merchantName,giftCardTitle,categorySlug,score,reason,evidence,candidates,officialUrl,websiteUrl
SAFE,cmta1mf5900syq8iyejmu80s9,1art,Gift Cards,home,150,,operator-reviewed-official-metadata:1art.gr,home:150,https://1art.gr/,https://1art.gr
SAFE,cmta1f09t000nq8iyx3uehika,Adagio,Adagio Gift Voucher 200 euro,music,150,,operator-reviewed-official-metadata:adagio.gr,music:150,https://www.adagio.gr/el/,https://adagio.gr
SAFE,cmta1hb5r008iq8iyqvjs32oy,Ammashop,GIFT CARD 100€ - ammashop,fashion,150,,operator-reviewed-official-metadata:ammashop.gr,fashion:150,https://www.ammashop.gr/gift-cards,https://ammashop.gr
SAFE,cmta5nz6o002854iydldfcozj,Archives - Two And A Half - twoandahalf.gr,Gift Card Archives - Two And A Half - twoandahalf.gr,fashion,150,,operator-reviewed-official-metadata:twoandahalf.gr,fashion:150 | jewelry-watches:79 | marketplaces:61,https://www.twoandahalf.gr/product-category/gift-card/,https://twoandahalf.gr
SAFE,cmta5nkqd000354iye66fxcah,Atelie,Atelie Gift Card,books,150,,operator-reviewed-official-metadata:atelie.com.gr,books:150,https://www.atelie.com.gr/178-giftcards,https://atelie.com.gr
SAFE,cmta1kk4900lkq8iyorzj05jc,Celesteshop,Gift Card 50,kids-baby,153,,operator-reviewed-official-metadata:celesteshop.gr | page-excerpt:kids-baby-el,kids-baby:153 | automotive:84 | education:80 | gaming:73 | technology:72,https://celesteshop.gr/c/dwrokarta/,https://celesteshop.gr
SAFE,cmta1mq7900u2q8iy41zkg4cg,Cigarsmoke,Gift Card Αρχεία,tobacco-vaping,150,,operator-reviewed-official-metadata:cigarsmoke.gr,tobacco-vaping:150 | beauty:74 | experiences:62,https://cigarsmoke.gr/el/gift-cards/,https://cigarsmoke.gr
SAFE,cmtb6ul4v00133giyhgnnpf1j,ColorDrop,ColorDrop Gift Card,gifts-concept-stores,150,,operator-reviewed-official-metadata:colordrop.gr,gifts-concept-stores:150 | education:80 | food-delivery:63,https://colordrop.gr/giftcard/,https://colordrop.gr
SAFE,cmtb7718b000ldkiynw5j1q46,Cordella,Δωροκάρτα 500€,marketplaces,150,,operator-reviewed-official-metadata:cordella.gr,marketplaces:150 | hotels:113 | experiences:110 | pets:86 | automotive:84,https://www.cordella.gr/shop/empeiries/taxidia-metakiniseis/xenodoxeia-diamones/dorokarta-500_10995,https://cordella.gr
SAFE,cmta1i6dl00beq8iybqfqttuj,Erero,Erero Gift Card,fashion,150,,operator-reviewed-official-metadata:erero.gr,fashion:150 | jewelry-watches:79,https://erero.gr/,https://erero.gr
SAFE,cmta1lldv00pqq8iyvvgnzsz2,Floky,Gift Card Floky,sports,153,,operator-reviewed-official-metadata:floky.gr | page-excerpt:sports-outdoor-el,sports:153,https://floky.gr/products/gift-card-floky,https://floky.gr
SAFE,cmta1f8o2001lq8iy7sedywm0,Greenpeace,Δωροκάρτα,gifts-concept-stores,150,,operator-reviewed-official-metadata:eshop.greenpeacegreece.org,gifts-concept-stores:150 | books:68,https://eshop.greenpeacegreece.org/product/dwrokarta/,https://eshop.greenpeacegreece.org
SAFE,cmta1icyu00c8q8iytwvndmek,Harmanis,Δωροεπιταγή 300 ευρώ,beauty,150,,operator-reviewed-official-metadata:harmanis.gr,beauty:150,https://harmanis.gr/,https://harmanis.gr
SAFE,cmta1lj9c00piq8iynmfth5h9,Kantarzoglou,€150.00 Gift Card,home,153,,operator-reviewed-official-metadata:kantarzoglou.gr | page-excerpt:home-living-el,home:153 | arts-crafts:81 | hotels:65,https://www.kantarzoglou.gr/el/my-gift-cards/,https://kantarzoglou.gr
SAFE,cmta1najv00waq8iye2j13aza,Lalita,Christmas Gift Card - Lalita,spa-wellness,150,,operator-reviewed-official-metadata:lalita.gr,spa-wellness:150,https://lalita.gr/,https://lalita.gr
SAFE,cmta5nrpi001554iy38lsipa9,Love It,Love.it Gift Card Digital,home,156,,operator-reviewed-official-metadata:love-it.gr | page-excerpt:home-living | page-excerpt:home-living-el,home:156 | books:68 | restaurants:66,https://www.love-it.gr/en/design-product/prid/8281/r/love-it-gift-card-digital?srsltid=AfmBOor7AsdQ_AFodYvX0jyxZK00l9QvefpYawTKuMYoplbS1_PTWrn1,https://love-it.gr
SAFE,cmta1kuab00mqq8iyw8fqsoh4,Luvnroll,Gift Voucher,experiences,153,,operator-reviewed-official-metadata:luvnroll.com | page-excerpt:experience,experiences:153 | fashion:115,https://luvnroll.com/,https://luvnroll.com
SAFE,cmta1ircx00dyq8iygrrclm5b,Maiarea,GIFT CARD-ΔΩΡΟΕΠΙΤΑΓΗ,fashion,153,,operator-reviewed-official-metadata:maiarea.gr | page-excerpt:fashion,fashion:153 | hotels:68 | experiences:62,https://maiarea.gr/product-category/giftcard/,https://maiarea.gr
