"cardId","merchantId","merchantName","title","officialUrl","merchantWebsiteUrl","status","verificationStatus","domain","issues","sameMerchantCardCount","sameDomainCardCount"
"cmtb7hyz3000j04iykde85fi0","cmtb7hyti000i04iyexyvbb7e","& Spa Voucherss","Gift Card & Spa Vouchers | Divani Athens Spa & Thalasso","https://divaniapollonhotel.com/gift-card/","https://divaniapollonhotel.com","ACTIVE","VERIFIED","divaniapollonhotel.com","CLEAN","1","1"
"cmta1mf5900syq8iyejmu80s9","cmta1mezp00sxq8iygc6o45un","1art","Gift Cards","https://1art.gr/","https://1art.gr","ACTIVE","VERIFIED","1art.gr","GENERIC_MERCHANT","1","1"
"cmta4y73l0001sciyd3rsxm5u","cmta4y6x30000sciyi43vftzo","365pharmacy","Gift Cards | 365pharmacy.gr - Online Φαρμακείο","https://365pharmacy.gr/gift-cards.htm","https://365pharmacy.gr","ACTIVE","VERIFIED","365pharmacy.gr","GENERIC_MERCHANT","1","1"
"cmta1lh5d00paq8iy9yb8ljis","cmta1lgz200p9q8iyic8bgel1","4 Sports","4 Sports Gift Card","https://4-sports.gr/gift-card/?v=bf391b589afb","https://4-sports.gr","ACTIVE","NEEDS_REVIEW","4-sports.gr","GENERIC_MERCHANT","1","1"
"cmta1h3ld0084q8iyv47alh4s","cmta1h3dc0083q8iyok0hfncb","4seasons Beauty Institute","Δωροκάρτα - Χαλκίδα","https://www.4seasons-beauty-institute.gr/dorokarta/","https://4seasons-beauty-institute.gr","ACTIVE","NEEDS_REVIEW","4seasons-beauty-institute.gr","GENERIC_MERCHANT","1","1"
"cmtb775vo0019dkiybvv3qv3k","cmtb775q90018dkiyeyw4ozut","5pm","Gift Card - 5pm","https://fivepm.gr/products/gift-card","https://fivepm.gr","ACTIVE","VERIFIED","fivepm.gr","GENERIC_MERCHANT","1","1"
"cmtb6ue1m00013giy0vcuqr01","cmtb6udw300003giywjrb4w57","5star Travel","Gift Voucher","https://www.5star-travel.gr/B137AE32.el.aspx","https://5star-travel.gr","ACTIVE","VERIFIED","5star-travel.gr","GENERIC_MERCHANT","1","1"
"cmt79iczq000184iyn0v8cypj","cmt79icwc000084iyqmpbd9de","AEGEAN","AEGEAN Gift Card","https://el.aegeanair.com/flight-deals/gift-card","https://el.aegeanair.com","ACTIVE","VERIFIED","el.aegeanair.com","CLEAN","1","1"
"cmtb76xdq0001dkiy9sktofns","cmtb76x780000dkiyixlw1gw5","ALDO Greece","Gift Card – ALDO Greece","https://aldoshoes.gr/pages/gift-card","https://aldoshoes.gr","ACTIVE","VERIFIED","aldoshoes.gr","CLEAN","1","1"
"cmtb76xs90003dkiyo4je1mwu","cmtb76xn90002dkiy9b2alpff","ANEMH clothing&fashion items","Δωροκάρτα – ANEMH clothing&fashion items","https://anemifashion.gr/shop/dorokarta/dorokarta/?attribute_gift-card-amount","https://anemifashion.gr","ACTIVE","VERIFIED","anemifashion.gr","CLEAN","1","1"
"cmtb6ueft00033giysa45o8eu","cmtb6uea700023giy45bjoppd","Abajourmonamour","Gift cards","https://www.abajourmonamour.gr/en/product-category/dorokartes/","https://abajourmonamour.gr","ACTIVE","VERIFIED","abajourmonamour.gr","CLEAN","1","1"
"cmtb62f35000194iyb29w1nw8","cmtb62exh000094iy63k6h0wp","Absolutemassageandspa","Absolutemassageandspa Gift Card","https://absolutemassageandspa.gr/product/gift-card/","https://absolutemassageandspa.gr","ACTIVE","VERIFIED","absolutemassageandspa.gr","CLEAN","1","1"
"cmt8o9lfb000130iysqk7vztw","cmt8o9l84000030iymso77cud","Access Fashion","Access Fashion Gift Card","https://www.accessfashion.gr/gift-card-100","https://www.accessfashion.gr","ACTIVE","VERIFIED","accessfashion.gr","OFFICIAL_URL_TOO_SPECIFIC","1","1"
"cmta5nkcq000154iymuc26j35","cmta5nk6i000054iyo59lds7z","Access Shop","Gift Card - Access Shop","https://access-shop.gr/en/gift-card/","https://access-shop.gr","ACTIVE","VERIFIED","access-shop.gr","CLEAN","1","1"
"cmta1h4240086q8iyy52pw87m","cmta1h3wa0085q8iyn1rdkd0h","Active Fashion","Active Fashion Gift Card","https://active-fashion.gr/gift-cards/","https://active-fashion.gr","ACTIVE","NEEDS_REVIEW","active-fashion.gr","CLEAN","1","1"
"cmta1f09t000nq8iyx3uehika","cmta1f03n000mq8iyzxhzrwvc","Adagio","Adagio Gift Voucher 200 euro","https://www.adagio.gr/el/","https://adagio.gr","ACTIVE","VERIFIED","adagio.gr","CARD_TITLE_POLLUTED","1","1"
"cmta1flx2002tq8iyfbzqbeb7","cmta1flpz002sq8iyj9fu06aj","Adidas","E-GIFT CARD","https://www.adidas.gr/","https://adidas.gr","ACTIVE","VERIFIED","adidas.gr","CLEAN","1","1"
"cmta1h66q0088q8iylx3c16x3","cmta1h4v30087q8iyy554j84c","Adore Beauty","Adore Beauty Gift Card","https://adore-beauty.gr/product/gift-card/","https://adore-beauty.gr","ACTIVE","NEEDS_REVIEW","adore-beauty.gr","CLEAN","1","1"
"cmtb6uetn00053giyiewpxirq","cmtb6ueoq00043giye4hg3ri6","Adventure Junkies","Adventure Junkies Gift Card","https://www.adventurejunkies.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-90e/","https://adventurejunkies.gr","ACTIVE","VERIFIED","adventurejunkies.gr","CLEAN","1","1"
