"bucket","merchantName","title","officialUrl","merchantWebsiteUrl","proposedMerchant","proposedTitle","proposedGeneralUrl","reason","sameDomainCount"
"AUTO_RECOVER_MERCHANT","5pm","Gift Card - 5pm","https://fivepm.gr/products/gift-card","https://fivepm.gr","Fivepm","Fivepm Gift Card","","Merchant name is generic/polluted and brand is recoverable from domain.","1"
"TITLE_ONLY_CLEANUP","Adagio","Adagio Gift Voucher 200 euro","https://www.adagio.gr/el/","https://adagio.gr","Adagio","Adagio Gift Card","","Merchant looks valid; title is amount/format polluted.","1"
"TITLE_ONLY_CLEANUP","Agathou","Δωροεπιταγη 70€ - Agathou Beauty & Spa","https://www.agathou.gr/product-category/%ce%b4%cf%89%cf%81%ce%bf%ce%ba%ce%b1%cf%81%cf%84%ce%b5%cf%83/","https://agathou.gr","Agathou","Agathou Gift Card","","Merchant looks valid; title is amount/format polluted.","1"
"TITLE_ONLY_CLEANUP","Ammashop","GIFT CARD 100€ - ammashop","https://www.ammashop.gr/gift-cards","https://ammashop.gr","Ammashop","Ammashop Gift Card","","Merchant looks valid; title is amount/format polluted.","1"
"TITLE_ONLY_CLEANUP","Amourianosoptics","GIFT CARD 200€","https://amourianosoptics.gr/en/accessories-html/gift-cards.html","https://amourianosoptics.gr","Amourianosoptics","Amourianosoptics Gift Card","","Merchant looks valid; title is amount/format polluted.","1"
"TITLE_ONLY_CLEANUP","Annamariamazaraki","Gift Card 50 euro. Give the gift of love to your beloved one ...","https://annamariamazaraki.gr/","https://annamariamazaraki.gr","Annamariamazaraki","Annamariamazaraki Gift Card","","Merchant looks valid; title is amount/format polluted.","1"
"TITLE_ONLY_CLEANUP","Artcolour","Art & Colour Gift Card - €200","https://artcolour.gr/","https://artcolour.gr","Artcolour","Artcolour Gift Card","","Merchant looks valid; title is amount/format polluted.","1"
"TITLE_ONLY_CLEANUP","Bbq","Δωροκάρτα αξίας 1.000€","https://bbq.gr/gift-cards","https://bbq.gr","Bbq","Bbq Gift Card","","Merchant looks valid; title is amount/format polluted.","1"
"TITLE_ONLY_CLEANUP","Beauty Case","Gift Card - 40€ - Beauty Case","https://www.beauty-case.gr/product-category/giftcard/","https://beauty-case.gr","Beauty Case","Beauty Case Gift Card","","Merchant looks valid; title is amount/format polluted.","1"
"TITLE_ONLY_CLEANUP","Beautyprincess","Gift Card 50€ | BeautyPrincess – Δώρο Ομορφιάς","https://beautyprincess.gr/gifts/gift-cards","https://beautyprincess.gr","Beautyprincess","Beautyprincess Gift Card","","Merchant looks valid; title is amount/format polluted.","1"
"TITLE_ONLY_CLEANUP","Candlejuice","Δωροκάρτα CandleJuice Gift Card 100€","https://candlejuice.gr/product/dorokarta-candlejuice-gift-card-100e/","https://candlejuice.gr","Candlejuice","Candlejuice Gift Card","","Merchant looks valid; title is amount/format polluted.","1"
"TITLE_ONLY_CLEANUP","Cavallo","Cavallo e-gift card - Δωροκάρτα Αξίας 20€","https://www.cavallo.gr/product/gift-card-100e/","https://cavallo.gr","Cavallo","Cavallo Gift Card","","Merchant looks valid; title is amount/format polluted.","1"
