kind,type,actionId,cardId,merchantId,merchantName,title,expected,value,officialUrl,issues,reason,evidence,structuredAmounts,relationCounts
REVIEW,REVIEW,,cmta1f09t000nq8iyx3uehika,cmta1f03n000mq8iyzxhzrwvc,Adagio,Adagio Gift Voucher 200 euro,,,https://www.adagio.gr/el/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":1,""mediaAssets"":0,""clicks"":3,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1gg4h005sq8iyehntb76m,cmta1gfy3005rq8iyb6n5rmq0,Agathou,Agathou Beauty & Spa Δωροεπιταγή 70€,,,https://www.agathou.gr/product-category/%ce%b4%cf%89%cf%81%ce%bf%ce%ba%ce%b1%cf%81%cf%84%ce%b5%cf%83/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":3,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1hb5r008iq8iyqvjs32oy,cmta1hayg008hq8iyxn9dz5cg,Ammashop,GIFT CARD 100€ - ammashop,,,https://www.ammashop.gr/gift-cards,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":2,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1lpfx00q6q8iyf11yv5pi,cmta1lp9t00q5q8iyz374e7wj,Amourianosoptics,Amourianos Optics Gift Card 200€,,,https://amourianosoptics.gr/en/accessories-html/gift-cards.html,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":2,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1k5f500jwq8iyplvt7fkz,cmta1k58l00jvq8iyujdntq2y,Annamariamazaraki,Gift Card 50 euro. Give the gift of love to your beloved one ...,,,https://annamariamazaraki.gr/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":1,""mediaAssets"":0,""clicks"":5,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1hgn5008wq8iy1ksubp16,cmta1hgfm008vq8iy2pi8rd5p,Avvento Shoes,Avvento Shoes Gift Card 50€,,,https://www.avvento-shoes.gr/avvento/gift-card-50eu-gift-card-50eu-101,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":3,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1fbd9001xq8iy16jadarj,cmta1fb6o001wq8iy33a59phq,Babydream,BABYDREAM ΔΩΡΟΕΠΙΤΑΓΗ 300,,,https://www.babydream.gr/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":1,""mediaAssets"":0,""clicks"":3,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1fjhs002nq8iyk0isu1fk,cmta1fjbc002mq8iyuv5gz856,Bonsai Home,Bonsai Home Δωροκάρτα 10€,,,https://bonsaihome.gr/%ce%b4%cf%89%cf%81%ce%bf%ce%ba%ce%b1%cf%81%cf%84%ce%b1/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":3,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1foot0035q8iyj3zj3bf1,cmta1foi10034q8iys3xdtw6v,Chicbee,Chicbee Δωροκάρτα 20€,,,https://chicbee.gr/product-category/dorokartes/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":2,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmtb7718b000ldkiynw5j1q46,cmtb77130000kdkiy8nzwbibh,Cordella,Cordella Δωροκάρτα 500€,,,https://www.cordella.gr/shop/vendor/cordella,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":3,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1mtta00ugq8iy0fpw7nra,cmta1mtmv00ufq8iy7t79x1wg,Dalis,Dalis Gift Card 20€,,,https://dalis.gr/product-category/gift-cards/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":3,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1hvnc00aiq8iy7f43du8p,cmta1hv0400ahq8iy7wxjbo01,Dbsounds,e-Gift Card (Hλεκτρονική Δωροκάρτα) 500€,,,https://dbsounds.gr/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":1,""mediaAssets"":0,""clicks"":3,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
