kind,type,actionId,cardId,merchantId,merchantName,title,expected,value,officialUrl,issues,reason,evidence,structuredAmounts,relationCounts
REVIEW,REVIEW,,cmta1f09t000nq8iyx3uehika,cmta1f03n000mq8iyzxhzrwvc,Adagio,Adagio Gift Voucher 200 euro,,,https://www.adagio.gr/el/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmtb6uetn00053giyiewpxirq,cmtb6ueoq00043giye4hg3ri6,Adventure Junkies,Adventure Junkies Gift Card,,,https://www.adventurejunkies.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-90e/,DENOMINATION_SPECIFIC_URL,URL gift-card segment contains an explicit currency amount (90). URL remains unchanged until its parent is independently validated.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1k3kn00joq8iyvt4mz4a4,cmta1k3e400jnq8iyfrp6th99,Afroditesbeaute,Gift card 50,,,https://afroditesbeaute.gr/product/gift-card-50e/,DENOMINATION_SPECIFIC_URL|TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values. URL gift-card segment contains an explicit currency amount (50). URL remains unchanged until its parent is independently validated.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1gg4h005sq8iyehntb76m,cmta1gfy3005rq8iyb6n5rmq0,Agathou,Δωροεπιταγη 70€ - Agathou Beauty & Spa,,,https://www.agathou.gr/product-category/%ce%b4%cf%89%cf%81%ce%bf%ce%ba%ce%b1%cf%81%cf%84%ce%b5%cf%83/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1hb5r008iq8iyqvjs32oy,cmta1hayg008hq8iyxn9dz5cg,Ammashop,GIFT CARD 100€ - ammashop,,,https://www.ammashop.gr/gift-cards,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1lpfx00q6q8iyf11yv5pi,cmta1lp9t00q5q8iyz374e7wj,Amourianosoptics,GIFT CARD 200€,,,https://amourianosoptics.gr/en/accessories-html/gift-cards.html,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1k5f500jwq8iyplvt7fkz,cmta1k58l00jvq8iyujdntq2y,Annamariamazaraki,Gift Card 50 euro. Give the gift of love to your beloved one ...,,,https://annamariamazaraki.gr/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1ftsh003nq8iyxswky70y,cmta1ftm4003mq8iyn7wu2dpi,ApparelStores,e-Gift Card - 30.00,,,https://www.apparelstores.gr/products/e-gift-card,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1hfcn008sq8iy6i2fe0bp,cmta1hf65008rq8iyfh7t6wpa,Artcolour,Art & Colour Gift Card - €200,,,https://artcolour.gr/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1fi60002hq8iyf9s9le0u,cmta1fhz7002gq8iyyert5tbx,Astrongameclub,Nintendo eShop 15 EUR,,,https://www.astrongameclub.gr/gift-card/,THIRD_PARTY_CARD,"Title references nintendo, which is not supported by the merchant identity; title was not rewritten.",,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1hgn5008wq8iy1ksubp16,cmta1hgfm008vq8iy2pi8rd5p,Avvento Shoes,GIFT CARD 50,,,https://www.avvento-shoes.gr/avvento/gift-card-100eu-gift-card-100eu-101,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1fbd9001xq8iy16jadarj,cmta1fb6o001wq8iy33a59phq,Babydream,BABYDREAM ΔΩΡΟΕΠΙΤΑΓΗ 300,,,https://www.babydream.gr/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1hiz30092q8iyqu6sq314,cmta1hik80091q8iy7tmtpbi6,Bbq,Δωροκάρτα αξίας 1.000€,,,https://bbq.gr/gift-cards,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
