kind,status,cardId,merchantId,merchantName,title,expectedUrl,value,reasons,evidence
ACTION,SAFE,cmtb6uetn00053giyiewpxirq,cmtb6ueoq00043giye4hg3ri6,Adventure Junkies,,https://www.adventurejunkies.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-90e/,https://www.adventurejunkies.gr/product-category/giftcards/,,Same official merchant domain.|Validated general page identity: Δωροκάρτες Αρχεία - Adventure Junkies | Ride - Hike - Camp|General page exposes 12 denomination-specific gift-card links.
ACTION,SAFE,cmta1k3kn00joq8iyvt4mz4a4,cmta1k3e400jnq8iyfrp6th99,Afroditesbeaute,,https://afroditesbeaute.gr/product/gift-card-50e/,https://afroditesbeaute.gr/product-category/%ce%b4%cf%89%cf%81%ce%bf%ce%ba%ce%b1%cf%81%cf%84%ce%b1/,,Same official merchant domain.|Validated general page identity: Δωροκάρτα | Afrodite's Beaute|General page exposes 2 denomination-specific gift-card links.
ACTION,SAFE,cmta1fjhs002nq8iyk0isu1fk,cmta1fjbc002mq8iyuv5gz856,Bonsai Home,,https://bonsaihome.gr/product/%ce%b4%cf%89%cf%81%ce%bf%ce%ba%ce%b1%cf%81%cf%84%ce%b1-%cf%84%cf%89%ce%bd-10e/,https://bonsaihome.gr/%ce%b4%cf%89%cf%81%ce%bf%ce%ba%ce%b1%cf%81%cf%84%ce%b1/,,Same official merchant domain.|Validated general page identity: ΔΩΡΟΚΑΡΤΑ - Bonsai Home|General page exposes 4 denomination-specific gift-card links.
ACTION,SAFE,cmta1hs0500a4q8iy6cmwyvew,cmta1hru700a3q8iy6vn9whln,Cavallo,,https://www.cavallo.gr/product/gift-card-100e/,https://www.cavallo.gr/product-tag/gift-card/,,Same official merchant domain.|Validated general page identity: GIFT CARD - Cavallo|General page exposes 3 denomination-specific gift-card links.
ACTION,SAFE,cmtb7718b000ldkiynw5j1q46,cmtb77130000kdkiy8nzwbibh,Cordella,,https://www.cordella.gr/shop/empeiries/taxidia-metakiniseis/xenodoxeia-diamones/dorokarta-500_10995,https://www.cordella.gr/dorokartes,,Same official merchant domain.|Validated general page identity: Δωροκάρτες|General page exposes 0 denomination-specific gift-card links.
ACTION,SAFE,cmtb774ej0011dkiy2n93voje,cmtb7749h0010dkiy4q022h9a,Fagotto Books,,https://fagottobooks.gr/en/6005-dorokarta-axias-40-eyro.html,https://fagottobooks.gr/en/percussion-ekpaideytiko-yliko/dorokartes/,,Same official merchant domain.|Validated general page identity: Gift cards - Percussion & educational material - Fagotto Books|General page exposes 10 denomination-specific gift-card links.
ACTION,SAFE,cmta1kqbn00maq8iyrbgsvpn7,cmta1kq4t00m9q8iynfm2daqb,Hobbylobby Yarns,,https://www.hobbylobby-yarns.gr/product/doroepitagi-100e/,https://www.hobbylobby-yarns.gr/product-category/doroepitages/,,Same official merchant domain.|Validated general page identity: Δωροεπιταγές - www.hobbylobby-yarns.gr|General page exposes 4 denomination-specific gift-card links.
ACTION,SAFE,cmtb779he001rdkiycol4bpk0,cmtb779c5001qdkiy6oykrbp5,Ioannou Cosmetics,,https://www.ioannou-cosmetics.gr/shop/dwrokartes/dwrokarta-50-e/,https://www.ioannou-cosmetics.gr/c/dwrokartes/,,Same official merchant domain.|Validated general page identity: Δωροκάρτες - Ioannou Cosmetics|General page exposes 6 denomination-specific gift-card links.
ACTION,SAFE,cmta1inkb00dgq8iyu0pfa6d9,cmta1ineu00dfq8iyw5mpx7lq,Lamillou,,https://lamillou.gr/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD/gift-card-100e/,https://lamillou.gr/shop/dorokartes/,,Same official merchant domain.|Validated general page identity: Δωροκάρτα | Δωροεπιταγή | Gift Cards La Millou|General page exposes 4 denomination-specific gift-card links.
ACTION,SAFE,cmtb77c840025dkiy8nltursd,cmtb77c2z0024dkiyyehncw02,Melissinos Sandals,,http://www.melissinos-sandals.gr/giftvouchers/gift-card-55-detail,http://www.melissinos-sandals.gr/giftvouchers,,Same official merchant domain.|Validated general page identity: GIFT VOUCHERS|General page exposes 6 denomination-specific gift-card links.
