bucket,merchantId,merchantName,giftCardId,sourceUrl,method,schemaTypes,label,streetAddress,city,region,postalCode,country,latitude,longitude,normalizedKey,reason
REVIEW,cmtb6udw300003giywjrb4w57,5star Travel,cmtb6ue1m00013giy0vcuqr01,https://www.5star-travel.gr/,JSON_LD,,,,,,,,37.9766127,23.7251161,,INCOMPLETE_ADDRESS
SAFE,cmta4y7vg0004sciy2y9wokq6,Agigma,cmta4y81w0005sciybyesa197,https://agigma.gr/,JSON_LD,HealthAndBeautyBusiness | Organization,Agigma Holistic Spa,Mahiton Sholis Chorofilakis 7,Rethymno,crete,741 00,Greece,0,0,4aa80508a2fc7ec87b76af277a88e662,OFFICIAL_PHYSICAL_BUSINESS_JSON_LD_WITH_COMPLETE_POSTAL_ADDRESS
REVIEW,cmtb6uffz00083giyn667ly3j,Alhimistis Bags,cmtb6ufkl00093giymppi9r6l,https://alhimistisbags.gr/,JSON_LD,Organization | Place | Store,Alhimistis Bags,,,,,,37.9832174,23.7300456,,INCOMPLETE_ADDRESS
REVIEW,cmtb6uffz00083giyn667ly3j,Alhimistis Bags,cmtb6ufkl00093giymppi9r6l,https://alhimistisbags.gr/product/dwroepitagh-alhimistis-bags/,JSON_LD,Organization | Place | Store,Alhimistis Bags,,,,,,37.9832174,23.7300456,,INCOMPLETE_ADDRESS
SAFE,cmtb77z45005gdkiyowzvvqms,Angels Boutique,cmtb77z8g005hdkiybcw8e79m,https://www.angels-boutique.gr/,JSON_LD,ClothingStore,Angels Boutique,Tzavella 26,Evosmos,Thessaloniki,562 24,Greece,0,0,2a1a758640805a2188b4d1d8009f1144,OFFICIAL_PHYSICAL_BUSINESS_JSON_LD_WITH_COMPLETE_POSTAL_ADDRESS
SAFE,cmta1g2lu004iq8iyuc7d7h3h,Anthemion Flowers,cmta1g2s8004jq8iyfscrgkeo,https://anthemionflowers.com/attica_el,JSON_LD,OnlineStore,Anthemion Flowers,Λ. Θηβών 499,"Αιγάλεω, Αθήνα",Αττική,122 43,GR,0,0,258177acdee17708d34ca4310dadec7e,OFFICIAL_PHYSICAL_BUSINESS_JSON_LD_WITH_COMPLETE_POSTAL_ADDRESS
SAFE,cmtikaq840000csiynr88cto8,Antithesis Clothing,cmtb77r83004bdkiycl9k0utt,https://antithesisclothing.gr/,JSON_LD,ClothingStore,Antithesis Clothing,Νικολάου Πλαστήρα 2 Διαβατά,Θεσσαλονίκη,,570 08,GR,40.6899829,22.855066,000323c25f4fbb336266e32c7e393944,OFFICIAL_PHYSICAL_BUSINESS_JSON_LD_WITH_COMPLETE_POSTAL_ADDRESS
SAFE,cmtb770ps000idkiyolfowk77,Archives,cmtb770up000jdkiys2xgzyjl,https://cicado.gr/,JSON_LD,Organization | OnlineStore | ClothingStore,Cicado Creative Studio,Αγίας Παρασκευής 32,Χαλάνδρι,Αττική,152 32,GR,0,0,1e7357e5b40a16933bc084b42b62a4f8,OFFICIAL_PHYSICAL_BUSINESS_JSON_LD_WITH_COMPLETE_POSTAL_ADDRESS
SAFE,cmtb770ps000idkiyolfowk77,Archives,cmtb770up000jdkiys2xgzyjl,https://cicado.gr/en/product-category/gift-cards/,JSON_LD,Organization | OnlineStore | ClothingStore,Cicado Creative Studio,Agias Paraskevis 32,Chalandri,Attica,152 32,GR,0,0,a8f0ae565c44e1f12fa2b00fe553f71f,OFFICIAL_PHYSICAL_BUSINESS_JSON_LD_WITH_COMPLETE_POSTAL_ADDRESS
REVIEW,cmta1gh86005xq8iydzgewhf3,Artmie,cmta1ghdm005yq8iy044r8ucx,https://artmie.gr/,JSON_LD,OnlineStore,ARTMIE,Strojárska 603/85,Snina,,069 01,SK,0,0,cf8184d1976233323497941334f1463c,NON_GREEK_LOCATION_REVIEW
