status,merchantId,merchantName,giftCardId,label,addressLine,city,area,administrativeArea,postalCode,countryCode,latitude,longitude,sourceUrl,verificationStatus,reason,actionId
SAFE,cmta4y7vg0004sciy2y9wokq6,Agigma,cmta4y81w0005sciybyesa197,Agigma Holistic Spa,Mahiton Sholis Chorofilakis 7,Ρέθυμνο,,Κρήτη,741 00,GR,0,0,https://agigma.gr/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,e493d9208727d0c33eeeb355be22593f1faa2eb96aa86e43a4abcc37e8fd11d8
SAFE,cmtb77z45005gdkiyowzvvqms,Angels Boutique,cmtb77z8g005hdkiybcw8e79m,Angels Boutique,Tzavella 26,Εύοσμος,,Κεντρική Μακεδονία,562 24,GR,0,0,https://www.angels-boutique.gr/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,400fe298556d7db0722d13be3acd7f03f21649a7e5f2da1a0ba59465b071d919
SAFE,cmtikaq840000csiynr88cto8,Antithesis Clothing,cmtb77r83004bdkiycl9k0utt,Antithesis Clothing,Νικολάου Πλαστήρα 2 Διαβατά,Διαβατά,,Κεντρική Μακεδονία,570 08,GR,40.6899829,22.855066,https://antithesisclothing.gr/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,b30654eb8c0fbc43cfd9e0bf4584da33b10aec74fae0290c6a327f6a8af06bd8
SAFE,cmta1hfri008tq8iyyvmypizt,Athensmassagecenter,cmta1hfz2008uq8iykkf41lee,Athens Massage Center,Αμφείας 14,Αθήνα,,Αττική,114 75,GR,37.994373624754665,23.751516152367763,https://athensmassagecenter.gr/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,4efeeeb444c658c01a98b202434e4d0c6894c31bf65983e58aa90d68b030c3ea
SAFE,cmta1lkoo00pnq8iy3a0nyj35,Avgerinospharmacy,cmta1lkvc00poq8iyrf4ok9ea,Avgerinos Pharmacy,Leoforos Vasileos Konstantinou 138,Κορωπί,,Αττική,194 00,GR,0,0,https://avgerinospharmacy.gr/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,88c23910b9723238baddd06b6708172772b56c94e83280258317c290308fb7ca
SAFE,cmta1mjw600tdq8iy2ln2bbdn,Babyvalia,cmta1mk2p00teq8iywlymg7ut,Βabyvalia Collections,Αθηνάς 75,Ίλιον,,Αττική,131 22,GR,0,0,https://babyvalia.gr/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,653767ab25731a0cd03250598f86f649707b30a731f2b97c87502d247527062e
SAFE,cmta1hjup0095q8iyvtvlgy9z,Beautybliss,cmta1hk2v0096q8iyp1g0rj8w,Beauty Bliss,13 Εθνικής Αντιστάσεως,Γέρακας,,Αττική,153 44,GR,0,0,https://www.beautybliss.gr/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,4426c63771ab26cd19b7efabfe14b7f4032729952bdca94e14f5f0c1b59acd40
SAFE,cmta1hkqq0099q8iyde9km7bg,Beautypeak,cmta1hkw1009aq8iy1ebujztj,Beauty Peak,3 Λυκούργου,Καλλιθέα,,Αττική,176 76,GR,0,0,https://www.beautypeak.gr/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,bde1c2c7aacb22824facd571fdb0a97f77735c006e69f86f8b0fb80a02d30dab
SAFE,cmta1hl4z009bq8iydvy08yy9,Beautyprincess,cmta1hlab009cq8iyuzff3nxc,Beautyprincess.gr,Μπισκίνη 24,Ζωγράφου,,Αττική,157 71,GR,37.9768,23.7651,https://beautyprincess.gr/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,9db9202a032501c1a07d58ea91d0fc0caa490d53f3babed82e7c6709aca5c223
SAFE,cmta1hn3o009lq8iyhn7qa9mo,Bloss,cmta1hn8m009mq8iyulc5z4tr,BLOSS Fashion e-Shop,11 Ditikis Thrakis,Σέρρες,,Κεντρική Μακεδονία,621 24,GR,0,0,https://www.bloss.gr/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,1694cfab72b27aacc3205d8d306c16fcf74191c9979e585e4e62cd15c3b6649e
SAFE,cmta4ybba000isciyih7hob24,Box Box,cmta4ybhz000jsciys63enlye,Box-Box,Στρ. Καραϊσκάκη 88,Χαϊδάρι,,Αττική,124 61,GR,0,0,https://box-box.gr/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,6b75834b591a5ab1a44a068552dc7a67bd51a9fd8e4c0b167334d0e93bca4306
SAFE,cmta1hoou009rq8iyjmqa7rlt,Bwoman,cmta1hou3009sq8iy5e9xah2t,B Woman,Περγάμου 46,Μέγαρα,,Αττική,191 00,GR,0,0,https://bwoman.gr/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,ff05289f2b28cd62492b3e816a9318b1c56e1ceae4568fc7ff33a5230e41a9d6
SAFE,cmta1ls5c00qfq8iypc6nerrf,Carousel,cmta1lsbl00qgq8iyhk5pv19c,Carousel.gr,Νόρμαν 5-7,Άρτα,,Ήπειρος,471 32,GR,0,0,https://carousel.gr/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,666a00829d3a08dc5859dbf47e3f5595504a14d2d359f89a47257d6c4abbb5d5
SAFE,cmta1moyw00txq8iyppaqhxxs,Cavakalomenidis,cmta1mp5900tyq8iyvpa0dnxr,Cava Kalomenidis,Παυλίδη Αδαμοπούλου 5,Πτολεμαΐδα,,Δυτική Μακεδονία,502 00,GR,40.5143395,21.6805329,https://cavakalomenidis.gr/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,818487dd58561a117f695d323aec77d0d4810ee9551f0824491e15703e6b1fbd
SAFE,cmta1hs9s00a5q8iy7uqk99as,Champselysees,cmta1hsfo00a6q8iyzzo5j9r0,Ελισάβετ Μαυρουδή - Champs Elysées Institut,"Χαρίτων 13 B, Εύοσμος",Εύοσμος,,Κεντρική Μακεδονία,562 24,GR,40.67480789035335,22.9072278134948,https://champselysees.gr/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,249170faa37a604d6784f81d404824ec52b74b3c9b78086ec16661a62578f96a
SAFE,cmtb7hy3h000e04iyq74d13gb,Cretelocaladventures,cmtb7hy8e000f04iyjz2kwfs2,Crete Local Adventures,109 Selinou,Χανιά,,Κρήτη,731 31,GR,35.5125635,24.007672,https://www.cretelocaladventures.com/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,66389bb250d72b6853eaf9456a1859d96c5a5d3c171a5f47356b2dd81ea99666
SAFE,cmta1klv100lrq8iyi3h52q5r,Despykboutique,cmta1km1x00lsq8iyzx1su6ol,DespyK Boutique – Περιστέρι (Κεντρικό),Εθν. Αντιστάσεως 2,Περιστέρι,,Αττική,121 34,GR,0,0,https://despykboutique.gr/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,f2456b7ccddb6a9ca168c1436f09b66f3961d2d398eef971f90fa0469b9ac147
SAFE,cmta1klv100lrq8iyi3h52q5r,Despykboutique,cmta1km1x00lsq8iyzx1su6ol,DespyK Boutique – Περιστέρι Outlet (2ος όροφος),"Λεωφόρος Παναγή Τσαλδάρη 21, 2ος όροφος",Περιστέρι,,Αττική,121 34,GR,0,0,https://despykboutique.gr/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,6a2c8151b17a1afaed537c6b7aa30bbf4c64535cee951f38c01e97d9fe30bc83
SAFE,cmta1klv100lrq8iyi3h52q5r,Despykboutique,cmta1km1x00lsq8iyzx1su6ol,DespyK Boutique – Γλυφάδα,Φοίβης 11,Γλυφάδα,,Αττική,166 74,GR,0,0,https://despykboutique.gr/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,39053855925d85b8e6a3405e656a5ba1c4e2a88a1c5ba47cec64fc82b42f97cf
SAFE,cmta1hxrm00arq8iyhvy95v45,Doctorfish,cmta1hxy000asq8iyykd06tm3,Doctor Fish Athens - Day Spa & Nail Bar in Athens City Center,69 Adrianou,Αθήνα,,Αττική,105 56,GR,0,0,https://www.doctorfish.gr/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,fc0b21425b65ce94ea4134542f52b81caf41b5760bbfa0f322814eed3e24d8bf
SAFE,cmtb6e05h0000i4iydjpp2xn1,EA Bags,cmtb6e0aj0001i4iyas7ed2u8,Elena Athanasiou Bags ®,28 Katouni,Θεσσαλονίκη,Λαδάδικα,Κεντρική Μακεδονία,546 25,GR,0,0,https://eabags.gr/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,69192aaaed02e514eea1db47fa80fadeab70be2729eb1fd3b5ec4aa5c6f245a5
SAFE,cmta1i3qb00b3q8iy5go5mq9p,Ecrystal,cmta1i3wg00b4q8iywcrwt5kb,Ecrystal,Tsimiski 87,Θεσσαλονίκη,,Κεντρική Μακεδονία,546 22,GR,0,0,https://ecrystal.gr/,VERIFIED,OFFICIAL_COMPLETE_PHYSICAL_BUSINESS_JSON_LD,c301c05be2ddb47564a0054f238a939a4823946e34ee9b036faaa9aff1a6acdd
