bucket,reason,merchantName,giftCardTitle,officialUrl,finalUrl,httpStatus,hasOfficialSource,officialSourceCount,officialSourceUrl
"ERROR","HTTP_403","Adventure Junkies","Adventure Junkies Gift Card","https://www.adventurejunkies.gr/product-category/giftcards/","https://www.adventurejunkies.gr/product-category/giftcards/","403","false","0",""
"ERROR","HTTP_403","Aggouris","Giftcard - Ιεροραφείο Αγγούρη","https://aggouris.gr/product-category/dorokarta/","https://aggouris.gr/product-category/dorokarta/","403","false","0",""
"ERROR","HTTP_404","Baseandtop","Baseandtop Gift Card","https://baseandtop.gr/products/gift-card","https://baseandtop.gr/products/gift-card","404","false","0",""
"REVIEW","NO_STRONG_PURCHASE_OR_VALUE_EVIDENCE","Benessere","Δωροκάρτες - Gift Cards, Κεντρο Αισθητικής Benessere Αίγιο ...","https://benessere.gr/dwrokartes-gift-cards/","https://benessere.gr/dwrokartes-gift-cards/","200","false","0",""
"ERROR","HTTP_403","Bilero","Virtual Gift Card Αρχεία","https://bilero.gr/product/gift-card/","https://bilero.gr/product/gift-card/","403","false","0",""
"REVIEW","NO_STRONG_PURCHASE_OR_VALUE_EVIDENCE","Carbon","CFC GIFT CARD | carbonfibercustoms","https://www.carbon.gr/gift-card","https://www.carbon.gr/gift-card","200","false","0",""
"REVIEW","NO_STRONG_PURCHASE_OR_VALUE_EVIDENCE","Champselysees","Δωροκάρτα Ομορφιάς – Χαρίστε στιγμές χαλάρωσης & ...","https://champselysees.gr/dorokarta/","https://champselysees.gr/dorokarta/","200","false","0",""
"REVIEW","NO_STRONG_GIFT_CARD_EVIDENCE","Cla Chic","Cla Chic Gift Card","https://www.clachic.gr/","https://www.clachic.gr/","200","false","0",""
"REVIEW","NO_STRONG_GIFT_CARD_EVIDENCE","Cordella","Cordella Δωροκάρτα 500€","https://www.cordella.gr/shop/vendor/cordella","https://www.cordella.gr/shop/vendor/cordella","200","false","0",""
"ERROR","HTTP_403","Coronadifiori","Gift Card white","https://coronadifiori.gr/product-category/gift-card/","https://coronadifiori.gr/product-category/gift-card/","403","false","0",""
"ERROR","HTTP_403","Dionysioumedispa","Beauty and Spa Gift Card - Dionysiou Beauty & Medi Spa","https://www.dionysioumedispa.com/product-category/gift-cards-el/","https://www.dionysioumedispa.com/product-category/gift-cards-el/","403","false","0",""
"ERROR","HTTP_403","Divani Collection","Divani Collection Hotels Gift Card | The Ultimate Luxury Gift","https://divanis.com/gift-card/","https://divanis.com/gift-card/","403","false","0",""
