type,actionId,merchantId,giftCardId,expected,value,evidenceCandidate,evidenceScore,evidenceSources,evidenceUrls,rationale
UPDATE_MERCHANT_NAME,update-merchant-name:cmtb77rj8004cdkiyvmogo621,cmtb77rj8004cdkiyvmogo621,cmtb77rqc004ddkiytzf0x88j,Christmas Gift Cards,Armonia Wellness,Armonia Wellness,295,GIFT_LOGO_ALT|GIFT_OG_SITE_NAME|GIFT_TITLE|HOME_LOGO_ALT|HOME_OG_SITE_NAME|HOME_TITLE,https://www.armoniawellness.gr/|https://www.armoniawellness.gr/christmas-gift-cards/,Preserve the Christmas-specific program while restoring the official merchant identity.
UPDATE_CARD_TITLE,update-card-title:cmtb77rqc004ddkiytzf0x88j,cmtb77rj8004cdkiyvmogo621,cmtb77rqc004ddkiytzf0x88j,Christmas Gift Cards,Armonia Wellness Christmas Gift Card,Armonia Wellness,295,GIFT_LOGO_ALT|GIFT_OG_SITE_NAME|GIFT_TITLE|HOME_LOGO_ALT|HOME_OG_SITE_NAME|HOME_TITLE,https://www.armoniawellness.gr/|https://www.armoniawellness.gr/christmas-gift-cards/,Preserve the Christmas-specific program while restoring the official merchant identity.
UPDATE_MERCHANT_NAME,update-merchant-name:cmtb78g7m007rdkiydh03gkcd,cmtb78g7m007rdkiydh03gkcd,cmtb78gcm007sdkiyiijij48q,I Thought Of You,ΥΜΩΝ,ΥΜΩΝ,280,GIFT_JSONLD_ORGANIZATION|GIFT_OG_SITE_NAME|HOME_JSONLD_ORGANIZATION|HOME_OG_SITE_NAME|HOME_TITLE,https://www.ymonanatripsis.gr/|https://www.ymonanatripsis.gr/en/gift-card/,Keep the named gift-card product and restore the official merchant identity.
UPDATE_CARD_TITLE,update-card-title:cmtb78gcm007sdkiyiijij48q,cmtb78g7m007rdkiydh03gkcd,cmtb78gcm007sdkiyiijij48q,I Thought Of You,ΥΜΩΝ – I Thought Of You Gift Card,ΥΜΩΝ,280,GIFT_JSONLD_ORGANIZATION|GIFT_OG_SITE_NAME|HOME_JSONLD_ORGANIZATION|HOME_OG_SITE_NAME|HOME_TITLE,https://www.ymonanatripsis.gr/|https://www.ymonanatripsis.gr/en/gift-card/,Keep the named gift-card product and restore the official merchant identity.
UPDATE_MERCHANT_NAME,update-merchant-name:cmtb78ft1007pdkiylxlrso3f,cmtb78ft1007pdkiylxlrso3f,cmtb78fy5007qdkiyxevs1v0x,Make a gift,Simclub,Simclub,245,GIFT_OG_SITE_NAME|GIFT_TITLE|HOME_OG_SITE_NAME|HOME_TITLE,https://simclub.gr/|https://www.simclub.gr/en/gift-vouchers/,Replace generic page copy with the official site identity.
UPDATE_CARD_TITLE,update-card-title:cmtb78fy5007qdkiyxevs1v0x,cmtb78ft1007pdkiylxlrso3f,cmtb78fy5007qdkiyxevs1v0x,Make a gift,Simclub Gift Card,Simclub,245,GIFT_OG_SITE_NAME|GIFT_TITLE|HOME_OG_SITE_NAME|HOME_TITLE,https://simclub.gr/|https://www.simclub.gr/en/gift-vouchers/,Replace generic page copy with the official site identity.
UPDATE_MERCHANT_NAME,update-merchant-name:cmtb7i3a3001504iyg9dda4td,cmtb7i3a3001504iyg9dda4td,cmtb7i3f1001604iyarnf8jny,Massage Gift Cards Kefalonia,4 Elements Massage Kefalonia,4 Elements Massage Kefalonia,305,GIFT_JSONLD_BRAND|GIFT_JSONLD_ORGANIZATION|GIFT_TITLE|HOME_JSONLD_ORGANIZATION|HOME_OG_SITE_NAME|HOME_TITLE,https://massage4kefalonia.com/|https://massage4kefalonia.com/gift-cards,Replace product-page copy with the corroborated official identity.
UPDATE_CARD_TITLE,update-card-title:cmtb7i3f1001604iyarnf8jny,cmtb7i3a3001504iyg9dda4td,cmtb7i3f1001604iyarnf8jny,Massage Gift Cards Kefalonia,4 Elements Massage Kefalonia Gift Card,4 Elements Massage Kefalonia,305,GIFT_JSONLD_BRAND|GIFT_JSONLD_ORGANIZATION|GIFT_TITLE|HOME_JSONLD_ORGANIZATION|HOME_OG_SITE_NAME|HOME_TITLE,https://massage4kefalonia.com/|https://massage4kefalonia.com/gift-cards,Replace product-page copy with the corroborated official identity.
UPDATE_MERCHANT_NAME,update-merchant-name:cmtb77g6g002qdkiyzp7xmoyn,cmtb77g6g002qdkiyzp7xmoyn,cmtb77gbh002rdkiyzvvjbldl,Paco Δωροκάρτες από,Paco Art Center,Paco Art Center,195,GIFT_OG_SITE_NAME|HOME_OG_SITE_NAME,https://www.pacoartcenter.gr/|https://www.pacoartcenter.gr/el/gift-card.html,Remove scraped purchase-page wording from the merchant and card title.
UPDATE_CARD_TITLE,update-card-title:cmtb77gbh002rdkiyzvvjbldl,cmtb77g6g002qdkiyzp7xmoyn,cmtb77gbh002rdkiyzvvjbldl,Paco Δωροκάρτες από Gift Card,Paco Art Center Gift Card,Paco Art Center,195,GIFT_OG_SITE_NAME|HOME_OG_SITE_NAME,https://www.pacoartcenter.gr/|https://www.pacoartcenter.gr/el/gift-card.html,Remove scraped purchase-page wording from the merchant and card title.
