merchantId,merchantName,websiteUrl,currentLogoUrl,logoSourceUrl,storage,localFileExists,websiteHost,logoHost,sourceHost,domainMatch,suspiciousReasons,classification
"cmtb7hyti000i04iyexyvbb7e","& Spa Voucherss","https://divaniapollonhotel.com","/merchant-logos/and-spa-vouchers-d8cdf498aba1.png","https://divaniapollonhotel.com/wp-content/uploads/2025/05/fav_120x120.png","LOCAL","true","divaniapollonhotel.com","","divaniapollonhotel.com","LOCAL","","SAFE"
"cmta1mezp00sxq8iygc6o45un","1art","https://1art.gr","/merchant-logos/1art-76459321dda4.svg","https://1art.gr/wp-content/uploads/2024/03/favicon-artikia.svg","LOCAL","true","1art.gr","","1art.gr","LOCAL","ICON_OR_FAVICON:favicon","REVIEW"
"cmta4y6x30000sciyi43vftzo","365pharmacy","https://365pharmacy.gr","/merchant-logos/365pharmacy.png","","LOCAL","true","365pharmacy.gr","","","LOCAL","LOCAL_LOGO_WITHOUT_SOURCE_EVIDENCE","REVIEW"
"cmtb7i3a3001504iyg9dda4td","4 Elements Massage Kefalonia","https://massage4kefalonia.com","/merchant-logos/massage-gift-cards-kefalonia-48e9b7a714fe.png","https://massage4kefalonia.com/images/logo.png","LOCAL","true","massage4kefalonia.com","","massage4kefalonia.com","LOCAL","","SAFE"
"cmta1lgz200p9q8iyic8bgel1","4 Sports","https://4-sports.gr","/merchant-logos/4-sports.jpg","","LOCAL","true","4-sports.gr","","","LOCAL","LOCAL_LOGO_WITHOUT_SOURCE_EVIDENCE","REVIEW"
"cmta1h3dc0083q8iyok0hfncb","4seasons Beauty Institute","https://4seasons-beauty-institute.gr","/merchant-logos/4seasons-beauty-institute-0a094af198e3.png","https://ae0f34ceb3.clvaw-cdnwnd.com/c5420bdcce5663639c4c106e34fe244c/200000491-1bb8f1bb91/LOGO%20GIA%20SITE.png?ph=ae0f34ceb3","LOCAL","true","4seasons-beauty-institute.gr","","ae0f34ceb3.clvaw-cdnwnd.com","LOCAL","LOCAL_LOGO_SOURCE_NOT_OFFICIAL_DOMAIN","REVIEW"
"cmtb775q90018dkiyeyw4ozut","5pm","https://fivepm.gr","/merchant-logos/5pm-1908e9dda3fa.avif","https://fivepm.gr/cdn/shop/files/5pm-logo-black.png?v=1644997245&width=300","LOCAL","true","fivepm.gr","","fivepm.gr","LOCAL","","SAFE"
"cmtb6udw300003giywjrb4w57","5star Travel","https://5star-travel.gr","/merchant-logos/5star-travel-8cfbdbe781f8.png","https://www.5star-travel.gr/skn/logo.png","LOCAL","true","5star-travel.gr","","5star-travel.gr","LOCAL","","SAFE"
"cmt79icwc000084iyqmpbd9de","AEGEAN","https://el.aegeanair.com","/merchant-logos/aegean-0bcc34187942.svg","https://el.aegeanair.com/Media/rebranding/Aegean.svg","LOCAL","true","el.aegeanair.com","","el.aegeanair.com","LOCAL","","SAFE"
"cmtb76x780000dkiyixlw1gw5","ALDO Greece","https://aldoshoes.gr","/merchant-logos/aldo-6a91ab6cc45f.svg","https://aldoshoes.gr/cdn/shop/files/logo-aldo.svg?v=1769783474&width=600","LOCAL","true","aldoshoes.gr","","aldoshoes.gr","LOCAL","","SAFE"
"cmtb76xn90002dkiy9b2alpff","ANEMH clothing&fashion items","https://anemifashion.gr","/merchant-logos/anemh-clothing-and-fashion-items-06724d297983.png","https://anemifashion.gr/wp-content/uploads/2026/05/120144238_955375421613998_1173291131164017081_n-1400x723.png","LOCAL","true","anemifashion.gr","","anemifashion.gr","LOCAL","","SAFE"
"cmtb6uea700023giy45bjoppd","Abajourmonamour","https://abajourmonamour.gr","/merchant-logos/abajourmonamour-0811820eace1.png","https://www.abajourmonamour.gr/wp-content/uploads/2024/05/MONAMOUR-4COLOR-1024x1024.png","LOCAL","true","abajourmonamour.gr","","abajourmonamour.gr","LOCAL","","SAFE"
"cmtb62exh000094iy63k6h0wp","Absolutemassageandspa","https://absolutemassageandspa.gr","/merchant-logos/absolutemassageandspa-6bc9af92520a.webp","https://absolutemassageandspa.gr/wp-content/uploads/2023/11/image_123986672.png","LOCAL","true","absolutemassageandspa.gr","","absolutemassageandspa.gr","LOCAL","","SAFE"
"cmt8o9l84000030iymso77cud","Access Fashion","https://www.accessfashion.gr","/merchant-logos/access-fashion-5f79b1332214.png","https://www.accessfashion.gr/image/catalog/logo/access_fav_128.png","LOCAL","true","accessfashion.gr","","accessfashion.gr","LOCAL","","SAFE"
"cmta5nk6i000054iyo59lds7z","Access Shop","https://access-shop.gr","/merchant-logos/access-17564a8ce09a.png","https://access-shop.gr/wp-content/uploads/2020/09/logo-1.png","LOCAL","true","access-shop.gr","","access-shop.gr","LOCAL","","SAFE"
"cmta1h3wa0085q8iyn1rdkd0h","Active Fashion","https://active-fashion.gr","/merchant-logos/active-fashion-f9b20022cbb9.png","https://active-fashion.gr/wp-content/uploads/2021/11/Active_Fashion_Jeans__More_LOGO.png","LOCAL","true","active-fashion.gr","","active-fashion.gr","LOCAL","","SAFE"
"cmta1f03n000mq8iyzxhzrwvc","Adagio","https://adagio.gr","/merchant-logos/adagio-73bda02250d0.png","https://www.adagio.gr/images/adagiologosite.png","LOCAL","true","adagio.gr","","adagio.gr","LOCAL","","SAFE"
"cmta1h4v30087q8iyy554j84c","Adore Beauty","https://adore-beauty.gr","/merchant-logos/adore-beauty-0de253370124.svg","https://adore-beauty.gr/wp-content/uploads/2025/08/Adoras_logo.svg","LOCAL","true","adore-beauty.gr","","adore-beauty.gr","LOCAL","","SAFE"
