status,merchantId,merchantName,merchantSlug,websiteUrl,finalWebsiteUrl,reasonCodes,candidateSource,candidateScore,candidateUrl,evidence,sha256,width,height,bytes
SAFE,cmtb6uhnb000k3giyxddgyqfa,Best Western,best-western-gift-card,https://bestwestern.gr,https://bestwestern.gr/,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,334,https://www.bestwestern.gr/images/logos/best-western-hotels-resorts-nav.png,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,036a06914fe2ac2794d6596d0d9b400425c7a307c462d9c1789a0b246b4206d2,1920,382,75785
REVIEW,cmta1hlx2009fq8iy6fwfj2v1,Bestpharmacy,bestpharmacy,https://bestpharmacy.gr,https://bestpharmacy.gr/,OPERATOR_CURATED_SOURCE_REJECTED|ASSET_HTTP_403,HEADER_IMAGE,334,https://bestpharmacy.gr/pub/media/logo/stores/1/logo-new.png,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,,,,
SAFE,cmta1kkh000llq8iyqh4xpyae,Converse,converse,https://converse.gr,https://converse.gr/,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,346,https://www.converse.gr/static/version1787053440/frontend/ConverseExtended/DefaultTheme/el_GR/images/logo.svg,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,48a0874d1a96137739c7ac3338cea1d998713203e10c079a4c7e7fb95b96db28,250,29,4367
SAFE,cmta1hzo100azq8iy5b6q7jky,E Jumbo,e-jumbo,https://e-jumbo.gr,https://e-jumbo.gr/,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,209,https://jumbograzure.lhscdn.com/uploads/sites/331/siteimage-logonormal.png?lm=890b48c1e416d53e750e2b23484967a1,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,332b313fa3d3b174909dbbe389cfe260438cbd83f82aeda50a1c7498c1b69120,150,45,3390
SAFE,cmta1icso00c7q8iyl4xfcphi,Harmanis,harmanis,https://harmanis.gr,https://harmanis.gr/,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,209,https://harmanis.lhscdn.com/uploads/sites/126315/siteimage-logonormal.png?lm=9155077cf7ee90807790fcfdcbbcc8a5,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,62cf8325f747eee1a437697819491f3596cebd768e5df7830a23b263d0e62e88,280,61,4610
SAFE,cmt8faz8700056kiyd92fmy9h,HomeMarkt,homemarkt,https://www.homemarkt.gr,https://www.homemarkt.gr/,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,209,https://homemarkt.lhscdn.com/uploads/sites/126315/siteimage-logonormal.png?lm=05d40fd1b2a99fcfe6ed57919b3c6a3f,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,aa1c7730cb6115a579c776dae5c39da2d02b4239a5986331b975ba7214a62e69,110,70,1664
SAFE,cmta1lfel00p3q8iywla7k0oj,Nakas,nakas,https://nakas.gr,https://nakas.gr/,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,334,https://www.nakas.gr/uploads/sites/126315/siteimage-logonormal.png,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,16f71457bba7cfd0d258bd48a966b9aa357411c6a94630a5c1f30e22cb55cbc3,180,43,1856
SAFE,cmtb6uxpz002x3giyag7687wz,Nakasconcept,nakasconcept,https://nakasconcept.gr,https://nakasconcept.gr/,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,334,https://www.nakasconcept.gr/uploads/sites/126315/siteimage-logonormal.png?lm=d2ac89ada44b4bfadfa5c1205af31c10,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,f3bb8967b2475ff03e03306a3d94df0aad9fef9a074e0464192a6e64f1166ba2,180,60,2404
REVIEW,cmt8fb4oz000o6kiylq2ujw83,Sephora,sephora,https://giftcard.sephora.gr,https://giftcard.sephora.gr/,OPERATOR_CURATED_SOURCE_REJECTED|ASSET_FETCH_FAILED,HEADER_IMAGE,334,https://giftcard.sephora.gr/merchant/logo.png?v=20260903,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,,,,
SAFE,cmta1gwxy007dq8iy283ovzsf,Sfsonline,sfsonline,https://sfsonline.gr,https://sfsonline.gr/,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,334,https://static.sfsonline.gr/uploads/sites/126315/siteimage-logonormal.png?lm=962f67838513baf8d622750932edffc6,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,fc0a710865e697a710cc4cb2a618361b6b6c9da66cd64dc023c14b97c1ce8f41,116,45,1760
SAFE,cmta1jo5l00hvq8iyyy7qivp0,Tempus,tempus,https://tempus.gr,https://tempus.gr/,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,279,https://tempus.gr/wp-content/uploads/2022/12/TEMPUS-Log-1400x418.png,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,1f717400dd23548d8e6fde5f7e17913a5b81275289c5b8faa6d67a9a7da01efe,1400,418,70610
SAFE,cmta1m2se00rlq8iybu8clfeq,Theknittingclub,theknittingclub,https://theknittingclub.gr,https://theknittingclub.gr/,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,120,https://assets.nagacommerce.com/storage/3693ce79-0d73-40d9-81ab-21ddcb833704/uploads/multimedia/2024/07/j0/Naga_THE_KNITTING_CLUB%E2%84%A2.png.webp,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,6464599af520f691eeea99029f0381d84f1703d36c676dca3aa3db7c70732018,500,500,15414
REVIEW,cmta1gyrx007lq8iyc6lx7l6y,Tsakirismallas,tsakirismallas,https://tsakirismallas.gr,https://tsakirismallas.gr/,OPERATOR_CURATED_SOURCE_REJECTED|ASSET_HTTP_403,HEADER_IMAGE,334,https://www.tsakirismallas.gr/images/TM_Logo_3.PNG,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,,,,
REVIEW,cmta4z8pw004csciymdcih8iu,Wildsouls,wildsouls,https://wildsouls.gr,https://wildsouls.gr/,OPERATOR_CURATED_SOURCE_REJECTED|ASSET_HTTP_403,HEADER_IMAGE,346,https://www.wildsouls.gr/app/themes/wildsouls-theme/dist/images/logo_6949d85d.svg,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,,,,
