status,merchantId,merchantName,merchantSlug,websiteUrl,finalWebsiteUrl,reasonCodes,candidateSource,candidateScore,candidateUrl,evidence,sha256,width,height,bytes
REVIEW,cmtb7hyti000i04iyexyvbb7e,& Spa Voucherss,and-spa-vouchers,https://divaniapollonhotel.com,https://divaniapollonhotel.com/,DUPLICATE_ASSET_HASH_ACROSS_MERCHANTS,SITE_ICON,81,https://divaniapollonhotel.com/wp-content/uploads/2025/05/fav_120x120.png,link rel=icon,d8cdf498aba1399b4cb05ad8867e6e5ee1c85974ea45d425591f8a8f2334a75b,120,120,5471
ERROR,cmta1mezp00sxq8iygc6o45un,1art,1art,https://1art.gr,,PAGE_TIMEOUT,,,,,,,,
REVIEW,cmta1h3dc0083q8iyok0hfncb,4seasons Beauty Institute,4seasons-beauty-institute,https://4seasons-beauty-institute.gr,https://www.4seasons-beauty-institute.gr/,NO_AUTO_SAFE_CANDIDATE,OG_IMAGE,-29,https://ae0f34ceb3.clvaw-cdnwnd.com/c5420bdcce5663639c4c106e34fe244c/200001109-9921f99221/700/4%20SEASONS%20%CE%A7%CE%B1%CE%BB%CE%BA%CE%AF%CE%B4%CE%B1.png?ph=ae0f34ceb3,og:image,,,,
NONE,cmtb6udw300003giywjrb4w57,5star Travel,5star-travel,https://5star-travel.gr,https://www.5star-travel.gr/,NO_LOGO_CANDIDATE,,,,,,,,
SAFE,cmt8o9l84000030iymso77cud,Access Fashion,access-fashion,https://www.accessfashion.gr,https://www.accessfashion.gr/,OFFICIAL_PAGE|SITE_ICON|SAME_SITE_ASSET|IMAGE_VALIDATED,SITE_ICON,139,https://www.accessfashion.gr/image/catalog/logo/access_fav_128.png,link rel=icon,5f79b13322146798796cbf87fda4b90893d0a76330feafcb0d79d89a6e79615c,128,128,4634
NONE,cmta1f03n000mq8iyzxhzrwvc,Adagio,adagio,https://adagio.gr,https://adagio.gr/,NO_LOGO_CANDIDATE,,,,,,,,
ERROR,cmta1flpz002sq8iyj9fu06aj,Adidas,adidas,https://adidas.gr,,PAGE_HTTP_403,,,,,,,,
REVIEW,cmtb6ueoq00043giye4hg3ri6,Adventure Junkies,90-adventure-junkies,https://adventurejunkies.gr,https://www.adventurejunkies.gr/,NO_AUTO_SAFE_CANDIDATE,SITE_ICON,-41,https://adventurejunkies.storage.googleapis.com/wp-content/uploads/2022/02/24234105/fav.png,link rel=apple-touch-icon,,,,
ERROR,cmt79icwc000084iyqmpbd9de,AEGEAN,aegean,https://el.aegeanair.com,,PAGE_HTTP_403,,,,,,,,
SAFE,cmta4y7eb0002sciylsx5by7d,Aegeanmassage,aegeanmassage,https://aegeanmassage.gr,https://aegeanmassage.gr/,OFFICIAL_PAGE|HEADER_IMAGE|SAME_SITE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,334,https://aegeanmassage.gr/wp-content/uploads/elementor/thumbs/logo-agean-copy-r1hoabe7m8z6z0g0ofhnfuureji3n2dtho531coem8.png,img:webpexpress-processed logo-agean copy,c545bcfdd4741229e58b7cb7d02a0c6d419844840532f49bd0d0a6e63895642b,164,68,12646
SAFE,cmta1kekt00kxq8iyxv2r81h0,Aetherjewelry,aetherjewelry,https://aetherjewelry.gr,https://aetherjewelry.gr/,OFFICIAL_PAGE|JSONLD_LOGO|PAGE_REFERENCED_EXTERNAL_ASSET|IMAGE_VALIDATED,JSONLD_LOGO,134,https://i0.wp.com/aetherjewelry.gr/wp-content/uploads/2023/01/cropped-cropped-small-triangle.png?fit=512%2C512&ssl=1,JSON-LD logo ImageObject,0d49c95b9e5c442c78b450e666fff2dd688b0f719567cc52ec57abb7fe7d10d6,512,512,16822
SAFE,cmta1gfy3005rq8iyb6n5rmq0,Agathou,agathou,https://agathou.gr,https://www.agathou.gr/,OFFICIAL_PAGE|SITE_ICON|SAME_SITE_ASSET|IMAGE_VALIDATED,SITE_ICON,154,https://www.agathou.gr/wp-content/uploads/2020/10/cropped-logos-2-e1464295855512-2-192x192.png,link rel=icon,34b0d432bf0bf6d38f639e6828e76beb08d3f5f41f36cc477de7d87b130fde15,192,192,15024
REVIEW,cmt8l5oqd00005giycgy0pz6b,Airbnb,airbnb,https://www.airbnb.com,https://www.airbnb.com/,NO_AUTO_SAFE_CANDIDATE,SITE_ICON,-26,https://a0.muscache.com/airbnb/static/icons/apple-touch-icon-120x120-52b1adb4fe3a8f825fc4b143de12ea4b.png,link rel=apple-touch-icon,,,,
SAFE,cmtb77qd60047dkiyo2864egs,Alexandris Stores,valentine-s-day-gift-card,https://alexandrisstores.gr,https://alexandrisstores.gr/,OFFICIAL_PAGE|SITE_ICON|SAME_SITE_ASSET|IMAGE_VALIDATED,SITE_ICON,154,https://alexandrisstores.gr/wp-content/uploads/2021/11/%CE%A5%CF%80%CE%BF%CE%B4%CE%B7%CC%81%CE%BC%CE%B1%CF%84%CE%B1-%CE%91%CE%BB%CE%B5%CE%BE%CE%B1%CE%BD%CE%B4%CF%81%CE%B7%CC%81%CF%82-Logo-favicon-%CF%80%CE%B1%CF%80%CE%BF%CF%85%CF%84%CF%83%CE%B9%CE%B1-%CE%B1%CE%BD%CE%B4%CF%81%CE%B9%CE%BA%CE%B1-280x280.png,link rel=icon,eeb038b2f377035701b813b42c98d4831c6cc3c52d72cedb80f619adda770d62,280,280,21505
SAFE,cmta1h8s5008bq8iy5dvpk9kp,Alhammam,alhammam,https://alhammam.gr,https://alhammam.gr/,OFFICIAL_PAGE|HEADER_IMAGE|SAME_SITE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,349,https://alhammam.gr/wp-content/uploads/2026/08/al_hammam_header_logo_retina.png,img:logo_image sc_layouts_logo sc_layouts_logo_default trx_addons_inline_1207733369 Hammam Traditional Baths - Al Hammam Athens & Crete,1cd877f840575832fa803d2a21b69acba222474bbc752a3efd2543c14c1b9622,640,382,5773
