status,merchantId,merchantName,merchantSlug,websiteUrl,finalWebsiteUrl,reasonCodes,candidateSource,candidateScore,candidateUrl,evidence,sha256,width,height,bytes
REVIEW,cmta1f03n000mq8iyzxhzrwvc,Adagio,adagio,https://adagio.gr,https://adagio.gr/,OFFICIAL_WEBSITE_PAGE:NO_AUTO_SAFE_CANDIDATE|OFFICIAL_GIFT_CARD_PAGE:NO_AUTO_SAFE_CANDIDATE,SITE_ICON,68,https://adagio.gr/favicon.ico,well-known /favicon.ico fallback,,,,
ERROR,cmta1flpz002sq8iyj9fu06aj,Adidas,adidas,https://adidas.gr,,OFFICIAL_WEBSITE_PAGE:PAGE_HTTP_403|OFFICIAL_GIFT_CARD_PAGE:PAGE_HTTP_403,,,,,,,,
REVIEW,cmta1k58l00jvq8iyujdntq2y,Annamariamazaraki,annamariamazaraki,https://annamariamazaraki.gr,https://www.annamariamazaraki.com/el,OFFICIAL_WEBSITE_PAGE:WEBSITE_REDIRECTED_TO_DIFFERENT_DOMAIN,,,,,,,,
ERROR,cmta1hf65008rq8iyfh7t6wpa,Artcolour,artcolour,https://artcolour.gr,,OFFICIAL_WEBSITE_PAGE:PAGE_HTTP_403|OFFICIAL_GIFT_CARD_PAGE:PAGE_HTTP_403,,,,,,,,
REVIEW,cmtb77srp004idkiywlcqejho,BeKIDS,αγοραστε-μια-δωροκαρτα,https://bekids.gr,https://bekids.gr/,OFFICIAL_WEBSITE_PAGE:NO_AUTO_SAFE_CANDIDATE|OFFICIAL_GIFT_CARD_PAGE:NO_AUTO_SAFE_CANDIDATE,SITE_ICON,84,https://bekids.gr/image/catalog/graphics/favicon.png,link rel=icon,,,,
ERROR,cmta1hlx2009fq8iy6fwfj2v1,Bestpharmacy,bestpharmacy,https://bestpharmacy.gr,,OFFICIAL_WEBSITE_PAGE:PAGE_HTTP_403|OFFICIAL_GIFT_CARD_PAGE:PAGE_HTTP_403,,,,,,,,
REVIEW,cmta1hren00a1q8iyh9eqqfbk,Cavadelvino,cavadelvino,https://cavadelvino.gr,https://www.cavadelvino.gr/,OFFICIAL_WEBSITE_PAGE:NO_AUTO_SAFE_CANDIDATE|OFFICIAL_GIFT_CARD_PAGE:NO_AUTO_SAFE_CANDIDATE,SITE_ICON,68,https://www.cavadelvino.gr/favicon.ico,well-known /favicon.ico fallback,,,,
ERROR,cmta1hwv400anq8iyxlzbv2x8,Desenio,desenio,https://desenio.gr,,OFFICIAL_WEBSITE_PAGE:PAGE_HTTP_429,,,,,,,,
ERROR,cmtb781yd005udkiyfu78jt3z,Elbebeboutique,elbebeboutique,https://elbebeboutique.gr,,OFFICIAL_WEBSITE_PAGE:fetch failed|OFFICIAL_GIFT_CARD_PAGE:fetch failed,,,,,,,,
ERROR,cmta1my4200uxq8iyrtkh2ksx,Enchriso,enchriso,https://enchriso.gr,,OFFICIAL_WEBSITE_PAGE:fetch failed,,,,,,,,
