status,merchantId,merchantName,merchantSlug,websiteUrl,finalWebsiteUrl,reasonCodes,candidateSource,candidateScore,candidateUrl,evidence,sha256,width,height,bytes
REVIEW,cmtb7hyti000i04iyexyvbb7e,& Spa Voucherss,and-spa-vouchers,https://divaniapollonhotel.com,https://divaniapollonhotel.com/,DUPLICATE_ASSET_HASH_ACROSS_MERCHANTS,SITE_ICON,81,https://divaniapollonhotel.com/wp-content/uploads/2025/05/fav_120x120.png,link rel=icon,d8cdf498aba1399b4cb05ad8867e6e5ee1c85974ea45d425591f8a8f2334a75b,120,120,5471
ERROR,cmta1mezp00sxq8iygc6o45un,1art,1art,https://1art.gr,,PAGE_TIMEOUT,,,,,,,,
REVIEW,cmta1h3dc0083q8iyok0hfncb,4seasons Beauty Institute,4seasons-beauty-institute,https://4seasons-beauty-institute.gr,https://www.4seasons-beauty-institute.gr/,NO_AUTO_SAFE_CANDIDATE,OG_IMAGE,-29,https://ae0f34ceb3.clvaw-cdnwnd.com/c5420bdcce5663639c4c106e34fe244c/200001109-9921f99221/700/4%20SEASONS%20%CE%A7%CE%B1%CE%BB%CE%BA%CE%AF%CE%B4%CE%B1.png?ph=ae0f34ceb3,og:image,,,,
NONE,cmtb6udw300003giywjrb4w57,5star Travel,5star-travel,https://5star-travel.gr,https://www.5star-travel.gr/,NO_LOGO_CANDIDATE,,,,,,,,
NONE,cmta1f03n000mq8iyzxhzrwvc,Adagio,adagio,https://adagio.gr,https://adagio.gr/,NO_LOGO_CANDIDATE,,,,,,,,
ERROR,cmta1flpz002sq8iyj9fu06aj,Adidas,adidas,https://adidas.gr,,PAGE_HTTP_403,,,,,,,,
REVIEW,cmtb6ueoq00043giye4hg3ri6,Adventure Junkies,90-adventure-junkies,https://adventurejunkies.gr,https://www.adventurejunkies.gr/,NO_AUTO_SAFE_CANDIDATE,SITE_ICON,-41,https://adventurejunkies.storage.googleapis.com/wp-content/uploads/2022/02/24234105/fav.png,link rel=apple-touch-icon,,,,
ERROR,cmt79icwc000084iyqmpbd9de,AEGEAN,aegean,https://el.aegeanair.com,,PAGE_HTTP_403,,,,,,,,
REVIEW,cmt8l5oqd00005giycgy0pz6b,Airbnb,airbnb,https://www.airbnb.com,https://www.airbnb.com/,NO_AUTO_SAFE_CANDIDATE,SITE_ICON,-26,https://a0.muscache.com/airbnb/static/icons/apple-touch-icon-120x120-52b1adb4fe3a8f825fc4b143de12ea4b.png,link rel=apple-touch-icon,,,,
REVIEW,cmta1k3u200jpq8iytfzrz0ed,Alkistijewelry,alkistijewelry,https://alkistijewelry.gr,https://alkistijewelry.gr/,STRONG_CANDIDATE_REJECTED|IMAGE_DIMENSIONS_TOO_SMALL:32x32,SITE_ICON,84,https://alkistijewelry.gr/cdn/shop/files/alkistijewelry-favicon-64x64_32x32.png?v=1613720989,link rel=shortcut icon,,,,
NONE,cmt8nqtz900000oiy5f4y48na,Amazon,amazon,https://www.amazon.de,https://www.amazon.de/,NO_LOGO_CANDIDATE,,,,,,,,
REVIEW,cmta1hagf008fq8iynbdf22mn,Ame30,ame30,https://ame30.gr,https://ame30.gr/,STRONG_CANDIDATE_REJECTED|SITE_ICON_TOO_SMALL:250x51|SITE_ICON_TOO_SMALL:50x50,SITE_ICON,154,https://ame30.gr/wp-content/uploads/2020/09/americanino_logo_final-new-w250.png,link rel=icon,,,,
REVIEW,cmta1hayg008hq8iyxn9dz5cg,Ammashop,ammashop,https://ammashop.gr,https://www.ammashop.gr/,STRONG_CANDIDATE_REJECTED|ASSET_UNSUPPORTED_FORMAT,SITE_ICON,68,https://www.ammashop.gr/favicon.ico,link rel=shortcut icon,,,,
REVIEW,cmta1eyqw000gq8iym60ef15s,Anastasia Beverly Hills,anastasia-beverly-hills,https://anastasiabeverlyhills.com,https://www.anastasiabeverlyhills.com/,STRONG_CANDIDATE_REJECTED|IMAGE_DIMENSIONS_TOO_SMALL:32x32,SITE_ICON,139,https://www.anastasiabeverlyhills.com/cdn/shop/files/ABH_A-Logo_Black_96x96_176eb2ac-ca68-484a-aabc-1cbabf6708f7.png?crop=center&height=32&v=1690482728&width=32,link rel=shortcut icon,,,,
REVIEW,cmta1k58l00jvq8iyujdntq2y,Annamariamazaraki,annamariamazaraki,https://annamariamazaraki.gr,https://www.annamariamazaraki.com/el,WEBSITE_REDIRECTED_TO_DIFFERENT_DOMAIN,,,,,,,,
REVIEW,cmta1mgl500t3q8iyhiinlk2s,Anubis,anubis,https://anubis.gr,https://anubis.gr/,STRONG_CANDIDATE_REJECTED|IMAGE_DIMENSIONS_TOO_SMALL:20x20,SITE_ICON,154,https://anubis.gr/wp-content/uploads/2018/01/fav_logo-e1516906979560.png,link rel=icon,,,,
REVIEW,cmtb6ugje000e3giyaubvped2,Art Center,art-center,https://art-center.com.gr,https://www.art-center.com.gr/,STRONG_CANDIDATE_REJECTED|ASSET_HTTP_404|ASSET_UNSUPPORTED_FORMAT,OG_IMAGE,153,https://www.art-center.com.gr/images/logo.jpg,og:image,,,,
ERROR,cmta1hf65008rq8iyfh7t6wpa,Artcolour,artcolour,https://artcolour.gr,,PAGE_HTTP_403,,,,,,,,
ERROR,cmta5nklm000254iyykvcbi2u,Atelie,atelie,https://atelie.com.gr,,PAGE_HTTP_503,,,,,,,,
REVIEW,cmta5nlc8000654iynn5wpmru,Athens Green Apartments,athens-green-apartments,https://athensgreen.gr,https://athensgreen.gr/,NO_AUTO_SAFE_CANDIDATE,OG_IMAGE,-45,https://l.icdbcdn.com/oh/05624b25-7f1b-4f3c-8db3-f107b627843b.jpg?w=1200,og:image,,,,
REVIEW,cmta1hgfm008vq8iy2pi8rd5p,Avvento Shoes,avvento-shoes,https://avvento-shoes.gr,https://www.avvento-shoes.gr/,STRONG_CANDIDATE_REJECTED|ASSET_UNSUPPORTED_FORMAT,SITE_ICON,68,https://www.avvento-shoes.gr/themes/custom/rkpt/favicon.ico,link rel=icon,,,,
