giftCardId,merchantName,giftCardTitle,verificationStatus,officialUrl,requestedUrlCanonical,finalUrl,sameRegistrableDomain,status,ok,contentHash,title,description,h1,h2h3,products,error
cmt79iczq000184iyn0v8cypj,AEGEAN,AEGEAN Gift Card,VERIFIED,https://el.aegeanair.com/flight-deals/gift-card,https://el.aegeanair.com/flight-deals/gift-card,,,,false,,,,,,,DOMAIN_BLOCKED
cmt79idil000684iyx2gzjknp,attica,attica Gift Card,VERIFIED,https://www.atticadps.gr/attica-dwrokarta/,https://atticadps.gr/attica-dwrokarta,https://www.atticadps.gr/attica-dwrokarta/,true,200,true,6b7a3ac5f2dee9a3fdf1c4bcd7a926b3a392474042fb8b05bb0d9753f95519d9,attica Δωροκάρτα | attica,"Με την attica δωροκάρτα, χαρίζετε στους αγαπημένους σας το δώρο της επιλογής τους από επιλεγμένα brands ομορφιάς και μόδας. Μάθετε περισσότερα στο site!",ATTICA ΔΩΡΟΚΑΡΤΑ,ATTICA GIFT CARD | ATTICA E-GIFT CARD,,
cmt79ie3d000c84iy2ec5ea06,Cosmos Sport,Cosmos Sport Gift Card,VERIFIED,https://cosmossport.gr/el/304016-dorokarta-cosmossport.html,https://cosmossport.gr/el/304016-dorokarta-cosmossport.html,https://www.cosmossport.gr/el/304016-dorokarta-cosmossport.html,true,200,true,5673ad6bfcc3d3ee2ef3660ce4cbd262d1481a36770d0016cd54287c4c11894b,Cosmos Sport Δωροκάρτα | e-GiftCard,"e-Gift Card: Βρες Κορυφαία Επώνυμα Αθλητικά Είδη στα Cosmos Sport, το Νο1 online store!",e-Gift Card,"Επιβεβαίωσε τον αριθμό σου | Aγόρασε τώρα, πλήρωσε σε 4 άτοκες δόσεις. | Πώς λειτουργεί | Περιγραφή | Δωρεάν Μεταφορικά & Επιστροφές | e-Gift Card",,
cmt79iemt000i84iyx81scabo,e-tennis,e-tennis Gift Card,VERIFIED,https://e-tennis.gr/axesouar/personal-accessories/gift-cards.html,https://e-tennis.gr/axesouar/personal-accessories/gift-cards.html,https://www.e-tennis.gr/axesouar/personal-accessories/gift-cards.html,true,200,true,b72e20721fbcaeeae5a07fb3341290a5d28720ff53649b1e38a59c4367c2d77b,Ηλεκτρονικές δωροεπιταγές - εκπτωτικά κουπόνια,"Αγοράστε δωροεπιταγές αξίας(30€, 50€, 75€, 100€, 150€ ή 200€ και όταν ολοκληρωθεί η πληρωμή τους θα λάβετε έναν εκπτωτικό κωδικό ισόποσης αξίας στο εμαιλ σας.",Δωροεπιταγές - Δωροκάρτες,Άλλα προϊόντα που μπορείτε να δείτε | Δωροεπιταγή 30 EUR | Δωροεπιταγή 50 EUR | Δωροεπιταγή 75 EUR | Δωροεπιταγή 100 EUR | Δωροεπιταγή 150 EUR | Δωροεπιταγή 200 EUR,,
cmt79if7j000o84iymh0hdqkh,IKEA,IKEA Gift Card,VERIFIED,https://www.ikea.gr/agora-dorokartas-ikea/,https://ikea.gr/agora-dorokartas-ikea,,,,false,,,,,,,DOMAIN_BLOCKED
cmt79ifs3000u84iyqg85vql2,Kulina,Kulina Gift Card,VERIFIED,https://kulina.gr/gift-vouchers,https://kulina.gr/gift-vouchers,https://www.kulina.gr/gift-vouchers/,true,200,true,364d718a134181f43ce43bb1d799b816498c83fcd354fd99ff6733ce40be71be,Δωροεπιταγές | kulina.gr,"Ηλεκτρονικές δωροεπιταγές από το kulina.com με ✅ απεριόριστη ισχύ, που μπορούν να χρησιμοποιηθούν ακόμη και για προϊόντα με έκπτωση. ✅ Κορυφαίο e-shop = κορυφαίες υπηρεσίες.",Δωροεπιταγές,Login to your account | Product sorting | List of products | Listing controls,,
cmt79igbu001084iy7fkqj7p6,Lentiamo,Lentiamo Gift Card,VERIFIED,https://lentiamo.gr/doroepitage.html,https://lentiamo.gr/doroepitage.html,https://www.lentiamo.gr/doroepitage.html,true,200,true,de7e8c2de6e986ab26e94567f269a43b349d15a7956e1c7397a5080d367c4c61,Δωροεπιταγή | Lentiamo,Το μεγαλύτερο ηλεκτρονικό κατάστημα φακών επαφής και αυθεντικών οφθαλμικών προϊόντων στις καλύτερες και πιο ανταγωνιστικές τιμές της αγοράς.,Δωροεπιταγή — στείλτε μια ηλεκτρονική δωροεπιταγή στους αγαπημένους σας μέσω email | Όροι και Προϋποθέσεις,Δωροεπιταγή αξίας | FAQ,,
cmt79igv3001684iyrqjuar1j,Pharm24,Pharm24 Gift Card,VERIFIED,https://pharm24.gr/dwrokarta-pharm24-p-27732.html,https://pharm24.gr/dwrokarta-pharm24-p-27732.html,https://www.pharm24.gr/dwrokarta-pharm24-p-27732.html,true,200,true,e026e84cc52bf40637a9b329f60168e616da43fcdd07986dae9de176fe67746a,Δωροκάρτα Pharm24 | Pharm24.gr,Δωροκάρτα Pharm24 σε προσφορά στο Pharm24.gr. Δωρεάν μεταφορικά σε αγορές άνω των 69€ για μέλη.,Δωροκάρτα Pharm24,"Εικόνες χρηστών | Περιγραφή | Αποστολή & πληρωμή | Συνήθεις Ερωτήσεις για το προϊόν «Δωροκάρτα Pharm24» | Έχει ημερομηνία λήξης η Δωροκάρτα; | Μπορώ να εξαργυρώσω την αξία της Δωροκάρτας μου με χρήματα; | Ισχύει το υπόλοιπο της Δωροκάρτας για επόμενες αγορές; | Η εξαργύρωση της Δωροκάρτας γίνεται μόνο ηλεκτρονικά; | Τι γίνεται αν χάσω ή μου κλέψουν τη Δωροκάρτα μου; | Ο κωδικός της Δωροκάρτας μου δε γίνεται αποδεκτός από το σύστημα. Τι να κάνω; | Μπορώ να εξαργυρώσω πάνω από μία (1) Δωροκάρτα ανά παραγγελία; | Μπορώ να χρησιμοποιήσω την Δωροκάρτα συνδυαστικά με εκπτωτικά κουπόνια; | Καλύπτει η Δωροκάρτα τη χρέωση κιλών/μεταφορικών από το συνολικό ποσό αγορών; | Πως ενημερώνομαι ότι η Δωροκάρτα έχει σταλεί στον παραλήπτη; | Υπάρχει όριο στα χρήματα που μπορώ να διαθέσω για την αγορά μίας Δωροκάρτας; | Κριτικές για το ""Δωροκάρτα Pharm24""",,
cmt79ihfq001c84iymmqcvnee,Plaisio,Plaisio Gift Card,VERIFIED,https://plaisio.gr/help/purchaseinformation/paymentmethods/plaisiogiftcard,https://plaisio.gr/help/purchaseinformation/paymentmethods/plaisiogiftcard,https://www.plaisio.gr/help/purchaseinformation/paymentmethods/plaisiogiftcard,true,200,true,70753bc9783ff916c0e4a3c77df8f430b5cbeb328d06b89d0f8fc42cefbcf9a2,Δωροκάρτα Πλαίσιο,,Δωροκάρτα Πλαίσιο,,,
cmt79ii0a001i84iy9nr3cfur,Prenatal,Prenatal Gift Card,VERIFIED,https://prenatal.gr/gift-card,https://prenatal.gr/gift-card,https://prenatal.gr/gift-card/,true,200,true,e72cd7a71162da801e4416a5746508494f519b9040b9b4c74a871be2fa3e4691,Gift Card | Prénatal Store Online,,,Ποιο είναι το ποσό της συνδρομής; | Ποια είναι η διάρκεια του VIP Club; | Μπορώ να ανανεώσω το VIP Club μετά τη λήξη του; | Θέλεις και σακούλα; Διάλεξε το μέγεθος,,
cmt79iijr001o84iy0hpx0a15,Rundome,Rundome Gift Card,VERIFIED,https://rundome.gr/el/content/239-giftcards-rundome,https://rundome.gr/el/content/239-giftcards-rundome,https://www.rundome.gr/el/content/239-giftcards-rundome,true,200,true,f160e574f93003cbd3e51eced3f17c018df590b131b7d56d1b0da353e58141d2,Δωροεπιταγές και Δωροκάρτες | Rundome,"Αγόρασε Δωροεπιταγές και Δωροκάρτες από το Rundome και δώρισε χαμόγελο στους αγαπημένους σου, χωρίς αναμονή και έξοδα αποστολής!",Δωροεπιταγές & Δωροκάρτες Rundome,Το καλύτερο δώρο είναι αυτό «της επιλογής».,,
cmt79ij3n001u84iydsqgy4zg,SKY express,SKY express Gift Card,VERIFIED,https://www.skyexpress.gr/el/book/sky-gift,https://skyexpress.gr/el/book/sky-gift,https://www.skyexpress.gr/el/book/sky-gift,true,200,true,2e4f51f18fee8d09c4857318240d1ebb05c68af0f351786072c423fe8d54cd34,SKY gift: Δώρο για τους αγαπημένους σας | SKY express,Προσφέρετε στους αγαπημένους σας δώρο ένα ταξίδι στον αγαπημένο τους προορισμό. Επισκεφθείτε τη SKY express και κάντε κράτηση στους πιο δημοφιλείς προορισμούς!,SKY giftΔώρο για τους αγαπημένους σας,Δεν τυλίγεται. Δεν είναι δώρο. Είναι εμπειρία! | Πού | Πότε | Πώς | Πώς λειτουργεί:,,
cmt79ijk9001z84iy6v65mv8a,Sneaker10,Sneaker10 Gift Card,VERIFIED,https://sneaker10.gr/el/304016-dorokarta-sneaker10.html,https://sneaker10.gr/el/304016-dorokarta-sneaker10.html,https://www.sneaker10.gr/el/304016-dorokarta-sneaker10.html,true,200,true,ab8d92a182d936b746f9ea8e44951e5f9b306126f8864d8528e8935c854ecbb1,e-GiftCard,"e-Gift Card: Διάλεξε Κορυφαία Sneakers, Ρούχα και Αξεσουάρ στο Sneaker10.gr, το Νο1 online sneaker store!",e-Gift Card,"Επιβεβαίωσε τον αριθμό σου | Aγόρασε τώρα, πλήρωσε σε 4 άτοκες δόσεις. | Πώς λειτουργεί | Περιγραφή | Δωρεάν Αποστολή & Αλλαγή | e-Gift Card",,
