status,giftCardId,merchantName,giftCardTitle,occasionSlug,relevance,evidenceSurface,evidenceSnippet,officialUrl,reason,actionId
SAFE,cmta5npkk000t54iyjgkmw0i1,Kalina Concept Store,Kalina Concept Store - GIFT CARD,just-because,95,OFFICIAL_META_DESCRIPTION,give the gift of choice with the kalina concept store e gift card whether it's for a birthday a celebration or just because it's the ultimate present for every stylish woman in your life delivered instantly via em,https://kalinaconceptstore.gr/products/gift-card-kalina-concept-store?srsltid=AfmBOorgzWkZpfBaPYqqARKb9wop02LbcC_yk1o_0sVP6K0hJOkAJntx,,11bb0011da66c5f3fcf8e4ff1463d8de2301a81779ae0d22084784d013e17990
SAFE,cmtb62nq0001b94iy044otdr1,Muye,Gift Card – Muye,just-because,95,OFFICIAL_META_DESCRIPTION,share the joy and gift your loved ones a muye gift card the perfect way to let them choose the pieces that speak to their unique style whether it's a birthday a special occasion or just because give the gift of timeless elegance and personal expression,https://muye.gr/product/gift-card/,,f8be3c7108c54983f673340dd34a7e4f37b55a1ea527a7740eaaa9737234fa2a
REVIEW,cmta4y81w0005sciybyesa197,Agigma,Το Τέλειο Last-Minute Δώρο στο Ρέθυμνο – Agigma Gift Card,birthday,80,OFFICIAL_BODY_PROXIMITY,ς κατι ουσιαστικο ομορφο που να αρεσει σε ολους οχι κατι προχειρο καλως ηρθες στην agigma gift card το πιο ασφαλες πιο ποιοτικο και πιο αγαπημενο δωρο για γιορτη γενεθλια επετειο χριστουγεννα η απλα επειδη θελεις να κανεις καποιον να νιωσει ομορφα η gift card,https://agigma.gr/el/last-minute-doro-rethymno-gift-card/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta4y81w0005sciybyesa197,Agigma,Το Τέλειο Last-Minute Δώρο στο Ρέθυμνο – Agigma Gift Card,wedding,80,OFFICIAL_BODY_PROXIMITY,δωρο για ζευγαρι η signature rituals 300 500 premium προσφορα για ιδιαιτερες περιστασεις γαμος επετειος σε ευχαριστω ο παραληπτης μπορει παντα να χρησιμοποιησει την gift card σε οποια υπηρεσια επιθυμει καλυπτοντας διαφορα αξιας μονο αν χρειαστει η να χρησιμοποιησε,https://agigma.gr/el/last-minute-doro-rethymno-gift-card/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta4y81w0005sciybyesa197,Agigma,Το Τέλειο Last-Minute Δώρο στο Ρέθυμνο – Agigma Gift Card,anniversary,80,OFFICIAL_BODY_PROXIMITY,ς κατι ουσιαστικο ομορφο που να αρεσει σε ολους οχι κατι προχειρο καλως ηρθες στην agigma gift card το πιο ασφαλες πιο ποιοτικο και πιο αγαπημενο δωρο για γιορτη γενεθλια επετειο χριστουγεννα η απλα επειδη θελεις να κανεις καποιον να νιωσει ομορφα η gift card της agig,https://agigma.gr/el/last-minute-doro-rethymno-gift-card/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta4y81w0005sciybyesa197,Agigma,Το Τέλειο Last-Minute Δώρο στο Ρέθυμνο – Agigma Gift Card,christmas,80,OFFICIAL_BODY_PROXIMITY,ς κατι ουσιαστικο ομορφο που να αρεσει σε ολους οχι κατι προχειρο καλως ηρθες στην agigma gift card το πιο ασφαλες πιο ποιοτικο και πιο αγαπημενο δωρο για γιορτη γενεθλια επετειο χριστουγεννα η απλα επειδη θελεις να κανεις καποιον να νιωσει ομορφα η gift card της agigma δεν ειναι,https://agigma.gr/el/last-minute-doro-rethymno-gift-card/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta4y81w0005sciybyesa197,Agigma,Το Τέλειο Last-Minute Δώρο στο Ρέθυμνο – Agigma Gift Card,thank-you,80,OFFICIAL_BODY_PROXIMITY,η signature rituals 300 500 premium προσφορα για ιδιαιτερες περιστασεις γαμος επετειος σε ευχαριστω ο παραληπτης μπορει παντα να χρησιμοποιησει την gift card σε οποια υπηρεσια επιθυμει καλυπτοντας διαφορα αξιας μονο αν χρειαστει η να χρησιμοποιησε,https://agigma.gr/el/last-minute-doro-rethymno-gift-card/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta4y81w0005sciybyesa197,Agigma,Το Τέλειο Last-Minute Δώρο στο Ρέθυμνο – Agigma Gift Card,just-because,80,OFFICIAL_BODY_PROXIMITY,ς κατι ουσιαστικο ομορφο που να αρεσει σε ολους οχι κατι προχειρο καλως ηρθες στην agigma gift card το πιο ασφαλες πιο ποιοτικο και πιο αγαπημενο δωρο για γιορτη γενεθλια επετειο χριστουγεννα η απλα επειδη θελεις να κανεις καποιον να νιωσει ομορφα η gift card της agigma δεν ειναι αλλο ενα δωρο,https://agigma.gr/el/last-minute-doro-rethymno-gift-card/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1lglx00p8q8iyyx9gpvxm,Aleyacreations,Aleyacreations Gift Card,christmas,80,OFFICIAL_BODY_PROXIMITY,jewellery boxes candles candle jar wax melts candle sand candle accessories car diffuser gift card autumn decor christmas decor valentine's decor λαμπαδες επικοινωνια επιλογη σελιδας αρχικη σελιδα gift card gift,https://www.aleyacreations.gr/product-category/gift-card/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1lglx00p8q8iyyx9gpvxm,Aleyacreations,Aleyacreations Gift Card,valentines,80,OFFICIAL_BODY_PROXIMITY,jewellery boxes candles candle jar wax melts candle sand candle accessories car diffuser gift card autumn decor christmas decor valentine's decor λαμπαδες επικοινωνια επιλογη σελιδας αρχικη σελιδα gift card gift card εμφανιση τ,https://www.aleyacreations.gr/product-category/gift-card/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1hdl9008mq8iy0bgrltgd,Anemos,Anemos Gift Card,wedding,80,OFFICIAL_BODY_PROXIMITY,τοθηκες βρεφικα μαξιλαρακια βρεφικες πετσετες καπες βρεφικα αξεσουαρ χαλια ιδεες για δωρα γαμου βαφτισης επισκεψης για εκεινη για εκεινον για τη μαμα personalized gift card 0 anemos 0 offers εποχιακα καλοκαιρι πασχαλινα χριστουγεννιατικα υπνοδωματιο σεντονια σεν,https://anemos.gr/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1hdl9008mq8iy0bgrltgd,Anemos,Anemos Gift Card,christmas,80,OFFICIAL_BODY_PROXIMITY,α ιδεες για δωρα γαμου βαφτισης επισκεψης για εκεινη για εκεινον για τη μαμα personalized gift card 0 anemos 0 offers εποχιακα καλοκαιρι πασχαλινα χριστουγεννιατικα υπνοδωματιο σεντονια σεντονια μεμονωμενα σεντονια μονα σετ σεντονια υπερδιπλα σετ σεντονι,https://anemos.gr/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1hdl9008mq8iy0bgrltgd,Anemos,Anemos Gift Card,easter,80,OFFICIAL_BODY_PROXIMITY,α ιδεες για δωρα γαμου βαφτισης επισκεψης για εκεινη για εκεινον για τη μαμα personalized gift card 0 anemos 0 offers εποχιακα καλοκαιρι πασχαλινα χριστουγεννιατικα υπνοδωματιο σεντονια σεντονια μεμονωμενα σεντονια μονα σετ σεντονια υπε,https://anemos.gr/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1hdl9008mq8iy0bgrltgd,Anemos,Anemos Gift Card,for-her,80,OFFICIAL_BODY_PROXIMITY,ια βρεφικες πετσετες καπες βρεφικα αξεσουαρ χαλια ιδεες για δωρα γαμου βαφτισης επισκεψης για εκεινη για εκεινον για τη μαμα personalized gift card 0 anemos 0 offers εποχιακα καλοκαιρι πασχαλινα χριστουγεννιατικα υπνοδωματιο σεντονια σεν,https://anemos.gr/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1hdl9008mq8iy0bgrltgd,Anemos,Anemos Gift Card,for-him,80,OFFICIAL_BODY_PROXIMITY,πετσετες καπες βρεφικα αξεσουαρ χαλια ιδεες για δωρα γαμου βαφτισης επισκεψης για εκεινη για εκεινον για τη μαμα personalized gift card 0 anemos 0 offers εποχιακα καλοκαιρι πασχαλινα χριστουγεννιατικα υπνοδωματιο σεντονια σεν,https://anemos.gr/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmtb6ugoe000f3giyxjtw5z05,Art Center,Δωροεπιταγές,wedding,80,OFFICIAL_BODY_PROXIMITY,νακοινωσεων γραφης ειδη βιβλιοδεσιας παρουσιαση σημανση ακρυλικα σταντ ειδη αρχειοθετησης γαμος βαπτιση βουλοκερια σφραγιδες βοηθητικα για βουλοκερι προσφορες αρχικη δωρα δωροεπιταγες προιοντα τσαντες πολλαπλων χρησεων ειδη συσκευασιας δωρων δωροεπιταγες ευρος τιμης δωρο,https://www.art-center.com.gr/categories/4565/dora-doroepitages-/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmtb6ugoe000f3giyxjtw5z05,Art Center,Δωροεπιταγές,christening,80,OFFICIAL_BODY_PROXIMITY,ωσεων γραφης ειδη βιβλιοδεσιας παρουσιαση σημανση ακρυλικα σταντ ειδη αρχειοθετησης γαμος βαπτιση βουλοκερια σφραγιδες βοηθητικα για βουλοκερι προσφορες αρχικη δωρα δωροεπιταγες προιοντα τσαντες πολλαπλων χρησεων ειδη συσκευασιας δωρων δωροεπιταγες ευρος τιμης δωρο,https://www.art-center.com.gr/categories/4565/dora-doroepitages-/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmtb6uijf000p3giy2w2ofsxh,Black Swan LBS,Black Swan LBS Gift Card,christmas,80,OFFICIAL_BODY_PROXIMITY,τικα βαζα8 κουπες4 gifts δωρα για εκεινην4 δωρα για εκεινον4 δωρα για το παιδι28 εποχιακα χριστουγεννα22 πασχαλινα7 vegan φυτικα ελαια εισοδος εγγραφη δωροκαρτα δωροκαρτα δωροκαρτα δωρεαν μεταφορικα δωρεαν μεταφορικα για ποσα ανω των 49 ευρω διαθεσιμοτητα αμεση παραλαβ,https://www.blackswan-lbs.gr/index.php?route=product/product&product_id=849,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmtb6uijf000p3giy2w2ofsxh,Black Swan LBS,Black Swan LBS Gift Card,easter,80,OFFICIAL_BODY_PROXIMITY,ες4 gifts δωρα για εκεινην4 δωρα για εκεινον4 δωρα για το παιδι28 εποχιακα χριστουγεννα22 πασχαλινα7 vegan φυτικα ελαια εισοδος εγγραφη δωροκαρτα δωροκαρτα δωροκαρτα δωρεαν μεταφορικα δωρεαν μεταφορικα για ποσα ανω των 49 ευρω διαθεσιμοτητα αμεση παραλαβ,https://www.blackswan-lbs.gr/index.php?route=product/product&product_id=849,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmtb6uijf000p3giy2w2ofsxh,Black Swan LBS,Black Swan LBS Gift Card,for-her,80,OFFICIAL_BODY_PROXIMITY,κα χωρου3 lifestyle accessories κοσμηματα4 νεσερερ1 διακοσμητικα βαζα8 κουπες4 gifts δωρα για εκεινην4 δωρα για εκεινον4 δωρα για το παιδι28 εποχιακα χριστουγεννα22 πασχαλινα7 vegan φυτικα ελαια εισοδος εγγραφη δωροκαρτα δωροκαρτα δωροκαρτα δωρεαν μεταφορικα δωρεαν μεταφορικα για ποσα ανω των 49 ευρω διαθεσι,https://www.blackswan-lbs.gr/index.php?route=product/product&product_id=849,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmtb6uijf000p3giy2w2ofsxh,Black Swan LBS,Black Swan LBS Gift Card,for-him,80,OFFICIAL_BODY_PROXIMITY,e accessories κοσμηματα4 νεσερερ1 διακοσμητικα βαζα8 κουπες4 gifts δωρα για εκεινην4 δωρα για εκεινον4 δωρα για το παιδι28 εποχιακα χριστουγεννα22 πασχαλινα7 vegan φυτικα ελαια εισοδος εγγραφη δωροκαρτα δωροκαρτα δωροκαρτα δωρεαν μεταφορικα δωρεαν μεταφορικα για ποσα ανω των 49 ευρω διαθεσιμοτητα αμεση παραλαβ,https://www.blackswan-lbs.gr/index.php?route=product/product&product_id=849,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmtb77ta1004ldkiysbs31g9p,Bmwpap,Αγοράστε μία Δωροεπιταγή,birthday,80,OFFICIAL_BODY_PROXIMITY,λοκληρωθει η πληρωμη σας ονομα παραληπτη e mail παραληπτη το ονομα σας το e mail σας θεμα δωροεπιταγης αλλο γενεθλια επετειος χριστουγεννα μηνυμα ποσο αποδεχομαι οτι η αξια των δωροεπιταγων δεν επιστρεφεται,https://www.bmwpap.gr/gift-voucher/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmtb77ta1004ldkiysbs31g9p,Bmwpap,Αγοράστε μία Δωροεπιταγή,anniversary,80,OFFICIAL_BODY_PROXIMITY,λοκληρωθει η πληρωμη σας ονομα παραληπτη e mail παραληπτη το ονομα σας το e mail σας θεμα δωροεπιταγης αλλο γενεθλια επετειος χριστουγεννα μηνυμα ποσο αποδεχομαι οτι η αξια των δωροεπιταγων δεν επιστρεφεται πληροφορ,https://www.bmwpap.gr/gift-voucher/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmtb77ta1004ldkiysbs31g9p,Bmwpap,Αγοράστε μία Δωροεπιταγή,christmas,80,OFFICIAL_BODY_PROXIMITY,λοκληρωθει η πληρωμη σας ονομα παραληπτη e mail παραληπτη το ονομα σας το e mail σας θεμα δωροεπιταγης αλλο γενεθλια επετειος χριστουγεννα μηνυμα ποσο αποδεχομαι οτι η αξια των δωροεπιταγων δεν επιστρεφεται πληροφοριες η εταιρια,https://www.bmwpap.gr/gift-voucher/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1hpnc009wq8iyllivlokf,Bymeraki,Δωροκάρτα,new-baby,80,OFFICIAL_BODY_PROXIMITY,00 500 00 price range 20 00 through 500 00 ψαχνετε το τελειο δωρο για νεους γονεις με τη δωροκαρτα προσφερετε την ευκαιρια να επιλεξουν οι ιδιοι ο τι χρειαζονται για το νεογεννητο τους ειτε προκειται για ειδη φροντιδας η ρουχαλακια η δωροκαρτα μας καλυπτει ολες τις ανα,https://bymeraki.gr/product-category/wps_wgm_giftcard/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1hq38009yq8iyiiaeil9q,Cameoshatter,Δωροκάρτα,birthday,80,OFFICIAL_BODY_PROXIMITY,υλ με μια κινηση δεν ξερεις ποιο καπελο να διαλεξεις αφησε τους να επιλεξουν μονοι τους η δωροκαρτα μας ειναι το τελειο δωρο για καθε περισταση γενεθλια γιορτες η απλως για να δειξεις οτι νοιαζεσαι αμεση αποστολη με email διαθεσιμη σε διαφορα,https://cameoshatter.gr/product/gift-card/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmtb6ul4v00133giyhgnnpf1j,ColorDrop,ColorDrop Gift Card,valentines,80,OFFICIAL_BODY_PROXIMITY,παππου γιαγια για ζευγαρι για δασκαλο για δασκαλα περισταση γενεθλια παρτυ γαμος βαπτιση βαλεντινος ερωτας καλοκαιρι διακοπες ταξιδια δωρο θεμα στυλ quotes οικογενεια ζωακια σχολειο μολυβοθηκη επιχειρηση χαριστε μια δωροεπιταγη για φωτογραφους πληροφοριες για metal prints μαγνητακια ψυγειου κουπες σε ποσοτητες εκτυ,https://colordrop.gr/giftcard/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmtb6uli700153giy75i0msk9,Confetti Gifts,Confetti Gifts Gift Card,birthday,80,OFFICIAL_BODY_PROXIMITY,ια για οικογενειες για παιδια εταιρικα ανα περισταση για αποφοιτηση για γαμο αρραβωνα για γενεθλια γιορτη για επετειο μεχρι 50 ευρω μεχρι 100 ευρω mystery boxes δωροκαρτες δωροκαρτα confetti δωροκαρτες γινε συνεργατης blog επικοινωνια login register redeem gift 0 00 0 cart δωροκαρτα confe,https://confetti-gifts.gr/product/dwrokarta-confetti-gifts/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmtb6uli700153giy75i0msk9,Confetti Gifts,Confetti Gifts Gift Card,wedding,80,OFFICIAL_BODY_PROXIMITY,υναικες για ζευγαρια για οικογενειες για παιδια εταιρικα ανα περισταση για αποφοιτηση για γαμο αρραβωνα για γενεθλια γιορτη για επετειο μεχρι 50 ευρω μεχρι 100 ευρω mystery boxes δωροκαρτες δωροκαρτα confetti δωροκαρτες γινε συνεργατης blog επικοινωνια login register redeem gift 0 00 0 cart δωροκαρτα confe,https://confetti-gifts.gr/product/dwrokarta-confetti-gifts/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmtb6uli700153giy75i0msk9,Confetti Gifts,Confetti Gifts Gift Card,anniversary,80,OFFICIAL_BODY_PROXIMITY,ια παιδια εταιρικα ανα περισταση για αποφοιτηση για γαμο αρραβωνα για γενεθλια γιορτη για επετειο μεχρι 50 ευρω μεχρι 100 ευρω mystery boxes δωροκαρτες δωροκαρτα confetti δωροκαρτες γινε συνεργατης blog επικοινωνια login register redeem gift 0 00 0 cart δωροκαρτα confe,https://confetti-gifts.gr/product/dwrokarta-confetti-gifts/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmtb6uli700153giy75i0msk9,Confetti Gifts,Confetti Gifts Gift Card,graduation,80,OFFICIAL_BODY_PROXIMITY,ια ανδρες για γυναικες για ζευγαρια για οικογενειες για παιδια εταιρικα ανα περισταση για αποφοιτηση για γαμο αρραβωνα για γενεθλια γιορτη για επετειο μεχρι 50 ευρω μεχρι 100 ευρω mystery boxes δωροκαρτες δωροκαρτα confetti δωροκαρτες γινε συνεργατης blog επικοινωνια login register redeem gift 0 00 0 c,https://confetti-gifts.gr/product/dwrokarta-confetti-gifts/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
