status,giftCardId,merchantName,giftCardTitle,verificationStatus,categorySlug,occasionSlug,relevance,evidenceSurface,evidenceSnippet,decisionReason,actionId
APPROVED,cmt79igbu001084iy7fkqj7p6,Lentiamo,Lentiamo Gift Card,VERIFIED,fashion,for-her,80,OFFICIAL_BODY_PROXIMITY,ευασιες συσκευασια 2 τμχ συσκευασια 3 τμχ συσκευασια 4 τμχ γυαλια ορασεως τυπος γυναικεια ανδρικα παιδικα unisex προτεινουμε νεες αφιξεις limited edition εκπτωσεις δωροεπιταγη εικονικη δοκιμη χρηση γυαλια αναγνωσης γυαλια ορασεως γυαλια υπολογιστη γυαλια ,,92fb83cc383efe50ddb55fcb4ac16e04fbe76023d37338ef9d517c6f585178a1
APPROVED,cmt79igbu001084iy7fkqj7p6,Lentiamo,Lentiamo Gift Card,VERIFIED,fashion,for-him,80,OFFICIAL_BODY_PROXIMITY,σκευασια 2 τμχ συσκευασια 3 τμχ συσκευασια 4 τμχ γυαλια ορασεως τυπος γυναικεια ανδρικα παιδικα unisex προτεινουμε νεες αφιξεις limited edition εκπτωσεις δωροεπιταγη εικονικη δοκιμη χρηση γυαλια αναγνωσης γυαλια ορασεως γυαλια υπολογιστη γυαλια ,,5c3b9c89a2d0a8a9662c26f1a01385b111554323611261ecc737ab68d9097d6f
APPROVED,cmta1f1n7000tq8iylhz55ztt,Msba Events,Msba Events Gift Card,NEEDS_REVIEW,kids-baby,for-kids,80,OFFICIAL_BODY_PROXIMITY,σετ κουμπαρου my account καλαθιταμειο wishlistgift card αρχικη σελιδα shop toys gift card gift card 10 00 200 00price range 10 00 through 200 00 ean sku n a categories deco room for food kids fashion newborn road and school seasonally toys ποσο δωροκαρτας καντε μια επιλογη 10 25,,f32a0c326eea22096546a3469a5d1a57cbfb62484b5090facc0e95c62a46f1fa
APPROVED,cmta1f1n7000tq8iylhz55ztt,Msba Events,Msba Events Gift Card,NEEDS_REVIEW,kids-baby,new-baby,80,OFFICIAL_BODY_PROXIMITY,σετ κουμπαρου my account καλαθιταμειο wishlistgift card αρχικη σελιδα shop toys gift card gift card 10 00 200 00price range 10 00 through 200 00 ean sku n a categories deco room for food kids fashion newborn road and school seasonally toys ποσο δωροκαρτας καντε μια επιλογη 10 25 50 100 ,,d194c41cfab44d13ed4e51f61597056aa408510e2a7cd24c0ecf7f27d9853f54
APPROVED,cmta1f5j70017q8iy3ul3t87x,arfie.gr,Arfie Gift Card,VERIFIED,kids-baby,for-kids,80,OFFICIAL_BODY_PROXIMITY,α μαμα μαμα οργανωτες καροτσιου βολτα παιχνιδι βιβλιο παιχνιδι βιβλιο παιχνιδια παιδικα βιβλια βιβλια γονεικοτητας παιδικο δωματιο παιδικο δωματιο arfie collection blw baby led weaning gift card εισοδος αναζητηση shop ρουχα arfie new collection σετακια φορμακια φορεματακια ,,5c9a3f54f0c64fa1efbbd8d0d45692863eaf4f5db77ec0d72ab934d57076587c
APPROVED,cmta1f5j70017q8iy3ul3t87x,arfie.gr,Arfie Gift Card,VERIFIED,kids-baby,new-baby,80,OFFICIAL_BODY_PROXIMITY,hie new arrivals shop now παιδικο δωματιο arfie collection blw baby led weaning gift card αναζητηση εισοδος καλαθι τα ρουχαλακια της συλλογης μας εως 70 προλαβε τα εδω mushie εως 50 βρεφικα μποτακια βαμβακερα 3 6 μηνων oatmeal mushie 50 βρεφικα μποτακια βαμβακερα 3 6 μ,,b507f35b831f43a5a2897af09b4350f12471e889af00d54751d2e3a6196445bd
APPROVED,cmta1faxg001vq8iy39nw940w,Mentzos,Mentzos Gift Card,NEEDS_REVIEW,jewelry-watches,for-him,80,OFFICIAL_BODY_PROXIMITY,ετε δωρεαν μεταφορικα συνολικο ποσο 0 00 ολοκληρωση παραγγελιας αρχικη προιοντα gift card gift card φιλτρα κατηγοριες χρυσα κοσμηματα δαχτυλιδι μονοπετρο σειρε ανδρικο κολιε μενταγιον βραχιολι βραχιολι βεργα σταυρος σκουλαρικια σκουλαρικια κρικοι ,,adf54f6e9b98120ae302f436cc8ebedb1ab347107459a14d777c44cc27c3a712
APPROVED,cmta1fza40049q8iyylawabqi,Stan & Stefan,Stan & Stefan δωροκάρτα,VERIFIED,jewelry-watches,for-him,80,OFFICIAL_BODY_PROXIMITY,ρολογιαανδρικα ρολογιαγυναικεια ρολογιαγυαλια ηλιουαλυσιδες γυαλιων last pieces ανδρικα ανδρικα κολιεανδρικα βραχιολιαανδρικα δαχτυλιδια τηλεφωνικες παραγγελιες 2311242419 αρχικη gift card gift card top 2 ειδη φιλτρα ταξινομηση τιμη αυξουσα τιμη φθινουσα οριστε αυξουσα κατευθυν,,a8eef67a3d5d8c72f15306bf9b0a69393b4575504d15205501363d7f64c85b45
APPROVED,cmta1g1hr004dq8iyf2v0rt9r,Me and Joe,Me and Joe Δωροκάρτα Gift Card,VERIFIED,fashion,for-her,80,OFFICIAL_BODY_PROXIMITY,60022πληρωμη σε 3 ατοκες δοσεις με klarna επομενο me and joe μενου γυαλια ηλιου γυναικεια ανδρικα νεες αφιξεις bestsellers δωροκαρτεςγυναικειαανδρικα γυαλια ορασεως νεες αφιξεις γυναικεια ανδρικα bestsellers γυαλια προστασιας απο,,cf755ce78cb588339f578910ca0bcd6b35e43d121e9ad3825c98fc8117bd3d74
APPROVED,cmta1g1hr004dq8iyf2v0rt9r,Me and Joe,Me and Joe Δωροκάρτα Gift Card,VERIFIED,fashion,for-him,80,OFFICIAL_BODY_PROXIMITY,μη σε 3 ατοκες δοσεις με klarna επομενο me and joe μενου γυαλια ηλιου γυναικεια ανδρικα νεες αφιξεις bestsellers δωροκαρτεςγυναικειαανδρικα γυαλια ορασεως νεες αφιξεις γυναικεια ανδρικα bestsellers γυαλια προστασιας απο,,2a7fa5fda6b80104ceea883ad7e552e4a34ec154ce2a3ecdddd9e2e215e52aa3
