"bucket","merchant","title","values","proposedMerchant","reason","websiteUrl","officialUrl"
"RECOVERABLE_BRAND","150€ Gift Card","150€ Gift Card","150","carrotstore","Merchant name is generic/garbage; merchant brand is recoverable from website domain.","https://carrotstore.gr","https://carrotstore.gr/gift-cards/150e-gift-card/"
"RECOVERABLE_BRAND","20€ - 250€","Δωροκάρτα 20€ - 250€","20|250","luckyboutique","Merchant name is generic/garbage; merchant brand is recoverable from website domain.","https://luckyboutique.gr","https://luckyboutique.gr/custom-giftcard.html"
"RECOVERABLE_BRAND","DE - 30€ – WARAGOD","Gift Voucher DE - 30€ – WARAGOD","30","DE - WARAGOD","Merchant name is denomination/gift-card polluted but brand can be recovered safely.","https://waragod.gr","https://www.waragod.gr/en/products/gift-voucher-de-30"
"THIRD_PARTY_CARD","Astrongameclub","Nintendo eShop 15 EUR","15","","Title appears to name a third-party gift card/product different from merchant.","https://astrongameclub.gr","https://www.astrongameclub.gr/gift-card/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Adagio","Adagio Gift Voucher 200 euro","200","Adagio","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://adagio.gr","https://www.adagio.gr/el/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Agathou","Δωροεπιταγη 70€ - Agathou Beauty & Spa","70","Agathou","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://agathou.gr","https://www.agathou.gr/product-category/%ce%b4%cf%89%cf%81%ce%bf%ce%ba%ce%b1%cf%81%cf%84%ce%b5%cf%83/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Ammashop","GIFT CARD 100€ - ammashop","100","Ammashop","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://ammashop.gr","https://www.ammashop.gr/gift-cards"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Amourianosoptics","GIFT CARD 200€","200","Amourianosoptics","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://amourianosoptics.gr","https://amourianosoptics.gr/en/accessories-html/gift-cards.html"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Annamariamazaraki","Gift Card 50 euro. Give the gift of love to your beloved one ...","50","Annamariamazaraki","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://annamariamazaraki.gr","https://annamariamazaraki.gr/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Artcolour","Art & Colour Gift Card - €200","200","Artcolour","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://artcolour.gr","https://artcolour.gr/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Beauty Case","Gift Card - 40€ - Beauty Case","40","Beauty Case","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://beauty-case.gr","https://www.beauty-case.gr/product-category/giftcard/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Beautyprincess","Gift Card 50€ | BeautyPrincess – Δώρο Ομορφιάς","50","Beautyprincess","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://beautyprincess.gr","https://beautyprincess.gr/gifts/gift-cards"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Candlejuice","Δωροκάρτα CandleJuice Gift Card 100€","100","Candlejuice","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://candlejuice.gr","https://candlejuice.gr/product/dorokarta-candlejuice-gift-card-100e/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Cavallo","Cavallo e-gift card - Δωροκάρτα Αξίας 20€","20","Cavallo","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://cavallo.gr","https://www.cavallo.gr/product/gift-card-100e/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Cordella","Δωροκάρτα 500€","500","Cordella","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://cordella.gr","https://www.cordella.gr/shop/empeiries/taxidia-metakiniseis/xenodoxeia-diamones/dorokarta-500_10995"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Dbsounds","e-Gift Card (Hλεκτρονική Δωροκάρτα) 500€","500","Dbsounds","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://dbsounds.gr","https://dbsounds.gr/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Decolight","Δωροκάρτα 20€ - 0001","20","Decolight","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://decolight.gr","https://decolight.gr/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Dromeasbikes","Gift voucher €25","25","Dromeasbikes","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://dromeasbikes.gr","https://dromeasbikes.gr/product/%ce%b4%cf%89%cf%81%ce%bf%ce%b5%cf%80%ce%b9%cf%84%ce%b1%ce%b3%ce%ae10/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","E Snacks","Gift Card 50€ | E-Snacks","50","E Snacks","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://e-snacks.gr","https://e-snacks.gr/gift-cards"
